idx,in_reviewed_corpus,title,OD_conditioned,OD_quote,generalization_mechanism,gen_quote,predictive_representation,pred_quote,reward_temporality,rt_quote,reward_alignment,align_quote,compliance_stated,comp_quote,action_feasibility_constraint,actfeas_quote,algorithm_family,source,boundary_condition,boundary_quote,trip_completion_reported,tc_quote,code_release,code_quote,access_note,algorithm_family_coarse,action_granularity,actgran_quote,state_representation,staterep_quote
10,yes,XRouting: Explainable Vehicle Rerouting for Urban Road Congestion Avoidance using Deep Reinforcement Learning,yes,"the Euclidean distance between the start point of each road and that of the destination road, which is denoted by disaim",none,The DRL agent is trained to find the minimum time cost route from the predefined initial road and the destination road,none,"the average speed of each road vavr, the vehicle density of each road dveh, and the average travel time of each road tavr",step-wise,This reward r refers to the time difference between the vehicle stepping into the road Tstart and leaving the road Tend,individual,The training motivation is to make the DRL vehicle choose the next road with the minimum travelling time under the current network circumstance,implicit-100%,we set 50% of the original 150 human vehicles to DRL vehicles,action-masking,"the probability values of the redundant choices will be converted to negative infinity, making them impossible to be chosen by the DRL vehicle",PPO (Gated Transformer policy/value network),full-text,not-addressed,,not-reported,,released,we have shared our implementation of XRouting at1for others to replicate,full-text,Policy-gradient-AC,next-link,"the corresponding action space is, then, intuitively defined as the direction of next turning",other-learned-encoder,uses policy-based DRL and the revised Gated Transformer (GTr) architecture to accelerate and stabilize the training convergence
11,yes,RouteRL: Multi-agent reinforcement learning framework for urban route choice with autonomous vehicles,yes,each AV every day selects from the finite action space (possible routes) the optimal (in terms of expected reward) route to reach its destination under the current state observation,none,,none,,realized,"each agent makes a route choice, and the episode ends upon their arrivals at their destinations",mixed,Social Minimize delay for oneself and everyone,implicit-100%,,enforced,"the action space includes discrete route options, created with a dedicated path generator tool JanuX","MARL (IQL, IPPO, VDN, QMIX, MAPPO via TorchRL)",full-text,not-addressed,,not-reported,,released,Permanent link to code/repository used for this code version https://github.com/COeXISTENCE-PROJECT/RouteRL/tree/v1.0.0,"full-text (re-coded, all 10 fields)",MARL,candidate-path,"the action space includes discrete route options, created with a dedicated path generator tool JanuX",unclear,
12,yes,Congestion-Aware Path Planning With Vehicle-Road Cooperation in AIoV,yes,The variable d signifies the destination of the ongoing journey.,none,,local-prediction,Cg(i) denotes the congestion level of the road linked to ei,step-wise,"Opting for a road segment that is shorter in distance, exhibits lower congestion, and brings the agent closer to the destination results in a positive increase in the reward",individual,Re = ζ ∗ Ds(i) + τ ∗ Cg(i) + χ,implicit-100%,,enforced,the agent's actions align with the count of roads linked to the current road segment,D3QN (dueling double deep Q-network) with TCN+STGNN traffic-flow prediction module,full-text,not-addressed,,not-reported,,not-stated,,"full-text (re-coded, all 10 fields)",DQN-family,next-link,the agent's actions align with the count of roads linked to the current road segment,graph-encoder,"the temporal convolutional network (TCN) is innovatively integrated into the spatiotemporal graph neural network (STGNN), providing accurate traffic flow prediction"
13,yes,Reinforcement learning of route choice considering traveler's preference,unclear,abstract does not specify whether agent state includes origin-destination identity,unclear,abstract does not describe a transfer/domain-randomization/meta-RL/graph-inductive mechanism,none,"abstract frames the model around indifference/compulsive preference updating and expected utility, with no mention of a predictive or rollout state component",unclear,abstract does not specify whether reward/utility uses realized or predicted travel outcomes,individual,Travelers always perform some preference during the decision-making process. The preference will affect the decision results and can be improved by continuously learning,unclear,"abstract does not discuss compliance of travelers with any recommended/guided route (this is a route-choice behavior model, not a guidance system)",unclear,abstract does not describe whether the alternative set is constrained to feasible network paths,"Reinforcement learning (non-deep, preference-based route-choice / gain-loss stimulating model)",abstract-only,unclear,,unclear,,unclear,,abstract-only,Tabular-Q-Sarsa,unclear,,unclear,
14,yes,Reinforcement Learning Method with Dynamic Learning Rate for Real-Time Route Guidance Based on SUMO,no,a vehicle tries to find the fastest path from original node 13 to destination node 16,none,"This network totally contains 16 junctions, and a vehicle tries to find the fastest path from original node 13 to destination node 16 ... In the future, this method should be tested under large scale network",none,we measure the mean travelling time of each neighboring road and update the real-time data,realized,tlast is the mean travelling time of the updated road section on the last time step. ttravel is the mean travelling time of the updated road section on the current time step,individual,a vehicle tries to find the fastest path from original node 13 to destination node 16,implicit-100%,"If the vehicle closes to a junction, the corresponding traffic center gives the next direction according to the latest Q-table",enforced,it will detect the mean travelling time of road from i to p and road from i to j,"Q-learning (tabular, dynamic learning rate + traffic-light waiting-time reward term)",full-text,not-addressed,,not-reported,,not-stated,,full-text,Tabular-Q-Sarsa,next-link,"If the vehicle closes to a junction, the corresponding traffic center gives the next direction according to the latest Q-table",raw-vector,"We initialize all Q-values in the Q-table to 0, dynamic learning rate, discount factor and greed policy rate"
15,yes,Model-Based Deep Reinforcement Learning for Energy Efficient Routing of a Connected and Automated Vehicle,no,,none,,none,,realized,"A reward r ∈ {−1, 1} is returned after reaching a terminal node...The reward is determined by calculating the fuel efficiency of the ego vehicle for the full simulation and comparing the result to a reference fuel efficiency.",individual,The reward is determined by calculating the fuel efficiency of the ego vehicle for the full simulation and comparing the result to a reference fuel efficiency.,implicit-100%,,enforced,"the DRL algorithm selects one of these waypoints, thereby making the action space discrete and mitigating the issue of low sampling efficiency",Model-based deep reinforcement learning (AlphaGo-Zero-style),full-text,not-addressed,,not-reported,,not-stated,,"full-text (re-coded, all 10 fields)",Model-based-Hybrid,candidate-path,"the DRL algorithm selects one of these waypoints ... Once a waypoint is chosen, SUMO calculates the shortest path",other-learned-encoder,"The residual neural network processes the image during the forward pass, generating a route selection for the ego vehicle"
16,yes,Reinforcement Learning-based Sequential Route Recommendation for System-Optimal Traffic Assignment,yes,"S^t_od = {o_od, tt^{p_k}_marginal}|A|_{k=1}, where o_od is a one-hot vector representing the origin and destination of the traveler",none,,none,"At each time step t, the agent extracts real-time traffic information st from the road network environment",realized,The marginal travel time tt^p_marginal of a traveler on route p is defined as the sum of travel time of the entering traveler and the additional delay of all travelers experienced on that route p,system,"A central agent sequentially recommends routes to travelers as origin-destination (OD) demands arrive, to minimize total system travel time",explicit,We assume full compliance: all travelers follow the route recommended by the central recommendation agent,enforced,The action space defines the feasible route set for an OD pair,"DQN (double dueling deep Q-learning, MSA-guided)",full-text,not-addressed,,not-reported,,not-stated,,full-text,DQN-family,candidate-path,"The action space defines the feasible route set for an OD pair. An agent selects an route from the action set A = {p1, ..., p|A|}",raw-vector,"St od = {ood, tt marginal}, where ood is a one-hot vector representing the origin and destination of the traveler"
17,yes,Joint Optimization of Traffic Signal Control and Vehicle Routing in Signalized Road Networks using Multi-Agent Deep Reinforcement Learning,yes,each RA is situated at the upstream edge of the fork point of the feasible routes within an Origin-Destination (OD) pair,none,,none,,step-wise,"The control objective of RA is to improve trip completion flow. Hence, the local reward is defined as ... the number of arrived vehicles of the origin and destination corresponding to RA",system,The objective is to enhance network performance by simultaneously controlling signal timings and route choices using Multi-Agent Deep Reinforcement Learning,explicit,"we modeled traffic flows with two types of vehicles: those that comply with the system instructions and others that do not. The compliant vehicles follow the routes optimized by the control policy, while the non-compliant vehicles choose the pre-defined route",enforced,RA's action space consists of the available route options for these vehicles,"MAA2C (multi-agent advantage actor-critic), joint signal-control and per-OD routing agents",full-text,not-addressed,,reported,"the line represents the completion rate, which is calculated by dividing the number of arrived vehicles by the number of departed vehicles",not-stated,,full-text (acquired 2026-07-07 cycle),MARL,candidate-path,RA's action space consists of the available route options for these vehicles,raw-vector,"The local state is defined as s_local = [n_arrival, n_down]"
18,yes,Dynamic Route Guidance System Based on Real-time Vehicle-Road Collaborations with Deep Reinforcement Learning,no,"the collected state information for the road at learning step t is as follows: St = [Nvl, Vavg/Vmax, D]",other,"this paper proposes to train a road agent using experiences collected from all roads, thus achieving a generalizable approach",none,,step-wise,The function rst = Nst+1 - Nst is designed to provide instantaneous rewards to the agent based on the number of departing vehicles in the current state,system,We optimize for the global average travel time (ATT) instead of the optimal traffic conditions for any specific road,implicit-100%,we select the vehicles on these road segments to update their routes and ease the congestion,unclear,,"DQN (Decisive Weight Road Agent, per-road agent architecture)",full-text,not-addressed,,not-reported,,not-stated,,full-text,DQN-family,other,"For each rerouted vehicle, the k shortest paths are calculated using road weights [per-road agents set decisive weights]",unclear,
19,yes,Deep Reinforcement Learning for Vehicle Swarm Navigation and Urban Traffic Optimization,yes,the agent takes the current observation as the input and outputs action values for different paths associated with each OD pair,domain-rand,each generating unique traffic scenarios with randomly initialized vehicle arrival rates and destination selection probabilities,rollout-capable,"This assignment is performed considering that congestion on certain road sections may dissipate during the vehicle's trip, enabling the agent to determine the expected future cost through the assigned traffic volume",realized,Calculate the reward rt if the vehicle exits,individual,The reward represents the actual revenue generated by the vehicle by traveling on a specific path.,implicit-100%,,enforced,"the feasible path set is adopted in the path selection process. That is, only paths within a certain travel distance range are included in the set of selectable paths.",GNN-based deep reinforcement learning (specific algorithm family not stated in abstract),full-text,boundary-open-addressed,"In the simplified road network, Xi, i = 1, 2, 3, 4, serves both as an entrance and an exit point",not-reported,,not-stated,,"full-text (re-coded, all 10 fields)",Unspecified,candidate-path,the feasible path set is adopted in the path selection process ... Action space size 8: The size of the maximum feasible path set (npath),graph-encoder,The model employs a graph neural network to effectively capture dynamic traffic flow patterns
20,yes,Population Game-Assisted Multi-Agent Reinforcement Learning Method for Dynamic Multi-Vehicle Route Selection,no,"The observation of agent RAh i is the vector (n(l1), n(l2), . . . , n(lm))T consisting of the number of vehicles of all neighbouring edges",none,,none,"The observation of agent RAh i is the vector (n(l1), n(l2), . . . , n(lm))T consisting of the number of vehicles of all neighbouring edges",predicted,"Note that only the distance cost above is a constant and accurate value, while the formulas for time, fuel, and pollution costs are estimates of future costs.",system,"The reward of agent RAh i at time step lt is defined as the opposite of the sum of travel costs of the vehicles included in the corresponding edge lh i , i.e., rewardh,i lt = -Sum_{v in V(lh i)} c(route(a(v))).",implicit-100%,Each vehicle executes the pure strategy corresponding to the mixed strategy held by itself at the end of the algorithm.,enforced,the vehicle selects one of the off edges of the intersection as its next route... where li j' is an arbitrary off edge of the intersection si.,MARL (multi-agent deep deterministic policy gradient; Period Learning Algorithm for Route Selection),full-text,boundary-open-addressed,except for the edges at the rim of the road network that do not need to participate in the decision-making.,reported,Throughput is the number of vehicles completing its trip.,not-stated,,"full-text (re-coded, all 10 fields)",MARL,next-link,the vehicle selects one of the off edges of the intersection as its next route,unclear,
21,yes,Modeling of route planning system based on Q value-based dynamic programming with multi-agent reinforcement learning algorithms,yes,P(n) d (i; j): the probability that the vehicle bound for destination d moves to node j at node i in the nth iteration,none,,none,,step-wise,"Each time, S the agent is in a state of st, it takes an action at, and it observes the reward R(st; at). Afterwards it moves to the next state, St+1.",individual,4. Reward | Real travel time,implicit-100%,The study assumed that the vehicles were equipped with the necessary technology to communicate with the agents. The routing preferences of the drivers were not taken into consideration.,enforced,"A(i): set of suffixes of nodes moving directly from i,","Q value-based dynamic programming / multi-agent reinforcement learning (title only, unverified)",full-text,not-addressed,,not-reported,,not-stated,,"full-text (re-coded, all 10 fields)",MARL,next-link,A(i): set of suffixes of nodes moving directly from i,raw-vector,"a state space represented by S, and A represented by an action space ... Vn was the Q-value [tabular]"
22,yes,Individual versus Difference Rewards on Reinforcement Learning for Route Choice,no,An agent's state is the node at which it is located,none,"the agents (vehicles/drivers) are implemented as independent learners, which ignore the existence of other agents",none,"R = −tj (vj), where tj is the travel time function ... applied to the number of vehicles vj on link j",realized,This reward function is used by the IQ-learning ... tj is the travel time function given in Eq. 1 applied to the number of vehicles vj on link j,mixed,"The IQ-learning uses an individual reward function, which aims at finding a policy that maximizes the agents' utility. On the other hand, DQ-learning algorithm shapes the agents' reward based on difference rewards function, and aims at finding a route that maximizes the system's utility",implicit-100%,"the agents (vehicles/drivers) are implemented as independent learners, which ignore the existence of other agents",enforced,The set of the actions are the outbound links from the nodes of the network,MARL: independent tabular Q-learning per agent (stated multiagent RL; IQ/DQ reward variants),full-text,not-addressed,,not-reported,,not-stated,,full-text,MARL,next-link,The set of the actions are the outbound links from the nodes of the network,raw-vector,"a road network can be modeled as a graph, with a set of nodes n in N [tabular Q over nodes]"
23,yes,Route guidance system using multi-agent reinforcement learning,yes,"According to the trip origin (s) node and destination (d) node, this issue can be solved as the optimization problem based on real transportation network",none,This paper proposed a new algorithm based on MARL model for finding shortest and best path in the URN to conduct the vehicles to their destination,unclear,travel cost and edges distance is assumed to be random variable,unclear,"rt = {+1 ... the positive states to continue, -1 ... the negative states to continue}",individual,"A positive reward is given for an action that results in a goal, while small negative rewards are given when the episode ends unsuccessfully",implicit-100%,the next route connected to node will be selected as the prime priority,enforced,some connected routes are removed automatically in the new optimal route computation,MARL (agent-based shortest-path / dynamic-programming with goal-directed reward signaling),full-text,not-addressed,,not-reported,,not-stated,,full-text,MARL,next-link,Node State Action: Go straight ... Turn right [per-node direction decisions],raw-vector,a set of 'N' nodes (V) and 'M' directed edges (A) [tabular value per node]
24,yes,Network-aware multi-agent reinforcement learning for the vehicle navigation problem,yes,it submits a routing query to the RL agent consisting of its final destination,none,,none,State of intersection i at time t consists of the traffic congestion condition in its outgoing roads,step-wise,r(a(s^tau_q)) = -DeltaT ... Delta T = (q'-t) - (q-t),individual,"Reward, r(a(s^tau_q))...Assume that q' is the tau+1 query in path of vehicle q-vc: DeltaT = (q'-t)-(q-t)",implicit-100%,"The vehicle follows the instructions of the routing response, including the next intersection",action-masking,Action of agent ui for s^tau_q...Selecting one of the outgoing road-segments of the intersection i = q-rc-tail,"MARL (DQN-based, Q-learning per intersection agent)",full-text,boundary-open-addressed,"26 routing agents are assigned, one at each intersection (except for the corner ones)",reported,Routing Success (number of vehicles that reached their destination during this episode),released,The code for this research is publicly available at https://github.com/FazelYU/Adaptive-Navigation,full-text,MARL,next-link,Action of agent ui: Selecting one of the outgoing road-segments of the intersection,graph-encoder,"multi-agent reinforcement learning, adaptive vehicle navigation, intelligent transportation systems, Graph Attention Network (GAT)"
25,yes,Navigating the non-compliance effects on system optimal route guidance using reinforcement learning,no,"Each state s in S consists of two parts: the node encoded as a one-dimensional vector, and the global state includes the travel time and density of all links, waiting vehicles at each node, total vehicle count, and time. Formally, s = (n,Xt)",other,"It inherently possesses the flexibility to accommodate fluctuating demand attributed from its function approximation capabilities, allowing it to generalize to unseen conditions.",none,"Each state s in S consists of two parts: the node encoded as a one-dimensional vector, and the global state includes the travel time and density of all links, waiting vehicles at each node, total vehicle count, and time.",step-wise,"The reward function, R(s,a), defines the reward received after taking action a in state s. In the context of DSO, it is defined as the negative of the travel time experienced by vehicles...R(s,a) = -TT_phi(a), where TT_phi(a) is the travel time on the link associated with action a.",mixed,"pi_i = (1-eta) * pi_SO + eta * pi_ind,i ... users make decisions based on their individual policy, they aim to optimize their own travel time under the TMC's route guidance, potentially gaining an advantage over other users and the system-wide recommendations.",explicit,users can dynamically choose to either comply or manually override this autonomy based on their own judgment / eta is the parameter that determines the extent to which each user's final policy relies on the TMC's suggestions versus the individual policy.,action-masking,"The masking process involves creating a mask vector, M(n), for each node n in the traffic network...A value of 1 in the mask vector signifies that the corresponding outbound link is accessible from the node n, while a value of -infinity inaccessibility.",DQN (centralized Q-network) + MARL via NFSP (individual policy network),full-text,not-addressed,,not-reported,,not-stated,,"full-text (re-coded, all 10 fields)",MARL,next-link,An action a in A represents the choice of an outbound link from the current node,raw-vector,"the state can be thought of as the network information that is collected, exchanged, and provided through the ATIS"
26,yes,Reinforcement learning-based route planning method for connected vehicles considering real-time road traffic information,unclear,,unclear,,local-prediction,predictive travel coefficient is proposed to mitigate congestion drift-induced oscillation phenomenon in road networks and enhance overall travel efficiency,unclear,,unclear,,unclear,,unclear,,Q-learning (IBPR-QL),abstract-only,unclear,,unclear,,unclear,,abstract-only,Tabular-Q-Sarsa,unclear,,unclear,
27,yes,Optimization Method of DRL-based Route Planning under Limited Resources,yes,Pd denotes the position of the destination,none,,none,,predicted,"Rs = {-(Dremain/V) on the way, 0 reach the end}, where V is the current vehicle speed",individual,The optimization goal of route planning algorithm is to minimize the vehicle's total travel time,implicit-100%,the vehicle can choose the next action s' with the highest Q-value,enforced,we use S+A as input information into the policy network and get the Q-value to each action separately...the optional action space of vehicle agents is dynamic at each junction,"Double-DQN (improved, with Attention Mechanism policy network)",full-text,not-addressed,,not-reported,,not-stated,,full-text,DQN-family,next-link,"the action of the vehicle agent is to choose the next path at each junction ... [move forward, turn left, turn right, return]",raw-vector,we only need to use the state features vector with the largest Q-value
28,yes,Vehicle-Road Collaborative Path Planning Based on A*-assisted Deep Reinforcement Learning,yes,"Pd: The absolute position of the destination in cartesian coordinates (Xd, Yd)",other,These ideas aim at improving the convergence speed and enhancing generalization performance of the model,none,,predicted,the environment feedbacks expected travel time of the action as an immediate reward: rs = -(Lst+1/Vat+1) on the way,individual,"the global path planning is a time optimization problem, so we choose the optimization objective to design the reward mechanism",implicit-100%,"In each training step, the agent stores the current state s, action a, the reward obtained from the environment r and the next state s' (an experience)",action-masking,"it uses the A* algorithm to determine whether the current action can reach the end point. If not, exclude the action","DQN (Nature-DQN, A*-assisted)",full-text,not-addressed,,not-reported,,not-stated,,full-text,DQN-family,next-link,"the action space contains at most four actions: [STRAIGHT, LEFT, RIGHT, RETURN]",raw-vector,the convergence results of Nature-DQN are similar to the proposed algorithm because they are set the same observation vector
29,yes,A Deep Reinforcement Learning Approach for Route Planning of Autonomous Vehicles*,no,"s(t) = [x(t), phi_v(t), e(t)]...each with a randomly selected pair ci = (es, ef)",none,"Naturally, if the city of study changes a new agent training is needed to take in account different characteristic as traffic patterns and road network",none,"we define the distance d(t) between the current edge at time t, and the destination edge ef",step-wise,"rshortest(t) = {1 if d(t) < d(t-1), -0.5 otherwise}",individual,"an RL agent is associated with the AV that chooses the best action to obtain the minimum distance, with the minimum number of right/left turns and the maximum number of priority edges",implicit-100%,the AV will select the route that exhibits the best multi-objective strategy enlightened by the best value of the reward,unclear,"When an AV arrives to a node j in J at time t, it can change the edge and can decide among three possible actions: A = {Gostraight, Turnright, Turnleft}","PPO (PPO-Clip, actor-critic, via RLLib)",full-text,not-addressed,,not-reported,,not-stated,,full-text,Policy-gradient-AC,next-link,"When an AV arrives to a node j in J at time t, it can change the edge and can decide among three possible actions",raw-vector,"The state of the agent s(t) at time t is the following: s(t) = [x(t), v(t), e(t)] where x(t) = (Lat(t), Lon(t))"
