idx,state_form,claimed_capability,claim_quote,title
10,none,modest (no optimality/shortest claim),"Traditional methods such as the onboard navigation systems (e.g., Google Maps) use the shortest pathfinding algorithms Too congested on the left, let's take the right!",XRouting: Explainable Vehicle Rerouting for Urban Road Congestion Avoidance using Deep Reinforcement Learning
11,none,optimal-route-claim; unqualified,"Every day, each agent selects subjectively optimal routes on consecutive days of the learning process.",RouteRL: Multi-agent reinforcement learning framework for urban route choice with autonomous vehicles
12,local-prediction,optimal-route-claim; dynamic/real-time framing,,Congestion-Aware Path Planning With Vehicle-Road Cooperation in AIoV
13,none,unresolved,,Reinforcement learning of route choice considering traveler's preference
14,none,optimal-route-claim; dynamic/real-time framing,"In addition, the ability to adapt to the second fastest route is very important when traffic congestion suddenly occurs on the fastest path.",Reinforcement Learning Method with Dynamic Learning Rate for Real-Time Route Guidance Based on SUMO
15,none,modest (no optimality/shortest claim),"To achieve optimal vehicle routing and support sustainable mobility, more adaptive and intelligent strategies are needed.",Model-Based Deep Reinforcement Learning for Energy Efficient Routing of a Connected and Automated Vehicle
16,none,optimal-route-claim; unqualified,"The UE condition assumes that no driver can reduce their travel time by unilaterally changing routes, whereas the SO condition aims to minimize the total travel time for all drivers.",Reinforcement Learning-based Sequential Route Recommendation for System-Optimal Traffic Assignment
17,none,optimal-route-claim; unqualified,"Notably, our work is the first to utilize MADRL in determining the optimal joint policy for signal control and vehicle routing.",Joint Optimization of Traffic Signal Control and Vehicle Routing in Signalized Road Networks using Multi-Agent Deep Reinforcement Learning
18,none,optimal-route-claim; dynamic/real-time framing,"Static RGS are no longer applicable today, but some classic shortest path algorithms such as Dijkstra [7] and A* [8] are still widely used.",Dynamic Route Guidance System Based on Real-time Vehicle-Road Collaborations with Deep Reinforcement Learning
19,rollout-capable,unresolved,"Therefore, optimal path planning is a highly feasible solution to traffic congestion and has been the subject of a growing number of studies in recent years [4, 5].",Deep Reinforcement Learning for Vehicle Swarm Navigation and Urban Traffic Optimization
20,none,optimal-route-claim; unqualified,"Consequently, congestion can easily develop on the initially optimal route, resulting in secondary congestion.",Population Game-Assisted Multi-Agent Reinforcement Learning Method for Dynamic Multi-Vehicle Route Selection
21,none,optimal-route-claim; unqualified,"Route planning problems can be solved by determining the shortest paths using a model of the transportation network (Kosicek et al., 2012; Geisberger, 2011).",Modeling of route planning system based on Q value-based dynamic programming with multi-agent reinforcement learning algorithms
22,none,modest (no optimality/shortest claim),,Individual versus Difference Rewards on Reinforcement Learning for Route Choice
23,unclear,optimal-route-claim; unqualified,This paper proposes a new agent model and algorithm based on multiagent reinforcement learning to find a best and shortest path between the origin and destination nodes.,Route guidance system using multi-agent reinforcement learning
24,none,optimal-route-claim; dynamic/real-time framing,"However, road network conditions are dynamic, rendering the SPF to perform sub-optimally atbe times.",Network-aware multi-agent reinforcement learning for the vehicle navigation problem
25,none,optimal-route-claim; unqualified,Results indicate that our RL approach holds significant po­ tential for addressing the dynamic system optimal assignment problem.,Navigating the non-compliance effects on system optimal route guidance using reinforcement learning
26,local-prediction,unresolved,,Reinforcement learning-based route planning method for connected vehicles considering real-time road traffic information
27,none,modest (no optimality/shortest claim),"However, these algorithms have high computational complexity and low realtime performance, which cannot obtain the optimal solution under limited computing resources, and they are not suitable for route planning in dynamic environments.",Optimization Method of DRL-based Route Planning under Limited Resources
28,none,optimal-route-claim; dynamic/real-time framing,Dynamic path planning requires consideration of realtime traffic information and adjusts the optimal pre-planned path until reaching the destination.,Vehicle-Road Collaborative Path Planning Based on A*-assisted Deep Reinforcement Learning
29,none,optimal-route-claim; unqualified,"A modular DRL architecture is proposed to obtain a route able to minimize the length of the paths, minimize the number of turns during the travel and select the dedicated lanes.",A Deep Reinforcement Learning Approach for Route Planning of Autonomous Vehicles*
30,none,optimal-route-claim; dynamic/real-time framing,"The fourth challenge is addressed using EBkSP, which identifies vehicle optimal routes based on route popularity and vehicle priority.",Dynamic urban traffic rerouting with fog-cloud reinforcement learning
31,local-prediction,optimal-route-claim; dynamic/real-time framing,"The routing problem is formally modeled as a Markov Decision Process, where the agent interacts with a dynamic environment and learns a policy that minimizes travel time and avoids congestion.",A Deep Reinforcement Learning Framework for Real-Time Vehicle Routing with Dynamic Traffic Conditions
32,none,optimal-route-claim; dynamic/real-time framing,"The pro- posed framework integrates live traffic updates, road-conditions, weather information and emissions metrics to dynamically adjust routes, minimizing travel time and environmental impact.",Adaptive Reinforcement Learning Framework for Environmentally Sustainable Route Optimization
33,none,modest (no optimality/shortest claim),The aim is to develop and evaluate an intelligent rerouting system that is capable of minimizing traffic delays and improving vehicular flow efficiency.,Deep Q-Learning-based Route Optimization for Traffic Network
34,none,optimal-route-claim; unqualified,"Moreover, our model can provide alternative routes to divert traffic from the optimal route, thus mitigating the congestion drift problem.",Urban Multiple Route Planning Model Using Dynamic Programming in Reinforcement Learning
36,none,optimal-route-claim; unqualified,Theoretical analysis rigorously proves the realization of CE and that the proposed framework can effectively mitigate congestion without compromising individual user optimality.,Providing real-time en-route suggestions to CAVs for congestion mitigation: A two-way deep reinforcement learning approach
37,none,optimal-route-claim; dynamic/real-time framing,Contents lists available at ScienceDirect Transportation Research Part C journal homepage: www.elsevier.com/locate/trc Real-time system optimal traffic routing under uncertainties - Can physics models boost reinforcement learning?,Real-time system optimal traffic routing under uncertainties - Can physics models boost reinforcement learning?
38,local-prediction,unresolved,"While the Shortest Path First (SPF) algorithm is optimal for a single vehicle in a static network, it performs poorly in dynamic, multi-vehicle settings, often worsening congestion by routing all vehicles along identical paths.",Network-Constrained Policy Optimization for Adaptive Multi-agent Vehicle Routing
39,local-prediction,optimal-route-claim; unqualified,"In this paper, we propose a novel multi-preference routing system to combine different user-preferred routing criteria (i.e., travel time, fuel consumption, and pollution) to find an optimal source-destination route in a timely manner.",A Data-Driven Reinforcement Learning Based Multi-Objective Route Recommendation System
40,unclear,unresolved,,Emergency vehicle rescue route optimization based on deep reinforcement learning in highway network
41,none,optimal-route-claim; unqualified,"E-mail: haizhong.wang@oregonstate.edu ABSTRACT This paper presents a multiagent approach to identify the shortest path for the intelligent agents (i.e., autonomous vehicles) traveling through the transportation network using a Qlearning algorithm.",Autonomous Vehicle Routing Optimization in a Competitive Environment: A Reinforcement Learning Application
42,rollout-capable,optimal-route-claim; unqualified,"The traditional approach is to find the shortest geographical route connecting a given origin and destination, namely, the traveling salesman problem [6-8].",Multi-objective route recommendation method based on Q-learning algorithm
43,none,optimal-route-claim; unqualified,The agent must learn the balance between the shortest path and the fastest path to reach the destination.,Agent-Based Route Planning with Deep Q Learning
46,none,optimal-route-claim; unqualified,The algorithm strategically selects routes to minimize travel time and avoid congestion.,Optimizing Traffic Routes With Enhanced Double Q-Learning
47,none,optimal-route-claim; unqualified,It can dynami­ cally adjust driving routes based on real-time traffic condi­ tions and provides users with optimal or suboptimal travel plans.,Multi-agent deep reinforcement learning based on cloud-edge computing for urban vehicle route guidance
48,none,optimal-route-claim; dynamic/real-time framing,The model can quickly adapt to the most recent driving condition through online one-shot learning and predict the optimal ecoroutes for the subsequent unseen driving condition of the signalized traffic network.,Meta-deep q-learning for eco-routing
49,none,optimal-route-claim; unqualified,"Several attempts to address this issue have already been proposed, either by using a central authority to assign routes to the vehicles, or by means of a learning process where drivers select their best routes based on their previous experiences.",Sharing diverse information gets driver agents to learn faster: an application in en route trip building
50,none,optimal-route-claim; unqualified,"In terms of mitigating traffic congestion, route guidance (RG) plays an essential role in demand management by providing travellers with ‘‘optimal'' routes from their origins to corresponding destinations.",Regional route guidance with realistic compliance patterns: Application of deep reinforcement learning and MPC
51,none,optimal-route-claim; unqualified,"Agents learn their routes by deciding, at each node, how to continue their trips to each one's destination, in a way to minimize their travel times.",A multiagent reinforcement learning approach to en-route trip building
52,none,optimal-route-claim; dynamic/real-time framing,"By employing dynamic weighting factors, the algorithm selects the optimal route for connected vehicles based on their current positions as well as congestion status of the accessible roads.",Connected vehicles' dynamic route planning based on reinforcement learning
53,none,optimal-route-claim; unqualified,The optimal route choice strategy is presented by the Nash equilibrium of the congestion game.,A reinforcement learning scheme for the equilibrium of the in-vehicle route choice problem based on congestion game
54,none,optimal-route-claim; unqualified,"In recent years, deep reinforcement learning (DRL) has been applied to learning optimal planning policies in stochastic environments without prior knowledge.",Robust Route Planning with Distributional Reinforcement Learning in a Stochastic Road Network Environment
55,unclear,optimal-route-claim; dynamic/real-time framing,"Conventional methods hamper real time adjustment to continually changing traffic conditions, thereby providing suboptimal routes, a greater burden on the roadways, and greater air pollution.",Deep Reinforcement Learning for Optimizing Route Planning in Urban Traffic
56,none,optimal-route-claim; unqualified,"Traditional vehicle routing algorithms, such as Dijkstra's algorithm (24) and A* (25), calculate the shortest path based on the starting and ending points considering the travel time.",Vehicle-Infrastructure Cooperation Framework for Vehicle Navigation and Traffic Signal Control using Deep Reinforcement Learning
57,none,unresolved,,VEGA: Electric Vehicle Navigation Agent via Physics-Informed Neural Operator and Proximal Policy Optimization
58,none,optimal-route-claim; unqualified,"To address this, traffic authorities and experts try to distribute the flow among existing routes in order to minimize the overall travel time.",Using Car to Infrastructure Communication to Accelerate Learning in Route Choice
59,none,optimal-route-claim; dynamic/real-time framing,"Thus, methods of optimal routing and network balancing have emerged to minimise these adverse effects and reduce travel times.",Applying Markov decision process to adaptive dynamic route selection model
60,none,modest (no optimality/shortest claim),,A Sustainable Multi-Agent Routing Algorithm for Vehicle Platoons in Urban Networks
61,none,modest (no optimality/shortest claim),,Distributed Learning for Vehicle Routing Decision in Software Defined Internet of Vehicles
62,rollout-capable,optimal-route-claim; dynamic/real-time framing,"That is, once numerous drivers access the network simultaneously, and each opts for their personally optimal route, the collective outcome can be suboptimal, exacerbating congestion [2].",Proactive Urban Expressway Guidance: A Hybrid Approach Using Reinforcement Learning and Traffic Prediction Models
63,none,modest (no optimality/shortest claim),,A Bi-Level Network-Wide Cooperative Driving Approach Including Deep Reinforcement Learning-Based Routing
64,none,optimal-route-claim; unqualified,"In this article, we are interested in the macro-level route choice problem, which aims to alleviate traffic congestion by providing vehicles with optimal routes from their origins to predetermined destinations [12], [13], [14].",Self-Organized Routing for Autonomous Vehicles via Deep Reinforcement Learning
65,none,optimal-route-claim; dynamic/real-time framing,The model in the vehicle can quickly adapt to the most recent driving condition through online one-shot learning and predict the optimal eco-routes for the subsequent unseen driving conditions of the signalized traffic network.,Graph Convolutional Network Based Multi-Objective Meta-Deep Q-Learning for Eco-Routing
66,none,optimal-route-claim; unqualified,"On the other hand, MP-based methods, although providing globally optimal solutions, may struggle to handle the dynamic and stochastic nature of transportation networks efficiently.",SEGAC: Sample Efficient Generalized Actor Critic for the Stochastic On-Time Arrival Problem
67,none,optimal-route-claim; unqualified,"Index Terms- Reliable shortest path (RSP), distributional reinforcement learning (DRL), universal and scale free solution, graph embedding and deep distributional reinforcement learning (GE-DDRL), skip-gram.",GE-DDRL: Graph Embedding and Deep Distributional Reinforcement Learning for Reliable Shortest Path: A Universal and Scale Free Solution
68,none,optimal-route-claim; dynamic/real-time framing,"To address this challenge, this paper proposes a Constrained Reinforcement Learning for Shortest Path (CRL-SP) framework, which generates real-time, scalable, and emission-compliant routing solutions under hard carbon constraints.",Shortest-Time Path Planning Under Carbon Emission Constraints via Reinforcement Learning
69,none,optimal-route-claim; unqualified,"With the LET path-induced warm start and adaptive double e greedy exploration strategy, DRL-Router is able to converge to the optimal decision-making strategy efficiently.",DRL Router: Distributional Reinforcement Learning-Based Router for Reliable Shortest Path Problems
70,local-prediction,optimal-route-claim; unqualified,"In the field of path planning, Deep Reinforcement Learning (DRL) can effectively deal with the complex traffic environment and learn the optimal path selection strategy.",Optimization Path Planning Algorithm Based on Deep Reinforcement Learning
71,none,optimal-route-claim; dynamic/real-time framing,"The congestion alleviation effectiveness of the method is claimed to be superior in scenarios with more severe traffic, thereby confirming that the method is optimally robust to changing conditions of traffic.",Research on Emergency Rescue Path Optimization Method Based on Deep Reinforcement Learning
72,local-prediction,modest (no optimality/shortest claim),Rescue vehicles need to plan the safest and shortest path in a dynamic road network environment.,Safety-Aware Path Planning for Post-Disaster Rescue Vehicles
74,none,optimal-route-claim; unqualified,It is currently the shortest-circuit algorithm.,Path Planning in Urban Environment Based on Traffic Condition Perception and Traffic Light Status
75,none,optimal-route-claim; dynamic/real-time framing,,Autonomous Vehicles in Smart Cities: a Deep Reinforcement Learning Solution
76,unclear,optimal-route-claim; dynamic/real-time framing,"DRL, particularly in multi-agent configurations (MA-RL), empowers individual vehicles or intersections to learn optimal actions based on environmental feedback.",Intelligent Routing in Connected Autonomous Vehicles using the ADAPT-S Learning Architecture
77,rollout-capable,optimal-route-claim; dynamic/real-time framing,"INTRODUCTION Smart city transport systems need route planning that adapts to context, not just static maps or simple shortest-path methods.",Situation-aware Path Optimization for Autonomous Systems: A Deep Reinforcement Learning based Approach
78,none,modest (no optimality/shortest claim),"Conventional routing services typically optimize individual travel times, yet large-scale adoption of individually optimal guidance may amplify congestion and degrade network-level performance.",Resilient Multi-Agent Deep Reinforcement Learning for Routing Control via Traffic Cost Fields
79,unclear,optimal-route-claim; dynamic/real-time framing,"The D* Lite portion guarantees global optimal path-finding through incremental replanning, while the DQN agent learns locality decisions based on traffic aware congestion from past data.",Dynamic Route Optimization using D* Lite and DQN Algorithm
81,none,modest (no optimality/shortest claim),The asymmetric and local aspects of shared information lead to unnecessary congestion as the optimal path under the current decision is flooded with many vehicles that have adopted the same planning route.,A Communication Resource Enhanced Intelligent Road Traffic Routing Scheme
82,none,optimal-route-claim; unqualified,Continuously calculating optimal actions for multiple agents in real-time is computationally complex.,Work-in-Progress: Leveraging the Selfless Driving Model to Reduce Vehicular Network Congestion
83,none,modest (no optimality/shortest claim),,A Deep Q Learning-Model Predictive Control Approach to vehicle routing and control with platoon constraints
84,none,optimal-route-claim; dynamic/real-time framing,Our method evaluates crime risks and distances to suggest optimal routes that adapt to changing conditions.,A Dynamic Risk-aware Routing Recommendation Using Deep Reinforcement Learning
85,none,modest (no optimality/shortest claim),,Path planning for vehicle platoons under routing decisions: a distributed approach combining Deep Reinforcement Learning and Model Predictive Control
86,none,optimal-route-claim; dynamic/real-time framing,We propose a soft actor-critic-based EV rapid passage approach (SACRP) to minimize the response time of EVs.,A Joint Design of Path Planning and Lane Reservation for Emergency Service in ITS
87,none,optimal-route-claim; unqualified,"Existing research predominantly focuses on deterministic path planning algorithms, such as shortest path [7] and dynamic traffic assignment [8], which perform well under ideal conditions but struggle with random disturbances.",A Reinforcement Learning-Based Path Recommendation Strategy Considering Broadcast Disturbance and Behavioral Response
88,local-prediction,optimal-route-claim; unqualified,,Personalized and Context-aware Route Planning for Edge-assisted Vehicles
89,none,optimal-route-claim; unqualified,"An improved Sarsa algorithm is employed to search for optimal travel paths based on the principle of connection travel, providing passengers with better travel decision-making.",Research on Travel Paths Based on Car-Hailing Services Connecting with Rail Transit
90,none,optimal-route-claim; unqualified,Abstract-Abstract - The electric vehicle (EV) routing problem requires not only minimizing the travel distance but also considering energy constraints and the spatial distribution of charging stations.,Q-Learning-Based Energy-Aware Route Planning for Electric Vehicles on Real Road Networks with Charging Constraints
91,unclear,optimal-route-claim; dynamic/real-time framing,"In parallel, reinforcement learning is utilized to optimize route recommendations in real-time by defining the problem as a Markov Decision Process (MDP) and training an agent to learn an optimal route selection policy.",Cutting-Edge Travel Planner: Intelligent Route Recommendation System using Enhanced Learning Scheme with AI Principles
92,none,optimal-route-claim; unqualified,"Our approach achieves the highest combined performance score (1.3956), representing 3.4% and 4.3% improvements over Lowest Latency (1.3815) and Shortest Path (1.3380) algorithms respectively.",Multi-Objective Route Optimization via Dueling DQN for Teleoperated Driving
94,none,modest (no optimality/shortest claim),"Specifically, in the outer loop, the minimum energy consumption route is obtained by minimizing the difference between the value function of current round and the best value from all previous rounds.",Route Planning and Power Management for PHEVs With Reinforcement Learning
95,none,optimal-route-claim; unqualified,"In these studies, it was assumed that efficient traffic flows without collisions can be achieved in the future by instructing CAVs in the optimal vehicle behavior based on the sharing of their traffic information.",Preliminary Study on Cooperative Route Planning Reinforcement Learning with a Focus on Avoiding Intersection Congestion
97,local-prediction,modest (no optimality/shortest claim),"As a core component of ITS, the route guidance system (RGS) leverages congestion perception and route planning to analyze real-time traffic data and provide optimal routing suggestions for vehicles.",HERO: Heterogeneous-agent rEinforcement learning-based Route Optimization for Green Transportation in IoVs
98,none,optimal-route-claim; dynamic/real-time framing,This allows the intelligent agent to learn optimal postearthquake emergency response path planning strategies through continuous trial-anderror interactions with the environment.,Disaster-Aware Path Planning Based on Reinforcement Learning for Postearthquake Emergency Response
99,none,optimal-route-claim; unqualified,Reinforcement Learning is an emergent technology which has been able to solve the problem of the optimal task and resource scheduling dynamically.,Reinforcement Learning-based Unpredictable Emergency Events
101,rollout-capable,optimal-route-claim; unqualified,"EVs therefore must rely on route planning that extends beyond paradigms of shortest-distance and fastest-time optimization to enable energy optimization, real-time traffic prediction and awareness of charging infrastructure [3].",Energy Optimal Route Planning Framework for Electric Vehicles Using Hybrid Artificial Intelligence Models
