title,abstract,authors,year,venue,doi,citationCount,pool,old_include
An Adaptive Route Guidance Model Considering the Effect of Traffic Signals Based on Deep Reinforcement Learning,"Navigation or route guidance systems are designed to provide drivers with real-time travel information and the associated recommended routes for their trips. Classical route choice models typically rely on utility theory to represent drivers’ route choice behavior. Such choices, however, may not be optimal from both the individual and the system perspectives. This is simply due to the fact that drivers usually have imperfect knowledge about the time-varying traffic conditions. In this article, we explore and propose a new model-free deep reinforcement learning (DRL) approach to solving the adaptive route guidance problem based on microsimulation. The proposed approach consists of three interconnected algorithms, including a network edge labeling algorithm, a routing plan identification algorithm, and an adaptive route guidance algorithm. Simulation experiments on both a toy network and a real-world network of Suzhou, China, are performed to demonstrate the effectiveness of the proposed approach in terms of guiding a single vehicle as well as multiple vehicles through complex traffic environments. Comparative results confirm that the DRL approach outperforms the traditional shortest path method by further reducing the average travel time in the network.",,2024,IEEE Intelligent Transportation Systems Magazine,,9.0,both,1.0
Transfer Learning-Based Deep Reinforcement Learning Approach for Robust Route Guidance in Mixed Traffic Environment,"A previously developed Deep Reinforcement Learning-based Vehicle Routing (DRL-VR) algorithm aims to be used for providing the shortest Origin-Destination (OD) travel time path in dynamic traffic environment. However, several issues may still arise regarding uncertainty associated with mixed traffic conditions coexisting Automated Vehicles (AV) and Human-driven Vehicles (HV), particularly in a wide-area urban road network. To develop a robust and interoperable route guidance algorithm based on the DRL approach, this study proposes Transfer learning-based deep reinforcement Learning Algorithm for Route Guidance (TLARG). It is an extended framework on the previous approach by incorporating transfer learning scheme that enables the DRL model of TLARG to converge even in a wide-area urban road network. The TLARG is evaluated in terms of OD travel time based on diverse OD trips with different urban road networks, including narrow- and wide-area road networks. This research conducts several evaluation studies based on microscopic traffic simulation experiments. The simulation result shows that the TLARG enables the agent to complete its OD trips not only with flexible routes but also with reductions in travel time depending on given traffic situations irrespective of network type. Furthermore, it demonstrates that the robustness of the proposed approach by measuring the error of Estimated Time of Arrival (ETA) for various OD trips in different urban road networks under the mixed traffic conditions. Such findings suggest that the TLARG has great potential to enhance the punctuality of mobility service by providing robust route guidance, even in the era of coexisting AVs and HVs.",,2024,IEEE Access,,9.0,old,1.0
Development of Reinforcement Learning-based Traffic Predictive Route Guidance Algorithm Under Uncertain Traffic Environment,"There have been enormous efforts to develop a novel vehicle routing algorithm to reduce origin-to-destination (OD) travel time. Most of the previous studies have mainly focuses on providing the shortest travel time route based on an estimated traffic information. Few researches have considered the use of predictive information on traffic dynamics to improve the quality of route guidance algorithm. However, there is still uncertainty associated with future traffic condition, particularly in non-recurrent traffic congestion caused by abnormal event. For a reliable navigation service under uncertain traffic conditions, this research develops a reinforcement learning-based traffic predictive vehicle routing (RL-TPVR) algorithm. The proposed algorithm is designed to mitigate the variability of OD travel time by incorporating predictive state representation and prediction reward modeling in the reinforcement learning scheme. The RL-TPVR is evaluated in terms of OD travel time based on various traffic scenarios with different demand patterns. Several numerical studies including a performance gap analysis, case study, and comparative study are conducted using microscopic simulation experiments. The performance gap analysis demonstrates the superiority of the RL-TPVR with respect to traffic uncertainty, particularly in non-recurrent traffic congestion cases. In addition, the case study shows that the RL-TPVR exhibits a flexible and dynamic OD travel route depending on the given traffic situations. Furthermore, the comparative study verifies that the proposed algorithm outperforms other existing algorithms in both recurrent and non-recurrent traffic congestion cases. These findings suggest the RL-TPVR has great potential for providing the shortest travel time route under uncertain traffic conditions.",,2022,IEEE Access,,8.0,old,1.0
XRouting: Explainable Vehicle Rerouting for Urban Road Congestion Avoidance using Deep Reinforcement Learning,"Rerouting vehicles for urban congestion avoidance is challenging as the decision has to be undertaken promptly with the consideration of traffic condition changes caused by other vehicles' routing plans. Existing solutions such as the on-board navigation systems (e.g., Google Maps) cannot meet these requirements which is prone to trigger the well-known routing oscillation problem. Though deep reinforcement learning (DRL) approaches are able to provide a high-quality solution and satisfy the real-time requirement, not only do they usually suffer the slow and instability issues for convergence, but the input information, like a picture for each time step, is also teeming with redundant information. In this paper, we propose XRouting model that uses policy-based DRL and the revised Gated Transformer (GTr) architecture to accelerate and stabilize the training convergence in solving dynamic routing problems. Our simulation study validates that compared with existing rerouting solutions, XRouting can achieve higher reductions in travel time, fuel consumption, CO2 emission, and the route length. More importantly, XRouting is capable of determining which features are predominant when vehicles conduct rerouting. This explainable ability of our model can further guide human drivers what features to consider when rerouting manually in real life.",,2022,2022 IEEE International Smart Cities Conference (ISC2),,5.0,both,1.0
RouteRL: Multi-agent reinforcement learning framework for urban route choice with autonomous vehicles,"RouteRL is a novel framework that integrates multi-agent reinforcement learning (MARL) with a microscopic traffic simulation, facilitating the testing and development of efficient route choice strategies for autonomous vehicles (AVs). The proposed framework simulates the daily route choices of driver agents in a city, including two types: human drivers, emulated using behavioral route choice models, and AVs, modeled as MARL agents optimizing their policies for a predefined objective. RouteRL aims to advance research in MARL, transport modeling, and human-AI interaction for transportation applications. This study presents a technical report on RouteRL, outlines its potential research contributions, and showcases its impact via illustrative examples.",,2025,SoftwareX,,5.0,old,0.0
Congestion-Aware Path Planning With Vehicle-Road Cooperation in AIoV,"With the gradually integration of Internet of Vehicles (IoV) and artificial intelligence (AI), artificial intelligence of vehicles (AIoV) is emerging as a novel paradigm with advanced capability for information gathering and decision-making. Leveraging massive traffic information facilitated by vehicle-road coordination in AIoV, path planning has the potential to effectively mitigate existing traffic problems, such as road congestion, improving traffic performance. However, the dynamic nature of traffic flow and the complexity of road networks increase the difficulty of path planning, posing a serious threat to road safety. In response to this challenge, a reinforcement learning based path planning scheme with traffic flow prediction, named RPFP, is proposed. RPFP consists of two fundamental components: 1) precise traffic flow prediction and 2) intelligent path planning. Specifically, the temporal convolutional network (TCN) is innovatively integrated into the spatiotemporal graph neural network (STGNN), providing accurate traffic flow prediction by comprehensively capturing spatial and temporal patterns. Informed by predicted traffic congestion, a path planning method utilizing dueling double deep q-network (D3QN) algorithm is employed to navigate within complex road networks. Eventually, RPFP was evaluated for its effectiveness through comprehensive experiments conducted on real traffic data sets. The superiority of RPFP was further substantiated via comparisons with multiple baseline schemes.",,2024,IEEE Internet of Things Journal,,4.0,both,0.0
Reinforcement learning of route choice considering traveler¡¯s preference,"ABSTRACT Travelers always perform some preference during the decision-making process. The preference will affect the decision results and can be improved by continuously learning. In order to understand the influence of individual preference on travel behavior choice , two individual preferences, including indifference preference and compulsive preference are considered in the paper. Two updating mechanisms of compulsive preference are proposed to obtain the choosing probability of all alternatives. Reinforcement learning models are established integrating the gain stimulating and loss stimulating considering expected utility. Nguyen Dupuis network is adopted for numerical simulation to study the updating process. Simulation results denote that the equilibrium state is much more efficient when preference learning mechanism is considered comparing with the traditional stochastic user equilibrium model, and can decrease the total travel time greatly, which can be applied for urban traffic management. Personalized traffic guidance is the effective solution to traffic congestion in the future",,2023,Transportation letters,,4.0,old,0.0
Reinforcement Learning Method with Dynamic Learning Rate for Real-Time Route Guidance Based on SUMO,"The increasing number of vehicles and dynamic changes in traffic situations make real-time route planning strongly necessary. The route-guiding method is supposed to cope with dynamic traffic situations. In addition, the ability to adapt to the second fastest route is very important when traffic congestion suddenly occurs on the fastest path. This paper proposes a method of using reinforcement learning to solve dynamic route planning problems, and the adaptation from a static learning rate to a dynamic learning rate enhances the capability to deal with emergent congestion. Meanwhile, the waiting time before each traffic light also is considered as a reward factor in the proposed algorithm. Contrast experiments have been conducted on the simulation network by SUMO, which has demonstrated well that our proposed method has better performance than other methods.",,2022,"International Conference on Control, Automation, Robotics and Vision",,3.0,old,1.0
Model-Based Deep Reinforcement Learning for Energy Efficient Routing of a Connected and Automated Vehicle,"The emergence of connected and automated vehicles (CAVs) offers promising opportunities to enhance traffic control and improve overall transportation system performance. However, the complexity and dynamic nature of modern traffic networks pose significant challenges for traditional routing methods. To achieve optimal vehicle routing and support sustainable mobility, more adaptive and intelligent strategies are needed. Among recent advancements, model-based deep reinforcement learning has shown exceptional potential in solving complex decision-making problems across various domains. Leveraging this capability, the present study applies a model-based deep reinforcement learning approach to address the energy-efficient routing problem in a simulated CAV environment. The routes recommended by the algorithm are compared to the shortest route calculated by traffic simulation software. The simulation results show a significant improvement in energy efficiency when the vehicle follows the routes suggested by the learning algorithm, even when the vehicle is subjected to new traffic scenarios. In addition, a comparison of the model-based agent with a conventional model-free reinforcement learning agent across varied traffic conditions demonstrates the robustness of the model-based algorithm. This work represents the first application of a model-based deep reinforcement learning algorithm to the energy-efficient routing problem for CAVs. This work also showcases a novel application of the foundational algorithm AlphaGo Zero.",,2025,Sustainability,,2.0,old,0.0
Reinforcement Learning-based Sequential Route Recommendation for System-Optimal Traffic Assignment,"Modern navigation systems and shared mobility platforms increasingly rely on personalized route recommendations to improve individual travel experience and operational efficiency. However, a key question remains: can such sequential, personalized routing decisions collectively lead to system-optimal (SO) traffic assignment? This paper addresses this question by proposing a learning-based framework that reformulates the static SO traffic assignment problem as a single-agent deep reinforcement learning (RL) task. A central agent sequentially recommends routes to travelers as origin-destination (OD) demands arrive, to minimize total system travel time. To enhance learning efficiency and solution quality, we develop an MSA-guided deep Q-learning algorithm that integrates the iterative structure of traditional traffic assignment methods into the RL training process. The proposed approach is evaluated on both the Braess and Ortuzar-Willumsen (OW) networks. Results show that the RL agent converges to the theoretical SO solution in the Braess network and achieves only a 0.35% deviation in the OW network. Further ablation studies demonstrate that the route action set's design significantly impacts convergence speed and final performance, with SO-informed route sets leading to faster learning and better outcomes. This work provides a theoretically grounded and practically relevant approach to bridging individual routing behavior with system-level efficiency through learning-based sequential assignment.",,2025,arXiv.org,,2.0,both,0.0
Joint Optimization of Traffic Signal Control and Vehicle Routing in Signalized Road Networks using Multi-Agent Deep Reinforcement Learning,"Urban traffic congestion is a critical predicament that plagues modern road networks. To alleviate this issue and enhance traffic efficiency, traffic signal control and vehicle routing have proven to be effective measures. In this paper, we propose a joint optimization approach for traffic signal control and vehicle routing in signalized road networks. The objective is to enhance network performance by simultaneously controlling signal timings and route choices using Multi-Agent Deep Reinforcement Learning (MADRL). Signal control agents (SAs) are employed to establish signal timings at intersections, whereas vehicle routing agents (RAs) are responsible for selecting vehicle routes. By establishing relevance between agents and enabling them to share observations and rewards, interaction and cooperation among agents are fostered, which enhances individual training. The Multi-Agent Advantage Actor-Critic algorithm is used to handle multi-agent environments, and Deep Neural Network (DNN) structures are designed to facilitate the algorithm's convergence. Notably, our work is the first to utilize MADRL in determining the optimal joint policy for signal control and vehicle routing. Numerical experiments conducted on the modified Sioux network demonstrate that our integration of signal control and vehicle routing outperforms controlling signal timings or vehicles' routes alone in enhancing traffic efficiency.",,2023,arXiv.org,,2.0,old,0.0
Dynamic Route Guidance System Based on Real-time Vehicle-Road Collaborations with Deep Reinforcement Learning,"To address the potential traffic congestion in urban transportation systems, an intelligent dynamic Route Guidance System (RGS) is proposed, which calculates the road weights with real-time traffic flow predictions using the reinforcement learning method. Additionally, a training strategy is proposed for the Road Agents (RAs), which optimizes RA through interaction with the traffic environment. The effectiveness of the proposed method is verified through simulation on the Urban Mobility Simulation (SUMO) platform, and it is shown that the proposed method performs well in complex and changing urban traffic environments with different driver participation rates. Therefore, it provides a feasible solution to the congestion problem and will push forward the development of intelligent transportation systems.",,2023,IEEE Vehicular Technology Conference,,1.0,both,0.0
Deep Reinforcement Learning for Vehicle Swarm Navigation and Urban Traffic Optimization,"Traffic congestion has become a prevalent phenomenon on urban roads, leading to significant challenges, including economic losses due to travel delays, increased fuel consumption, and air pollution from vehicle emissions. As it is impractical to extensively improve city road networks, vehicle routing optimization has emerged as a viable solution for alleviating congestion. However, traditional algorithms cannot effectively process information for complex and changeable traffic environments. By contrast, deep reinforcement learning (DRL) is a powerful approach for solving navigation problems. Rather than creating smart vehicles, we propose a navigation model to guide all vehicles. The model employs a graph neural network to effectively capture dynamic traffic flow patterns. We utilize the simulation of urban mobility to generate a large quantity of traffic data for use as reinforcement learning samples. We propose a parallel simulation training strategy to accelerate DRL convergence. We verify the effectiveness of our model by performing simulations on a simplified road network and a real‐life road network under multiple traffic scenarios and compare the results to those obtained using traditional methods and dynamic user equilibrium (DUE). The experimental results demonstrate that the proposed model reduces average travel time by up to 7.54% and the number of halting vehicles by up to 14.35% compared to traditional methods in high‐congestion scenarios, maintaining stability across various traffic conditions. The overall performance of the proposed method is comparable to that of DUE, indicating that traffic flow patterns mined through the deep network can be used to effectively deduce the optimal vehicle route without performing the iterations required for DUE. In general, the proposed approach has the capability to accommodate dynamic and complex traffic information, considerably mitigating traffic congestion.",,2025,Transactions on Emerging Telecommunications Technologies,,1.0,old,0.0
Integrated Routing and Traffic Signal Control for CAVs via Reinforcement Learning Approach,"Incorporating Connected and Automated Vehicles (CAVs) into urban traffic networks presents opportunities and challenges for traffic management systems. This paper aims to develop an integrated routing and traffic signal control system designed explicitly for CAVs, utilizing a Reinforcement Learning (RL) approach. The objective is to enhance traffic flow and improve overall transportation efficiency in the controlled areas. We propose an innovative framework that employs the Deep Reinforcement Learning (DRL) algorithm, especially the Deep Q-network (DQN), to dynamically adjust the number of vehicles in the routes and the duration of traffic signals. Our simulation results demonstrate that a DQN agent successfully optimizes the number of vehicles in the routes and traffic signal timings of traffic signal controllers, eventually reducing total travel time. The study illustrates the potential usage of RL-based systems in managing routing and traffic signals for CAVs, offering a promising opportunity for future urban traffic management strategies.",,2024,2024 IEEE 27th International Conference on Intelligent Transportation Systems (ITSC),,1.0,old,0.0
Population Game-Assisted Multi-Agent Reinforcement Learning Method for Dynamic Multi-Vehicle Route Selection,"To address urban traffic congestion, researchers have made various efforts to mitigate issues such as prolonged travel time, fuel wastage, and pollutant emissions. These efforts primarily involve microscopic route selection from the vehicle perspective, multi-vehicle route optimization based on traffic flow information and historical data, and coordinated route optimization that models vehicle interaction as a game behavior. However, existing route selection algorithms suffer from limitations such as a lack of heuristic, low dynamicity, lengthy learning cycles, and vulnerability to multi-vehicle route conflicts. To further alleviate traffic congestion, this paper presents a Period-Stage-Round Route Selection Model (PSRRSM), which utilizes a population game between vehicles at each intersection to solve the Nash equilibrium. Additionally, a Period Learning Algorithm for Route Selection (PLA-RS) is proposed, which is based on a multi-agent deep deterministic policy gradient. The algorithm allows the agents to learn from the population game and eventually transition into autonomous learning, adapting to different decision-making roles in different periods. The PSRRSM is experimentally validated using the traffic simulation platform SUMO (Simulation of Urban Mobility) in both artificial and real road networks. The experimental results demonstrate that PSRRSM outperforms several comparative algorithms in terms of network throughput and average travel cost. This is achieved through the coordination of multi vehicle route optimization, facilitated by inter-vehicle population games and communication among road agents during training, enabling the vehicle strategies to reach a Nash equilibrium.",,2024,Electronics,,0.0,old,0.0
Modeling of route planning system based on Q value-based dynamic programming with multi-agent reinforcement learning algorithms,,,2014,Engineering applications of artificial intelligence,,91.0,old,0.0
Individual versus Difference Rewards on Reinforcement Learning for Route Choice,,,2014,Brazilian Conference on Intelligent Systems,,24.0,old,0.0
Route guidance system using multi-agent reinforcement learning,,,2011,International Conference on Information Technology in Asia,,12.0,old,1.0
Using Topological Statistics to Bias and Accelerate Route Choice: Preliminary Findings in Synthetic and Real-World Road Networks,,,2016,ATT@IJCAI,,11.0,old,0.0
Network-aware multi-agent reinforcement learning for the vehicle navigation problem,"Traffic congestion is characterized by longer trip times, and increased air pollution. In a static road network, the travel time to a destination is constant and can be computed using the shortest path first algorithm (SPF). However, road network conditions are dynamic, rendering the SPF to perform sub-optimally at times. In addition, in a realistic multiple-vehicle scenario, the SPF routing algorithm can cause congestion by routing all vehicles through the same shortest path. In this paper, we propose a network-aware multi-agent reinforcement learning model for addressing this problem. Our key idea is to assign an RL agent to intersections. Each RL agent operates as a router agent and is responsible for providing routing instructions to approaching vehicles. When a vehicle reaches an intersection, it submits a routing query to the RL agent consisting of its final destination. The RL agent generates a routing response based on (i) the destination, (ii) the current state of the road network, and (iii) routing policies learned by cooperating with other neighboring RL agents. Our experimental evaluation shows that the proposed MARL model outperforms the SPF algorithm by (up to) 20.2% in average travel time.",,2022,SIGSPATIAL/GIS,,10.0,old,0.0
A hierarchical deep reinforcement learning method for solving urban route planning problems under large-scale customers and real-time traffic conditions,"Abstract As urbanization and economic growth advance, large-scale customers and real-time traffic conditions have become crucial factors in urban route planning. Deep reinforcement learning is considered the most effective method for solving urban route planning problems involving large-scale customers and real-time traffic conditions. Due to memory usage limitations, existing deep reinforcement learning methods cannot identify candidate customers or determine optimal travel routes in large-scale and real-time environments. To tackle these problems, this study introduces a hierarchical deep reinforcement learning method utilizing an improved transformer model (HDRLITF) based on the divide-and-conquer concept. Graph attention networks and gate mechanisms are integrated into the transformer model to capture dynamic features and improve the model’s performance. A two-stage training method, based on the actor-critic algorithm, is proposed to determine the optimal policy function. To evaluate the HDRLITF method, experiments were conducted using datasets from the cities of Shenzhen and Chengdu in China. The experimental results suggest that the HDRLITF method can effectively interact with real-time traffic environments and obtain high-quality solutions compared to other deep reinforcement learning methods. The robustness and reliability of HDRLITF were further validated across multiple traffic scenarios and indicators.",,2024,International Journal of Geographical Information Science,,9.0,old,1.0
