idx,title,state_form,recorded,machine,selected_sentences,settled_by
34,Urban Multiple Route Planning Model Using Dynamic Programming in Reinforcement Learning,none,optimal,optimal,5,"Moreover, our model can provide alternative routes to divert trafﬁc from the optimal route, thus mitigating the congestion drift problem."
36,Providing real-time en-route suggestions to CAVs for congestion mitigation: A two-way deep reinforcement learning approach,none,optimal,optimal,1,"The key insight of this research lies in the role of the self-learning information provider, who learns the optimal en-route suggestions for CAVs through repeated interactions with the system."
37,Real-time system optimal traffic routing under uncertainties - Can physics models boost reinforcement learning?,none,optimal,optimal,6,The system optimal routing aims to minimize the total system cost by assigning routes for some travelers.
38,Network-Constrained Policy Optimization for Adaptive Multi-agent Vehicle Routing,local-prediction,unresolved,optimal,6,"Our formulation differs from classical shortest path routing in its emphasis on multi-agent coordination, and from fleet management problems [18, 27, 55] in its focus on individual vehicle routing rather than supply-demand balancing."
39,A Data-Driven Reinforcement Learning Based Multi-Objective Route Recommendation System,local-prediction,optimal,optimal,12,"Therefore, there arises a problem: for a given vehicle driving from a source to a destination, how to choose a route in a timely manner so that the vehicle can successfully arrive at its destination considering the driver’s preferred weights on travel time, fuel consumption, and air pollutants at th"
40,Emergency vehicle rescue route optimization based on deep reinforcement learning in highway network,unclear,unresolved,optimal,4,"Research on Emergency Rescue Path Optimization Method Based on Deep Reinforcement Learning Xiaodong Huanga, Huadong Shi, Lixi Zhang Officers College of PAP of Training Base, Guangzhou, Guangdong, china a812656592@qq.com Abstract—This paper presents the first attempt at an emergency rescue path optim"
41,Autonomous Vehicle Routing Optimization in a Competitive Environment: A Reinforcement Learning Application,none,optimal,optimal,4,"E-mail: haizhong.wang@oregonstate.edu ABSTRACT This paper presents a multiagent approach to identify the shortest path for the intelligent agents (i.e., autonomous vehicles) traveling through the transportation network using a Q- learning algorithm."
42,Multi-objective route recommendation method based on Q-learning algorithm,rollout-capable,optimal,optimal,2,"Multi-objective route recommendation algorithm based on q-learning Based on the Q-learning algorithm, this study proposes a multi-objective route recommendation algorithm based on Q-learning (MORRBQ) to ﬁnd the optimal route from the source node to the destina- tion node satisfying the multi-objecti"
43,Agent-Based Route Planning with Deep Q Learning,none,optimal,modest,0,
46,Optimizing Traffic Routes With Enhanced Double Q-Learning,none,optimal,optimal,4,"IET Intelligent Transport Systems ORIGINAL RESEARCH Optimizing Traffic Routes With Enhanced Double Q-Learning Mayur Patil Pooja Tambolkar Shawn Midlam-Mohler Department of Mechanical and Aerospace Engineering, The Ohio State University, Ohio, USA Correspondence: Mayur Patil (patil.151@osu.edu) Recei"
47,Multi-agent deep reinforcement learning based on cloud-edge computing for urban vehicle route guidance,none,optimal,optimal,3,"The model for urban route guidance, based on the research objectives and framework of this paper, can be defined as follows: Within a networked road network structure, multi- agent systems collaborate to determine the optimal driving route for vehicles between their departure points and des­ tinatio"
48,Meta-deep q-learning for eco-routing,none,optimal,optimal,2,"For comparison, we also implement two other popular methods: 1) shortest-path (i.e., Dijkstra method); and 2) driver’s random exploration."
49,Sharing diverse information gets driver agents to learn faster: an application in en route trip building,none,optimal,optimal,1,"We were able to show that one has to strive to communicate information that is diverse enough, in order to avoid sub-optimal route choices, that is, those that are made by drivers having similar information."
50,Regional route guidance with realistic compliance patterns: Application of deep reinforcement learning and MPC,none,optimal,modest,0,
51,A multiagent reinforcement learning approach to en-route trip building,none,optimal,modest,0,
52,Connected vehicles' dynamic route planning based on reinforcement learning,none,optimal,optimal,1,"By employing dynamic weighting factors, the algorithm selects the optimal route for connected vehicles based on their current positions as well as congestion status of the accessible roads."
53,A reinforcement learning scheme for the equilibrium of the in-vehicle route choice problem based on congestion game,none,optimal,optimal,3,Applied Mathematics and Computation 371 (2020) 124895 Contents lists available at ScienceDirect Applied Mathematics and Computation journal homepage: www.elsevier.com/locate/amc A reinforcement learning scheme for the equilibrium of the in-vehicle route choice problem based on congestion game Bo Zho
54,Robust Route Planning with Distributional Reinforcement Learning in a Stochastic Road Network Environment,none,optimal,optimal,1,"We denote the second and the third shortest path in Town02 as Robust Path 1 and Robust Path 2, respectively."
55,Deep Reinforcement Learning for Optimizing Route Planning in Urban Traffic,unclear,optimal,modest,0,
56,Vehicle-Infrastructure Cooperation Framework for Vehicle Navigation and Traffic Signal Control using Deep Reinforcement Learning,none,optimal,optimal,4,This paper proposes a collaborative optimization framework for vehicle navigation and traffic signal con- trol based on deep reinforcement learning.
57,VEGA: Electric Vehicle Navigation Agent via Physics-Informed Neural Operator and Proximal Policy Optimization,none,unresolved,optimal,5,"Transactions on Emerging Telecommunications Technologies RESEARCH ARTICLE Deep Reinforcement Learning for Vehicle Swarm Navigation and Urban Traffic Optimization Rubo Zhang1 | Peiqun Lin2,3 | Chuhao Zhou2,3 | Lixin Miao1 1Tsinghua Shenzhen International Graduate School, Shenzhen, Guangdong, China | "
58,Using Car to Infrastructure Communication to Accelerate Learning in Route Choice,none,optimal,modest,0,
59,Applying Markov decision process to adaptive dynamic route selection model,none,optimal,optimal,3,"An efficient method of machine learning is reinforcement learning, and this method was employed in this study to develop the ADRS model for finding the optimal path in a network with variable route cost."
60,A Sustainable Multi-Agent Routing Algorithm for Vehicle Platoons in Urban Networks,none,modest,modest,0,
61,Distributed Learning for Vehicle Routing Decision in Software Defined Internet of Vehicles,none,modest,modest,0,
62,Proactive Urban Expressway Guidance: A Hybrid Approach Using Reinforcement Learning and Traffic Prediction Models,rollout-capable,optimal,optimal,3,The proposed MDP segments the entire control duration into multiple dis- crete time steps and formulates the route guidance control as a dynamic optimization problem.
63,A Bi-Level Network-Wide Cooperative Driving Approach Including Deep Reinforcement Learning-Based Routing,none,modest,optimal,1,"On the other hand, we desire that the agent can make the relatively optimal routing decision from candidate routes under any trafﬁc conditions."
64,Self-Organized Routing for Autonomous Vehicles via Deep Reinforcement Learning,none,optimal,optimal,5,"In this article, we are interested in the macro-level route choice problem, which aims to alleviate trafﬁc congestion by providing vehicles with optimal routes from their origins to predetermined destinations [12], [13], [14]."
65,Graph Convolutional Network Based Multi-Objective Meta-Deep Q-Learning for Eco-Routing,none,optimal,optimal,2,"Besides the GM2DQL, three other eco-routing meth- ods are also considered here for comparisons, which are 1) the Dijkstra’s shortest path method, 2) human driver’s random exploration, and 3) our preliminary MLP-based meta- learning [70] that only considers single link."
66,SEGAC: Sample Efficient Generalized Actor Critic for the Stochastic On-Time Arrival Problem,none,optimal,optimal,2,"With the given edges’ distribution models, we can calculate that: (1) for T = 19, the ego vehicle should take Edge 2 and Edge 4 as the optimal path, which has an SOTA probability of Φ( 19−20 √ 8 ) = 0.36; (2) for T = 21, the ego vehicle should take Edge 1 and Edge 3 as the optimal path, which has an"
67,GE-DDRL: Graph Embedding and Deep Distributional Reinforcement Learning for Reliable Shortest Path: A Universal and Scale Free Solution,none,optimal,optimal,15,"11, NOVEMBER 2023 GE-DDRL: Graph Embedding and Deep Distributional Reinforcement Learning for Reliable Shortest Path: A Universal and Scale Free Solution Hongliang Guo , Member, IEEE, Wenda Sheng , Yingjie Zhou , Member, IEEE, and Yunping Chen , Member, IEEE Abstract— This paper studies the reliable"
68,Shortest-Time Path Planning Under Carbon Emission Constraints via Reinforcement Learning,none,optimal,optimal,6,"To address this challenge, this paper proposes a Constrained Reinforcement Learning for Shortest Path (CRL-SP) framework, which generates real-time, scalable, and emission-compliant routing solutions under hard carbon constraints."
69,DRL Router: Distributional Reinforcement Learning-Based Router for Reliable Shortest Path Problems,none,optimal,optimal,4,"Sec­ ond, from the technology innovation perspective, 1) we intro­ duce a LET path-induced warm start method to effectively Abstract—This article studies reliable shortest path (RSP) problems in stochastic transportation networks."
70,Optimization Path Planning Algorithm Based on Deep Reinforcement Learning,local-prediction,optimal,optimal,4,This article aims to explore the optimal path planning algorithm based on DRL to improve the accuracy and efficiency of path planning.
71,Research on Emergency Rescue Path Optimization Method Based on Deep Reinforcement Learning,none,optimal,optimal,4,"Research on Emergency Rescue Path Optimization Method Based on Deep Reinforcement Learning Xiaodong Huanga, Huadong Shi, Lixi Zhang Officers College of PAP of Training Base, Guangzhou, Guangdong, china a812656592@qq.com Abstract—This paper presents the first attempt at an emergency rescue path optim"
72,Safety-Aware Path Planning for Post-Disaster Rescue Vehicles,local-prediction,modest,modest,0,
74,Path Planning in Urban Environment Based on Traffic Condition Perception and Traffic Light Status,none,optimal,optimal,3,"When a vehicle arrives at a new road section, it senses the trafﬁc light status, distribution and vehicle positions in the road network on each road section through V2V and V2I communication, and based on this information, we use an A2C-based deep reinforcement learning method to dynamically plan th"
75,Autonomous Vehicles in Smart Cities: a Deep Reinforcement Learning Solution,none,optimal,optimal,1,"2 Therefore, given a URN, the problem we want to solve can be stated as follows: Autonomous Vehicles in Urban Environments (AV-UE): Given a team of autonomous vehicles, find the best route in order to drive them to their destination and to avoid as much as possible traffic congestion."
76,Intelligent Routing in Connected Autonomous Vehicles using the ADAPT-S Learning Architecture,unclear,optimal,optimal,1,"This paper presents a novel hybrid learning architecture that integrates deep reinforcement learning with ant colony optimization to enable edge-aware, real-time routing decisions for connected vehicle networks."
77,Situation-aware Path Optimization for Autonomous Systems: A Deep Reinforcement Learning based Approach,rollout-capable,optimal,modest,0,
78,Resilient Multi-Agent Deep Reinforcement Learning for Routing Control via Traffic Cost Fields,none,modest,optimal,1,We consider two shortest-path baselines.
79,Dynamic Route Optimization using D* Lite and DQN Algorithm,unclear,optimal,optimal,2,"This paper advances intelligent, adaptive route optimization that trades between optimality, flexibility and real-time decision-making, to the future urban transportation system."
81,A Communication Resource Enhanced Intelligent Road Traffic Routing Scheme,none,modest,optimal,3,"In this paper, we propose a route planning optimization scheme with the aid of communication resource, which provides secure and efﬁcient route planning services for trafﬁc network."
82,Work-in-Progress: Leveraging the Selfless Driving Model to Reduce Vehicular Network Congestion,none,optimal,optimal,1,"Because such a strategy does not guarantee an optimal navigation route for individual vehicles, we refer to it as a “selﬂess” policy and based on this observation we propose the Selﬂess Trafﬁc Routing (STR) model."
83,A Deep Q Learning-Model Predictive Control Approach to vehicle routing and control with platoon constraints,none,modest,modest,0,
84,A Dynamic Risk-aware Routing Recommendation Using Deep Reinforcement Learning,none,optimal,optimal,2,Our method evaluates crime risks and distances to suggest optimal routes that adapt to changing conditions.
85,Path planning for vehicle platoons under routing decisions: a distributed approach combining Deep Reinforcement Learning and Model Predictive Control,none,modest,modest,0,
86,A Joint Design of Path Planning and Lane Reservation for Emergency Service in ITS,none,optimal,optimal,1,• SACRP: Our approach relies on real-time traffic data and uses a soft actor-critic-based (SAC-based) algorithm to plan the optimal path for EV continually.
87,A Reinforcement Learning-Based Path Recommendation Strategy Considering Broadcast Disturbance and Behavioral Response,none,optimal,optimal,1,"Traffic Feature Modeling To support the optimization of coordinated path planning, this paper first formalizes the traffic state by edge wise mod- eling."
88,Personalized and Context-aware Route Planning for Edge-assisted Vehicles,local-prediction,optimal,optimal,3,"However, the vehicle route planning presents an additional challenge which aims to identify the optimal route between source and destination considering highly dy- namic factors."
89,Research on Travel Paths Based on Car-Hailing Services Connecting with Rail Transit,none,optimal,modest,0,
90,Q-Learning-Based Energy-Aware Route Planning for Electric Vehicles on Real Road Networks with Charging Constraints,none,optimal,modest,0,
91,Cutting-Edge Travel Planner: Intelligent Route Recommendation System using Enhanced Learning Scheme with AI Principles,unclear,optimal,modest,0,
92,Multi-Objective Route Optimization via Dueling DQN for Teleoperated Driving,none,optimal,optimal,15,"Multi-Objective Route Optimization via Dueling DQN for Teleoperated Driving Iskander Zellagui, Sidi-Mohammed Senouci, In`es El Korbi, Shajjad Hossain Universit´e Bourgogne Europe, DRIVE UR 1859, 58000 Nevers, France Iskander.Zellagui@ube.fr, Sidi-Mohammed.Senouci@ube.fr, Ines.El-Korbi@ube.fr, Shajja"
94,Route Planning and Power Management for PHEVs With Reinforcement Learning,none,modest,optimal,2,"The main difference between the proposed route planning algorithm and the shortest path algorithm is that the reward function (2) in the proposed method uses fuel consumption and battery recuperation, while the shortest path algorithm only considers the distance."
95,Preliminary Study on Cooperative Route Planning Reinforcement Learning with a Focus on Avoiding Intersection Congestion,none,optimal,optimal,3,"To investigate the feasibility of avoiding intersection conflicts through network-level route allocation, we propose a cooperative route allocation model using reinforcement learning than can model the relationship between the complex traffic environ- ment and optimal route solutions."
97,HERO: Heterogeneous-agent rEinforcement learning-based Route Optimization for Green Transportation in IoVs,local-prediction,modest,optimal,6,"In view of this, we propose a novel Heterogeneous-agent rEinforcement Route Optimization (HERO) framework that combines fog and cloud computing to optimize traffic management."
98,Disaster-Aware Path Planning Based on Reinforcement Learning for Postearthquake Emergency Response,none,optimal,optimal,1,"12(e) illustrates that, even in scenarios with no disaster centers, the proposed algorithm still finds the shortest path."
99,Reinforcement Learning-based Unpredictable Emergency Events,none,optimal,optimal,1,"In summary, the contribution of this research is a developed Q-learning algorithms to optimize time travel and the shortest paths of emergency supplies to arrive where needed."
101,Energy Optimal Route Planning Framework for Electric Vehicles Using Hybrid Artificial Intelligence Models,rollout-capable,optimal,optimal,4,This study proposes a novel Energy Optimal Route Planning Framework that integrates multi-source spatio-temporal data with hybrid artificial intelligence (AI) models to enhance navigation decisions for EVs.
