idx,title,recorded_field,recorded,pdf,match_ratio,machine,settled_by
12,Congestion-Aware Path Planning With Vehicle-Road Cooperation in AIoV,not-addressed,not-addressed,Congestion_Aware_Path_Planning_With_Vehicle_Road_Cooperation_in_AIoV_pdf.txt,0.971,not-addressed,
13,Reinforcement learning of route choice considering traveler's preference,unclear,,,0.000,,
14,Reinforcement Learning Method with Dynamic Learning Rate for Real-Time Route Guidance Based on SUMO,not-addressed,not-addressed,Reinforcement_Learning_Method_with_Dynamic_Learning_Rate_for_Real_Time_Route_Guidance_Based_on_SUMO_pdf.txt,0.980,not-addressed,
15,Model-Based Deep Reinforcement Learning for Energy Efficient Routing of a Connected and Automated Vehicle,not-addressed,not-addressed,Model_Based_Deep_Reinforcement_Learning_for_Energy_Efficient_Routing_of_a_Connected_and_Automated_Vehicle_pdf.txt,0.981,not-addressed,
16,Reinforcement Learning-based Sequential Route Recommendation for System-Optimal Traffic Assignment,not-addressed,not-addressed,Reinforcement_Learning_based_Sequential_Route_Recommendation_for_System_Optimal_1de72023_pdf.txt,0.853,not-addressed,
17,Joint Optimization of Traffic Signal Control and Vehicle Routing in Signalized Road Networks using Multi-Agent Deep Reinforcement Learning,not-addressed,not-addressed,,0.000,,
18,Dynamic Route Guidance System Based on Real-time Vehicle-Road Collaborations with Deep Reinforcement Learning,not-addressed,not-addressed,Dynamic_Route_Guidance_System_Based_on_Real_time_Vehicle_Road_Collaborations_with_Deep_Reinforcement_Learning_pdf.txt,0.982,not-addressed,
19,Deep Reinforcement Learning for Vehicle Swarm Navigation and Urban Traffic Optimization,boundary-open-addressed,addressed,Deep_Reinforcement_Learning_for_Vehicle_Swarm_Navigation_and_Urban_Traffic_Optimization_pdf.txt,0.978,addressed,"The other input is the assignment of vehicles that have entered the road network; that is, the number of vehicles assigned to each road segment is recorded and accordingly deducted when a vehicle exits the road network."
20,Population Game-Assisted Multi-Agent Reinforcement Learning Method for Dynamic Multi-Vehicle Route Selection,boundary-open-addressed,addressed,Population_Game_Assisted_Multi_Agent_Reinforcement_Learning_Method_for_Dynamic_Multi_Vehicle_Route_Selection_pdf.txt,0.982,addressed,"After that, the complete route for each vehicle is determined as it enters the road network in the experimental scenario."
21,Modeling of route planning system based on Q value-based dynamic programming with multi-agent reinforcement learning algorithms,not-addressed,not-addressed,Modeling_of_route_planning_system_based_on_Q_value_based_dynamic_programming_with_multi_agent_reinforcement_learning_alg.txt,0.972,not-addressed,
22,Individual versus Difference Rewards on Reinforcement Learning for Route Choice,not-addressed,not-addressed,Individual_versus_Difference_Rewards_on_Reinforcement_Learning_for_Route_Choice_pdf.txt,0.975,not-addressed,
23,Route guidance system using multi-agent reinforcement learning,not-addressed,not-addressed,Route_guidance_system_using_multi_agent_reinforcement_learning_pdf.txt,0.969,not-addressed,
24,Network-aware multi-agent reinforcement learning for the vehicle navigation problem,boundary-open-addressed,addressed,Network_aware_multi_agent_reinforcement_learning_for_the_vehicle_navigation_problem_pdf.txt,0.976,not-addressed,
25,Navigating the non-compliance effects on system optimal route guidance using reinforcement learning,not-addressed,not-addressed,Navigating_the_non_compliance_effects_on_system_optimal_route_guidance_using_reinforcement_learning_pdf.txt,0.980,not-addressed,
26,Reinforcement learning-based route planning method for connected vehicles considering real-time road traffic information,unclear,,,0.000,,
27,Optimization Method of DRL-based Route Planning under Limited Resources,not-addressed,not-addressed,Optimization_Method_of_DRL_based_Route_Planning_under_Limited_Resources_pdf.txt,0.973,not-addressed,
28,Vehicle-Road Collaborative Path Planning Based on A*-assisted Deep Reinforcement Learning,not-addressed,not-addressed,Vehicle_Road_Collaborative_Path_Planning_Based_on_A_star_assisted_Deep_Reinforcement_Learning_pdf.txt,0.951,not-addressed,
29,A Deep Reinforcement Learning Approach for Route Planning of Autonomous Vehicles*,not-addressed,not-addressed,A_Deep_Reinforcement_Learning_Approach_for_Route_Planning_of_Autonomous_Vehicles_pdf.txt,0.976,not-addressed,
30,Dynamic urban traffic rerouting with fog-cloud reinforcement learning,boundary-open-addressed,addressed,Dynamic_urban_traffic_rerouting_with_fogcloud_reinforcement_learning_pdf.txt,0.965,addressed,The flow of vehicles entering the network was a critical consideration in these experiments as it directly influenced the traffic dynamics and ultimately the road congestion The study examined five different rates at which vehicles entered the network (at all 28 specific entry points).
31,A Deep Reinforcement Learning Framework for Real-Time Vehicle Routing with Dynamic Traffic Conditions,not-addressed,not-addressed,A_Deep_Reinforcement_Learning_Framework_for_Real_Time_Vehicle_Routing_with_Dynamic_Traffic_Conditions_pdf.txt,0.981,addressed,"Essential data, including cluster centroids, all edges, internal border edges, and complete boundary edges, were extracted and stored to facilitate modular traffic assignment."
32,Adaptive Reinforcement Learning Framework for Environmentally Sustainable Route Optimization,not-addressed,not-addressed,Adaptive_Reinforcement_Learning_Framework_for_Environmentally_Sustainable_Route_Optimization_pdf.txt,0.979,not-addressed,
33,Deep Q-Learning-based Route Optimization for Traffic Network,not-addressed,not-addressed,Deep_Q_Learning_based_Route_Optimization_for_Traffic_Network_pdf.txt,0.968,not-addressed,
34,Urban Multiple Route Planning Model Using Dynamic Programming in Reinforcement Learning,not-addressed,not-addressed,Urban_Multiple_Route_Planning_Model_Using_Dynamic_Programming_in_Reinforcement_Learning_pdf.txt,0.978,not-addressed,
36,Providing real-time en-route suggestions to CAVs for congestion mitigation: A two-way deep reinforcement learning approach,not-addressed,not-addressed,Providing_real_time_en_route_suggestions_to_CAVs_for_congestion_mitigation_A_two_way_deep_reinforcement_learning_approac.txt,0.996,not-addressed,
37,Real-time system optimal traffic routing under uncertainties - Can physics models boost reinforcement learning?,boundary-open-addressed,addressed,Real_time_system_optimal_traffic_routing_under_uncertainties_Can_physics_models_boost_reinforcement_learning_pdf.txt,0.982,addressed,"An alternative and more practical way is to use the number of vehicles leaving the controlled road network during each time interval, which can be retrieved by monitoring the periphery of the controlled Transportation Research Part C 173 (2025) 105040 10 Z."
38,Network-Constrained Policy Optimization for Adaptive Multi-agent Vehicle Routing,boundary-open-addressed,addressed,idx38_Network_Constrained_Policy_Optimization_for_Adaptive_Multi_agent_Vehicle_Routing_pdf.txt,0.941,addressed,The 26 non-perimeter intersections are controlled by routing agents.
39,A Data-Driven Reinforcement Learning Based Multi-Objective Route Recommendation System,not-addressed,not-addressed,A_Data_Driven_Reinforcement_Learning_Based_Multi_Objective_Route_Recommendation_System_pdf.txt,0.977,not-addressed,
40,Emergency vehicle rescue route optimization based on deep reinforcement learning in highway network,unclear,,,0.000,,
41,Autonomous Vehicle Routing Optimization in a Competitive Environment: A Reinforcement Learning Application,boundary-open-addressed,addressed,Autonomous_Vehicle_Routing_Optimization_in_a_Competitive_Environment_A_Reinforcement_Learning_Application_pdf.txt,0.981,addressed,This means that an agent cannot move outside the network.
42,Multi-objective route recommendation method based on Q-learning algorithm,not-addressed,not-addressed,Multi_objective_route_recommendation_method_based_on_Q_learning_algorithm_pdf.txt,0.973,not-addressed,
43,Agent-Based Route Planning with Deep Q Learning,not-addressed,not-addressed,Agent_Based_Route_Planning_with_Deep_Q_Learning_pdf.txt,0.959,not-addressed,
46,Optimizing Traffic Routes With Enhanced Double Q-Learning,not-addressed,not-addressed,Optimizing_Traffic_Routes_With_Enhanced_Double_Q_Learning_pdf.txt,0.966,not-addressed,
47,Multi-agent deep reinforcement learning based on cloud-edge computing for urban vehicle route guidance,not-addressed,not-addressed,Multi_agent_deep_reinforcement_learning_based_on_cloud_edge_computing_for_urban_vehicle_route_guidance_pdf.txt,0.981,addressed,"Vehicles are introduced into the network at rates of 40 vehicles/min, 60 vehicles/min, and 80 vehicles/min over a period of 1800 s to simulate low, medium, and high traffic flows. 70% of the vehicles enter the network from its edges, with starting loca­ tions distributed randomly."
48,Meta-deep q-learning for eco-routing,not-addressed,not-addressed,Meta_deep_q_learning_for_eco_routing_pdf.txt,0.947,not-addressed,
49,Sharing diverse information gets driver agents to learn faster: an application in en route trip building,not-addressed,not-addressed,Sharing_diverse_information_gets_driver_agents_to_learn_faster_an_application_in_en_route_trip_building_pdf.txt,0.981,not-addressed,
50,Regional route guidance with realistic compliance patterns: Application of deep reinforcement learning and MPC,boundary-open-addressed,addressed,Regional_route_guidance_with_realistic_compliance_patterns_Application_of_deep_reinforcement_learning_and_MPC_pdf.txt,0.982,addressed,Zhou and Gayah (2021) introduced a DRL-based framework utilizing NMFDs for perimeter control in two-region urban networks.
51,A multiagent reinforcement learning approach to en-route trip building,not-addressed,not-addressed,A_multiagent_reinforcement_learning_approach_to_en_route_trip_building_pdf.txt,0.972,not-addressed,
52,Connected vehicles' dynamic route planning based on reinforcement learning,boundary-open-addressed,addressed,Connected_vehicles_dynamic_route_planning_based_on_reinforcement_learning_pdf.txt,0.973,addressed,"This scenario is highly complex, with 70 intersections and five exits (three exits upward, one to the right, and one downward), see Fig. 8."
53,A reinforcement learning scheme for the equilibrium of the in-vehicle route choice problem based on congestion game,not-addressed,not-addressed,A_reinforcement_learning_scheme_for_the_equilibrium_of_the_in_vehicle_route_choice_problem_based_on_congestion_game_pdf.txt,0.983,not-addressed,
54,Robust Route Planning with Distributional Reinforcement Learning in a Stochastic Road Network Environment,not-addressed,not-addressed,Robust_Route_Planning_with_Distributional_Reinforcement_Learning_in_a_Stochastic_Road_Network_Environment_pdf.txt,0.981,not-addressed,
55,Deep Reinforcement Learning for Optimizing Route Planning in Urban Traffic,not-addressed,not-addressed,Deep_Reinforcement_Learning_for_Optimizing_Route_Planning_in_Urban_Traffic_pdf.txt,0.974,not-addressed,
56,Vehicle-Infrastructure Cooperation Framework for Vehicle Navigation and Traffic Signal Control using Deep Reinforcement Learning,boundary-open-addressed,addressed,Vehicle_Infrastructure_Cooperation_Framework_for_Vehicle_Navigation_and_Traffic_Signal_Control_using_Deep_Reinforcement_.txt,0.964,addressed,"Specifically, these routing files represent scenarios where a maximum of 500, 1000, and 1500 vehicles enter the road network within a 30-min period, respectively."
57,VEGA: Electric Vehicle Navigation Agent via Physics-Informed Neural Operator and Proximal Policy Optimization,not-addressed,not-addressed,,0.000,,
58,Using Car to Infrastructure Communication to Accelerate Learning in Route Choice,not-addressed,not-addressed,Using_Car_to_Infrastructure_Communication_to_Accelerate_Learning_in_Route_Choice_pdf.txt,0.976,not-addressed,
59,Applying Markov decision process to adaptive dynamic route selection model,not-addressed,not-addressed,Applying_Markov_decision_process_to_adaptive_dynamic_route_selection_model_pdf.txt,0.974,not-addressed,
60,A Sustainable Multi-Agent Routing Algorithm for Vehicle Platoons in Urban Networks,not-addressed,not-addressed,A_Sustainable_Multi_Agent_Routing_Algorithm_for_Vehicle_Platoons_in_Urban_Networks_pdf.txt,0.976,not-addressed,
61,Distributed Learning for Vehicle Routing Decision in Software Defined Internet of Vehicles,not-addressed,not-addressed,Distributed_Learning_for_Vehicle_Routing_Decision_in_Software_Defined_Internet_of_Vehicles_pdf.txt,0.978,not-addressed,
62,Proactive Urban Expressway Guidance: A Hybrid Approach Using Reinforcement Learning and Traffic Prediction Models,not-addressed,not-addressed,Proactive_Urban_Expressway_Guidance_A_Hybrid_Approach_Using_Reinforcement_Learning_and_Traffic_Prediction_Models_pdf.txt,0.982,addressed,"The road network spans approximately 7.8 km in the east-west direction, featuring three entrance ramps and four exit ramps."
63,A Bi-Level Network-Wide Cooperative Driving Approach Including Deep Reinforcement Learning-Based Routing,boundary-open-addressed,addressed,A_Bi_Level_Network_Wide_Cooperative_Driving_Approach_Including_Deep_Reinforcement_Learning_Based_Routing_pdf.txt,0.981,addressed,"Without losing generality, we build a typical network-wide trafﬁc environment as illustrated in Fig. 7, where L1 is the distance from the intersection to the boundary of the road network and L2 is the distance between intersections."
64,Self-Organized Routing for Autonomous Vehicles via Deep Reinforcement Learning,boundary-open-addressed,addressed,Self_Organized_Routing_for_Autonomous_Vehicles_via_Deep_Reinforcement_Learning_pdf.txt,0.975,not-addressed,
65,Graph Convolutional Network Based Multi-Objective Meta-Deep Q-Learning for Eco-Routing,not-addressed,not-addressed,Graph_convolutional_network_based_multi_objective_meta_deep_Q_learning_for_eco_routing_pdf.txt,0.977,not-addressed,
66,SEGAC: Sample Efficient Generalized Actor Critic for the Stochastic On-Time Arrival Problem,not-addressed,not-addressed,SEGAC_Sample_Efficient_Generalized_Actor_Critic_for_the_Stochast_pdf.txt,0.835,not-addressed,
67,GE-DDRL: Graph Embedding and Deep Distributional Reinforcement Learning for Reliable Shortest Path: A Universal and Scale Free Solution,not-addressed,not-addressed,GE_DDRL_Graph_Embedding_and_Deep_Distributional_Reinforcement_Learning_for_Reliable_Shortest_Path_A_Universal_and_Scale_.txt,0.944,not-addressed,
68,Shortest-Time Path Planning Under Carbon Emission Constraints via Reinforcement Learning,not-addressed,not-addressed,Shortest_Time_Path_Planning_Under_Carbon_Emission_Constraints_via_Reinforcement_Learning_pdf.txt,0.978,not-addressed,
69,DRL Router: Distributional Reinforcement Learning-Based Router for Reliable Shortest Path Problems,not-addressed,not-addressed,DRL_Router_Distributional_Reinforcement_Learning_Based_Router_for_Reliable_Shortest_Path_Problems_pdf.txt,0.980,not-addressed,
70,Optimization Path Planning Algorithm Based on Deep Reinforcement Learning,not-addressed,not-addressed,Optimization_Path_Planning_Algorithm_Based_on_Deep_Reinforcement_Learning_pdf.txt,0.973,not-addressed,
71,Research on Emergency Rescue Path Optimization Method Based on Deep Reinforcement Learning,not-addressed,not-addressed,Research_on_Emergency_Rescue_Path_Optimization_Method_Based_on_Deep_Reinforcement_Learning_pdf.txt,0.978,not-addressed,
72,Safety-Aware Path Planning for Post-Disaster Rescue Vehicles,not-addressed,not-addressed,Safety_Aware_Path_Planning_for_Post_Disaster_Rescue_Vehicles_pdf.txt,0.968,not-addressed,
74,Path Planning in Urban Environment Based on Traffic Condition Perception and Traffic Light Status,boundary-open-addressed,addressed,Path_Planning_in_Urban_Environment_Based_on_Traffic_Condition_Perception_and_Traffic_Light_Status_pdf.txt,0.980,addressed,"Evaluation Indicators In our experimental scenario, vehicles enter the road network from different intersections and can make their way out of the network from different intersections."
75,Autonomous Vehicles in Smart Cities: a Deep Reinforcement Learning Solution,boundary-open-addressed,addressed,Autonomous_Vehicles_in_Smart_Cities_a_Deep_Reinforcement_Learning_Solution_pdf.txt,0.974,not-addressed,
76,Intelligent Routing in Connected Autonomous Vehicles using the ADAPT-S Learning Architecture,not-addressed,not-addressed,Intelligent_Routing_in_Connected_Autonomous_Vehicles_using_the_ADAPT_S_Learning_Architecture_pdf.txt,0.979,not-addressed,
77,Situation-aware Path Optimization for Autonomous Systems: A Deep Reinforcement Learning based Approach,not-addressed,not-addressed,Situation_aware_Path_Optimization_for_Autonomous_Systems_A_Deep_Reinforcement_Learning_based_Approach_pdf.txt,0.981,not-addressed,
78,Resilient Multi-Agent Deep Reinforcement Learning for Routing Control via Traffic Cost Fields,not-addressed,not-addressed,Resilient_Multi_Agent_Deep_Reinforcement_Learning_for_Routing_Control_via_Traffic_Cost_Fields_pdf.txt,0.979,not-addressed,
79,Dynamic Route Optimization using D* Lite and DQN Algorithm,not-addressed,not-addressed,Dynamic_Route_Optimization_using_D_Lite_and_DQN_Algorithm_pdf.txt,0.966,not-addressed,
81,A Communication Resource Enhanced Intelligent Road Traffic Routing Scheme,not-addressed,not-addressed,A_Communication_Resource_Enhanced_Intelligent_Road_Traffic_Routing_Scheme_pdf.txt,0.973,not-addressed,
82,Work-in-Progress: Leveraging the Selfless Driving Model to Reduce Vehicular Network Congestion,not-addressed,not-addressed,Work_in_Progress_Leveraging_the_Selfless_Driving_Model_to_Reduce_Vehicular_Network_Congestion_pdf.txt,0.979,not-addressed,
83,A Deep Q Learning-Model Predictive Control Approach to vehicle routing and control with platoon constraints,not-addressed,not-addressed,A_Deep_Q_Learning_Model_Predictive_Control_Approach_to_vehicle_routing_and_control_with_platoon_constraints_pdf.txt,0.982,not-addressed,
84,A Dynamic Risk-aware Routing Recommendation Using Deep Reinforcement Learning,boundary-open-addressed,addressed,A_Dynamic_Risk_aware_Routing_Recommendation_Using_Deep_Reinforcement_Learning_pdf.txt,0.975,not-addressed,
85,Path planning for vehicle platoons under routing decisions: a distributed approach combining Deep Reinforcement Learning and Model Predictive Control,not-addressed,not-addressed,Path_planning_for_vehicle_platoons_under_routing_decisions_a_distributed_approach_combining_Deep_Reinforcement_Learning_.txt,0.891,addressed,"To formally comply with, xin and xfin (xfin an equilibrium) denote the entrance point and the exit point along the j−th link, respectively."
86,A Joint Design of Path Planning and Lane Reservation for Emergency Service in ITS,not-addressed,not-addressed,A_Joint_Design_of_Path_Planning_and_Lane_Reservation_for_Emergency_Service_in_ITS_pdf.txt,0.976,not-addressed,
87,A Reinforcement Learning-Based Path Recommendation Strategy Considering Broadcast Disturbance and Behavioral Response,not-addressed,not-addressed,A_Reinforcement_Learning_Based_Path_Recommendation_Strategy_Considering_Broadcast_Disturbance_and_Behavioral_Response_pd.txt,0.987,not-addressed,
88,Personalized and Context-aware Route Planning for Edge-assisted Vehicles,not-addressed,not-addressed,Personalized_and_Context_aware_Route_Planning_for_Edge_assisted_Vehicles_pdf.txt,0.973,not-addressed,
89,Research on Travel Paths Based on Car-Hailing Services Connecting with Rail Transit,not-addressed,not-addressed,Research_on_Travel_Paths_Based_on_Car_Hailing_Services_Connecting_with_Rail_Transit_pdf.txt,0.976,not-addressed,
90,Q-Learning-Based Energy-Aware Route Planning for Electric Vehicles on Real Road Networks with Charging Constraints,not-addressed,not-addressed,Q_Learning_Based_Energy_Aware_Route_Planning_for_Electric_Vehicles_on_Real_Road_Networks_with_Charging_Constraints_pdf.txt,0.983,not-addressed,
91,Cutting-Edge Travel Planner: Intelligent Route Recommendation System using Enhanced Learning Scheme with AI Principles,not-addressed,not-addressed,Cutting_Edge_Travel_Planner_Intelligent_Route_Recommendation_System_using_Enhanced_Learning_Scheme_with_AI_Principles_pd.txt,0.987,not-addressed,
92,Multi-Objective Route Optimization via Dueling DQN for Teleoperated Driving,not-addressed,not-addressed,Multi_Objective_Route_Optimization_via_Dueling_DQN_for_Teleoperated_Driving_pdf.txt,0.974,not-addressed,
94,Route Planning and Power Management for PHEVs With Reinforcement Learning,boundary-open-addressed,addressed,Route_Planning_and_Power_Management_for_PHEVs_With_Reinforcement_Learning_pdf.txt,0.973,addressed,The blue circle represents the boundary area to reduce the computational overhead.
95,Preliminary Study on Cooperative Route Planning Reinforcement Learning with a Focus on Avoiding Intersection Congestion,boundary-open-addressed,addressed,Preliminary_Study_on_Cooperative_Route_Planning_Reinforcement_Learning_with_a_Focus_on_Avoiding_Intersection_Congestion_.txt,1.000,addressed,"To satisfy X and Y, vehicles were given departure times and destinations, and each vehicle entered the network at its departure time."
97,HERO: Heterogeneous-agent rEinforcement learning-based Route Optimization for Green Transportation in IoVs,not-addressed,not-addressed,HERO_Heterogeneous_agent_rEinforcement_learning_based_Route_Optimization_for_Green_Transportation_in_IoVs_pdf.txt,0.981,not-addressed,
98,Disaster-Aware Path Planning Based on Reinforcement Learning for Postearthquake Emergency Response,not-addressed,not-addressed,Disaster_Aware_Path_Planning_Based_on_Reinforcement_Learning_for_Postearthquake_Emergency_Response_pdf.txt,0.980,not-addressed,
99,Reinforcement Learning-based Unpredictable Emergency Events,not-addressed,not-addressed,Reinforcement_Learning_based_Unpredictable_Emergency_Events_pdf.txt,0.967,not-addressed,
101,Energy Optimal Route Planning Framework for Electric Vehicles Using Hybrid Artificial Intelligence Models,not-addressed,not-addressed,Energy_Optimal_Route_Planning_Framework_for_Electric_Vehicles_Using_Hybrid_Artificial_Intelligence_Models_pdf.txt,0.981,not-addressed,
