title,year,venue,doi,verdict,reason
Autonomous vehicle navigation with deep reinforcement learning,2019,,,out-of-scope,"read at title and abstract, outside the guidance object"
Reinforcement learning for autonomous vehicle navigation in Urban environments,2024,World Journal of Advanced Engineering Technology and Sciences,https://doi.org/10.30574/wjaets.2024.11.1.0019,out-of-scope,"read at title and abstract, outside the guidance object"
Realtime Vehicle Route Optimisation via DQN for Sustainable and Resilient Urban Transportation Network,2022,Liverpool John Moores University,https://doi.org/10.24377/ljmu.t.00012594,out-of-scope,"doctoral thesis, outside the publication types the corpus admits"
Hierarchical Deep Reinforcement Learning for Autonomous Vehicle Navigation and Planning,2025,Open MIND,https://doi.org/10.5281/zenodo.18429730,out-of-scope,"read at title and abstract, outside the guidance object"
Hierarchical Deep Reinforcement Learning for Autonomous Vehicle Navigation and Planning,2025,Zenodo (CERN European Organization for Nuclear Research),https://doi.org/10.5281/zenodo.18429729,out-of-scope,"read at title and abstract, outside the guidance object"
Using Reinforcement Learning Techniques for Autonomous Vehicles Navigation in Urban Intersections,2026,,https://doi.org/10.5220/0014467100004052,out-of-scope,"read at title and abstract, outside the guidance object"
Quantum Game-Theoretic Reinforcement Learning for Autonomous Vehicle Navigation and Communication in Vehicular Networks,2026,Research Square,https://doi.org/10.21203/rs.3.rs-9709036/v1,out-of-scope,"read at title and abstract, outside the guidance object"
Acceleration of Gradient-Based Path Integral Method for Efficient Optimal and Inverse Optimal Control,2018,,https://doi.org/10.1109/icra.2018.8463164,out-of-scope,"read at title and abstract, outside the guidance object"
Autonomous Transmission Route Planning of Large Sport Utility Vehicle Using Ensemble RNN-Based Reinforcement Learning,2024,Lecture notes in networks and systems,https://doi.org/10.1007/978-981-97-3991-2_31,out-of-scope,"read at title and abstract, outside the guidance object"
Context-Conditioned Meta-Reinforcement Learning for Expectation-Aligned Route Guidance in Time-Critical Urban Mobility,2026,SSRN Electronic Journal,https://doi.org/10.2139/ssrn.6099819,in-scope-later,"route guidance by the present author, post-dating the search collection"
COREAN: Context-conditioned meta-reinforcement learning for expectation-aligned route guidance in time-critical urban mobility,2026,Transportation Research Part C Emerging Technologies,https://doi.org/10.1016/j.trc.2026.105836,in-scope-later,"journal version of the preceding record, same work"
A unified model for the fairness mechanism‐based coordinated vehicle route guidance,2023,IET Intelligent Transport Systems,https://doi.org/10.1049/itr2.12414,out-of-scope,"read at title and abstract, outside the guidance object"
Quantum Artificial Intelligence for Secure Autonomous Vehicle Navigation: An Architectural Proposal,2025,,https://doi.org/10.36227/techrxiv.175085826.66790135/v1,out-of-scope,"read at title and abstract, outside the guidance object"
Quantum Artificial Intelligence for Secure Autonomous Vehicle Navigation: An Architectural Proposal,2025,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2506.16000,out-of-scope,"read at title and abstract, outside the guidance object"
Machine Learning in Autonomous Transportation: Optimizing Route Planning,2022,American Journal of Machine Learning,https://doi.org/10.71465/ajml2868,out-of-scope,"read at title and abstract, outside the guidance object"
Hybrid Graph Neural Network Model for Energy-efficient Route Planning in Autonomous EV Mobility Networks,2026,,https://doi.org/10.1109/ictmim68190.2026.11507547,unresolvable,the learner is not identified as reinforcement learning in the abstract
Efficient Path Planning for Large-Scale Vehicular Networks via Multi-agent Mean Field Reinforcement Learning,2024,Communications in computer and information science,https://doi.org/10.1007/978-981-97-7001-4_16,out-of-scope,"read at title and abstract, outside the guidance object"
Research on Path Planning Algorithm Based on the Integration of Ant Colony Algorithm and AI Decision,2024,,https://doi.org/10.1109/icdsca63855.2024.10859913,unresolvable,the routing object is not resolvable to a road network from the abstract
Optimizing Vehicle Routing by Incorporating Driver Preferences: A Pointer Network and Deep Q Network (Pndqn) Approach,2024,SSRN Electronic Journal,https://doi.org/10.2139/ssrn.4913614,out-of-scope,"read at title and abstract, outside the guidance object"
Graph-Env,2022,OSTI OAI (U.S. Department of Energy Office of Scientific and Technical Information),https://doi.org/10.11578/dc.20220622.3,out-of-scope,"read at title and abstract, outside the guidance object"
Efficiency OF Optimization Algorithms in Artificial Intelligence Applications,2025,Neliti,,out-of-scope,"read at title and abstract, outside the guidance object"
Hierarchical OR + RL Control for Cloud and Network Operations Under Policy-as-Code Constraints,2021,International Journal of Academic and Industrial Research Innovations(IJAIRI),https://doi.org/10.62311/nesx/rp-m5-dec-2021,out-of-scope,"read at title and abstract, outside the guidance object"
Dynamic Transportation Problem,2024,Soft Computing Research Society eBooks,https://doi.org/10.56155/978-81-955020-9-7-16,out-of-scope,"read at title and abstract, outside the guidance object"
