idx,title,category,comparators_located,evidence_source
45,Realtime vehicle route optimisation via DQN for sustainable and resilient urban transportation network,non-learning-comparator,dynamic-Dijkstra;dynamic-A*,fulltext-pdf
46,Optimizing Traffic Routes With Enhanced Double Q-Learning,learning-only-comparator,Q-learning;double Q-learning;DQN,fulltext-pdf
47,Multi-agent deep reinforcement learning based on cloud-edge computing for urban vehicle route guidance,non-learning-comparator,Dijkstra;DUA,fulltext-pdf
48,Meta-deep q-learning for eco-routing,non-learning-comparator,Dijkstra,fulltext-pdf
49,Sharing diverse information gets driver agents to learn faster: an application in en route trip building,non-learning-comparator,dynamic user assignment (DUA),fulltext-pdf
50,Regional route guidance with realistic compliance patterns: Application of deep reinforcement learning and MPC,non-learning-comparator,S-MPC;C-MPC (model predictive control),fulltext-pdf
51,A multiagent reinforcement learning approach to en-route trip building,non-learning-comparator,incremental assignment;method of successive averages,fulltext-pdf
52,Connected vehicles' dynamic route planning based on reinforcement learning,non-learning-comparator,ant-colony,fulltext-pdf
53,A reinforcement learning scheme for the equilibrium of the in-vehicle route choice problem based on congestion game,learning-only-comparator,IQ-learning;DQ-learning,fulltext-pdf
54,Robust Route Planning with Distributional Reinforcement Learning in a Stochastic Road Network Environment,non-learning-comparator,shortest-path reference;A2C;PPO;DQN;QR-DQN,fulltext-pdf
55,Deep Reinforcement Learning for Optimizing Route Planning in Urban Traffic,non-learning-comparator,A*;Dijkstra;baseline RL,fulltext-pdf
56,Vehicle-Infrastructure Cooperation Framework for Vehicle Navigation and Traffic Signal Control using Deep Reinforcement Learning,non-learning-comparator,Dijkstra+fixed-time;Dijkstra+PressLight;RL combinations,fulltext-pdf
57,VEGA: Electric Vehicle Navigation Agent via Physics-Informed Neural Operator and Proximal Policy Optimization,non-learning-comparator,Energy-aware A*;Tesla Trip Planner,fulltext-pdf
58,Using Car to Infrastructure Communication to Accelerate Learning in Route Choice,non-learning-comparator,dynamic user assignment (DUA),fulltext-pdf
59,Applying Markov decision process to adaptive dynamic route selection model,non-learning-comparator,deterministic dynamic programming,fulltext-pdf
60,A Sustainable Multi-Agent Routing Algorithm for Vehicle Platoons in Urban Networks,non-learning-comparator,Dijkstra,fulltext-pdf
61,Distributed Learning for Vehicle Routing Decision in Software Defined Internet of Vehicles,non-learning-comparator,reverse Stackelberg (RSG);stage learning (SL);distributed cooperative algorithm,fulltext-pdf
62,Proactive Urban Expressway Guidance: A Hybrid Approach Using Reinforcement Learning and Traffic Prediction Models,non-learning-comparator,no-control,fulltext-pdf
63,A Bi-Level Network-Wide Cooperative Driving Approach Including Deep Reinforcement Learning-Based Routing,non-learning-comparator,Dijkstra + MCTS benchmark approach,fulltext-pdf
64,Self-Organized Routing for Autonomous Vehicles via Deep Reinforcement Learning,non-learning-comparator,random routing;greedy routing,fulltext-pdf
65,Graph Convolutional Network Based Multi-Objective Meta-Deep Q-Learning for Eco-Routing,non-learning-comparator,Dijkstra shortest path;random exploration,fulltext-pdf
66,SEGAC: Sample Efficient Generalized Actor Critic for the Stochastic On-Time Arrival Problem,non-learning-comparator,DP/MP-based methods;vanilla actor-critic;PQL;CTD;DRL-Router,fulltext-pdf
67,GE-DDRL: Graph Embedding and Deep Distributional Reinforcement Learning for Reliable Shortest Path: A Universal and Scale Free Solution,non-learning-comparator,classical RSP planning algorithms,fulltext-pdf
68,Shortest-Time Path Planning Under Carbon Emission Constraints via Reinforcement Learning,non-learning-comparator,constrained shortest-path algorithms (Dijkstra/A* family),fulltext-pdf
69,DRL Router: Distributional Reinforcement Learning-Based Router for Reliable Shortest Path Problems,non-learning-comparator,classical RSP planning algorithms,fulltext-pdf
70,Optimization Path Planning Algorithm Based on Deep Reinforcement Learning,non-learning-comparator,traditional path-planning algorithms,fulltext-pdf
71,Research on Emergency Rescue Path Optimization Method Based on Deep Reinforcement Learning,non-learning-comparator,Dijkstra;standard DQN,fulltext-pdf
72,Safety-Aware Path Planning for Post-Disaster Rescue Vehicles,non-learning-comparator,greedy algorithm,fulltext-pdf
73,A Multi-Agent Deep Reinforcement Learning Framework for Dynamic Path Planning in Autonomous Vehicles,non-learning-comparator,rule-based A*;SA-DQN;IMADQN,fulltext-pdf
74,Path Planning in Urban Environment Based on Traffic Condition Perception and Traffic Light Status,non-learning-comparator,traditional methods;RPU;DQN,fulltext-pdf
75,Autonomous Vehicles in Smart Cities: a Deep Reinforcement Learning Solution,no-comparison-located,,fulltext-pdf
76,Intelligent Routing in Connected Autonomous Vehicles using the ADAPT-S Learning Architecture,non-learning-comparator,ACO-only;DRL-only,fulltext-pdf
77,Situation-aware Path Optimization for Autonomous Systems: A Deep Reinforcement Learning based Approach,non-learning-comparator,static Dijkstra,fulltext-pdf
78,Resilient Multi-Agent Deep Reinforcement Learning for Routing Control via Traffic Cost Fields,non-learning-comparator,dynamic shortest-path;heuristic baselines,fulltext-pdf
79,Dynamic Route Optimization using D* Lite and DQN Algorithm,non-learning-comparator,A*;D* Lite,fulltext-pdf
80,Reinforcement Learning for Dynamic Traffic Management: A Scalable Approach to Congestion Reduction,non-learning-comparator,predefined shortest-path baseline;traffic assignment models,fulltext-pdf
81,A Communication Resource Enhanced Intelligent Road Traffic Routing Scheme,non-learning-comparator,Dijkstra scheme;DDPG scheme,fulltext-pdf
82,Work-in-Progress: Leveraging the Selfless Driving Model to Reduce Vehicular Network Congestion,learning-only-comparator,DNN-architecture variants (ablation),fulltext-pdf
83,A Deep Q Learning-Model Predictive Control Approach to vehicle routing and control with platoon constraints,no-comparison-located,,fulltext-pdf
84,A Dynamic Risk-aware Routing Recommendation Using Deep Reinforcement Learning,non-learning-comparator,Dijkstra,fulltext-pdf
85,Path planning for vehicle platoons under routing decisions: a distributed approach combining Deep Reinforcement Learning and Model Predictive Control,no-comparison-located,,fulltext-pdf
86,A Joint Design of Path Planning and Lane Reservation for Emergency Service in ITS,non-learning-comparator,A*;PERDQN-PP,fulltext-pdf
87,A Reinforcement Learning-Based Path Recommendation Strategy Considering Broadcast Disturbance and Behavioral Response,no-comparison-located,parameter-setting self-comparisons only,fulltext-pdf
88,Personalized and Context-aware Route Planning for Edge-assisted Vehicles,non-learning-comparator,generic route planner;shortest-distance approach,fulltext-pdf
89,Research on Travel Paths Based on Car-Hailing Services Connecting with Rail Transit,learning-only-comparator,Q-learning (vs Sarsa),fulltext-pdf
90,Q-Learning-Based Energy-Aware Route Planning for Electric Vehicles on Real Road Networks with Charging Constraints,non-learning-comparator,Dijkstra,fulltext-pdf
91,Cutting-Edge Travel Planner: Intelligent Route Recommendation System using Enhanced Learning Scheme with AI Principles,no-comparison-located,,fulltext-pdf
92,Multi-Objective Route Optimization via Dueling DQN for Teleoperated Driving,non-learning-comparator,Shortest Path;Lowest Latency;Highest Bandwidth,fulltext-pdf
94,Route Planning and Power Management for PHEVs With Reinforce,non-learning-comparator,shortest path algorithm,fulltext-pdf
95,Preliminary Study on Cooperative Route Planning Reinforcemen,non-learning-comparator,random allocation (paired t-test),fulltext-pdf
96,A Mixed Generative Adversarial Imitation Learning Based Vehi,learning-only-comparator,BC;DAgger;FEM;GTAL;GAIL;TAIL;MIMIC-MD,fulltext-pdf
97,HERO: Heterogeneous-agent rEinforcement learning-based Route,non-learning-comparator,DSP;ReFOCUS+;CVRS;MAPPO,fulltext-pdf
98,Disaster-Aware Path Planning Based on Reinforcement Learning,non-learning-comparator,Dijkstra;ant colony;plain RL,fulltext-pdf
99,Reinforcement Learning-based Unpredictable Emergency Events,no-comparison-located,,fulltext-pdf
100,Robust Navigation under Incomplete Localization Using Reinfo,no-comparison-located,,fulltext-pdf
101,Energy Optimal Route Planning Framework for Electric Vehicle,non-learning-comparator,shortest-path strategy;time-optimal strategy;static energy-aware,fulltext-pdf
102,GRAND: Graph Laplacian-based Reinforcement Learning for Auto,no-comparison-located,none located in own experiments (cross-paper comparison to published DQN/TTC results only),fulltext-pdf
103,Target-Driven Mapless Navigation for Self-Driving Car,learning-only-comparator,vanilla PPO;experience-reuse strategy ablations,fulltext-pdf
