idx,title,category,platform_names,evidence_source
18,Dynamic Route Guidance System Based on Real-time Vehicle-Road Collaborations with Deep Reinforcement Learning,named-platform,SUMO,fulltext-pdf
19,Deep Reinforcement Learning for Vehicle Swarm Navigation and Urban Traffic Optimization,named-platform,SUMO,fulltext-pdf
20,Population Game-Assisted Multi-Agent Reinforcement Learning Method for Dynamic Multi-Vehicle Route Selection,named-platform,SUMO,fulltext-pdf
21,Modeling of route planning system based on Q value-based dynamic programming with multi-agent reinforcement learning algorithms,not-addressed,,fulltext-pdf
22,Individual versus Difference Rewards on Reinforcement Learning for Route Choice,not-addressed,,fulltext-pdf
23,Route guidance system using multi-agent reinforcement learning,custom-described,MATLAB,fulltext-pdf
24,Network-aware multi-agent reinforcement learning for the vehicle navigation problem,named-platform,SUMO,fulltext-pdf
25,Navigating the non-compliance effects on system optimal route guidance using reinforcement learning,named-platform,SUMO,fulltext-pdf
26,Reinforcement learning-based route planning method for connected vehicles considering real-time road traffic information,unclear,,abstract
27,Optimization Method of DRL-based Route Planning under Limited Resources,named-platform,SUMO;CARLA,fulltext-pdf
28,Vehicle-Road Collaborative Path Planning Based on A*-assisted Deep Reinforcement Learning,named-platform,SUMO,fulltext-pdf
29,A Deep Reinforcement Learning Approach for Route Planning of Autonomous Vehicles*,named-platform,SUMO,fulltext-pdf
30,Dynamic urban traffic rerouting with fog-cloud reinforcement learning,named-platform,SUMO,fulltext-pdf
31,A Deep Reinforcement Learning Framework for Real-Time Vehicle Routing with Dynamic Traffic Conditions,named-platform,SUMO,fulltext-pdf
32,Adaptive Reinforcement Learning Framework for Environmentally Sustainable Route Optimization,not-addressed,,fulltext-pdf
33,Deep Q-Learning-based Route Optimization for Traffic Network,named-platform,SUMO,fulltext-pdf
34,Urban Multiple Route Planning Model Using Dynamic Programming in Reinforcement Learning,named-platform,SUMO,fulltext-pdf
35,GAQ-EBkSP: A DRL-based Urban Traffic Dynamic Rerouting Framework using Fog-Cloud Architecture,named-platform,SUMO,fulltext-pdf
36,Providing real-time en-route suggestions to CAVs for congestion mitigation: A two-way deep reinforcement learning approach,not-addressed,,fulltext-pdf
37,Real-time system optimal traffic routing under uncertainties - Can physics models boost reinforcement learning?,custom-described,synthetic road network (unnamed platform),fulltext-pdf
38,Network-Constrained Policy Optimization for Adaptive Multi-agent Vehicle Routing,named-platform,SUMO;CARLA,fulltext-pdf
39,A Data-Driven Reinforcement Learning Based Multi-Objective Route Recommendation System,not-addressed,,fulltext-pdf
40,Emergency vehicle rescue route optimization based on deep reinforcement learning in highway network,unclear,,abstract
41,Autonomous Vehicle Routing Optimization in a Competitive Environment: A Reinforcement Learning Application,not-addressed,,fulltext-pdf
42,Multi-objective route recommendation method based on Q-learning algorithm,not-addressed,,fulltext-pdf
43,Agent-Based Route Planning with Deep Q Learning,named-platform,SUMO,fulltext-pdf
44,Urban traffic dynamic rerouting framework: A DRL-based model with fog-cloud architecture,named-platform,SUMO,fulltext-pdf
45,Realtime vehicle route optimisation via DQN for sustainable and resilient urban transportation network,named-platform,SUMO;MATSim;VISSIM;Aimsun;OpenAI Gym/Gymnasium,fulltext-pdf
46,Optimizing Traffic Routes With Enhanced Double Q-Learning,named-platform,SUMO,fulltext-pdf
47,Multi-agent deep reinforcement learning based on cloud-edge computing for urban vehicle route guidance,named-platform,SUMO,fulltext-pdf
48,Meta-deep q-learning for eco-routing,named-platform,SUMO,fulltext-pdf
49,Sharing diverse information gets driver agents to learn faster: an application in en route trip building,named-platform,SUMO,fulltext-pdf
50,Regional route guidance with realistic compliance patterns: Application of deep reinforcement learning and MPC,unclear,,abstract
51,A multiagent reinforcement learning approach to en-route trip building,unclear,,abstract
52,Connected vehicles' dynamic route planning based on reinforcement learning,named-platform,SUMO;VISSIM,fulltext-pdf
53,A reinforcement learning scheme for the equilibrium of the in-vehicle route choice problem based on congestion game,unclear,,abstract
54,Robust Route Planning with Distributional Reinforcement Learning in a Stochastic Road Network Environment,unclear,,abstract
55,Deep Reinforcement Learning for Optimizing Route Planning in Urban Traffic,unclear,,abstract
56,Vehicle-Infrastructure Cooperation Framework for Vehicle Navigation and Traffic Signal Control using Deep Reinforcement Learning,named-platform,SUMO,abstract
57,VEGA: Electric Vehicle Navigation Agent via Physics-Informed Neural Operator and Proximal Policy Optimization,unclear,,abstract
58,Using Car to Infrastructure Communication to Accelerate Learning in Route Choice,named-platform,SUMO,fulltext-pdf
59,Applying Markov decision process to adaptive dynamic route selection model,not-addressed,,fulltext-pdf
60,A Sustainable Multi-Agent Routing Algorithm for Vehicle Platoons in Urban Networks,named-platform,SUMO,abstract
61,Distributed Learning for Vehicle Routing Decision in Software Defined Internet of Vehicles,unclear,,abstract
62,Proactive Urban Expressway Guidance: A Hybrid Approach Using Reinforcement Learning and Traffic Prediction Models,named-platform,SUMO;VISSIM;Aimsun,fulltext-pdf
63,A Bi-Level Network-Wide Cooperative Driving Approach Including Deep Reinforcement Learning-Based Routing,unclear,,abstract
64,Self-Organized Routing for Autonomous Vehicles via Deep Reinforcement Learning,unclear,,abstract
65,Graph Convolutional Network Based Multi-Objective Meta-Deep Q-Learning for Eco-Routing,named-platform,SUMO,fulltext-pdf
66,SEGAC: Sample Efficient Generalized Actor Critic for the Stochastic On-Time Arrival Problem,unclear,,abstract
67,GE-DDRL: Graph Embedding and Deep Distributional Reinforcement Learning for Reliable Shortest Path: A Universal and Scale Free Solution,custom-described,toy network (unnamed platform),fulltext-pdf
68,Shortest-Time Path Planning Under Carbon Emission Constraints via Reinforcement Learning,unclear,,abstract
69,DRL Router: Distributional Reinforcement Learning-Based Router for Reliable Shortest Path Problems,not-addressed,,fulltext-pdf
70,Optimization Path Planning Algorithm Based on Deep Reinforcement Learning,not-addressed,,fulltext-pdf
71,Research on Emergency Rescue Path Optimization Method Based on Deep Reinforcement Learning,unclear,,abstract
72,Safety-Aware Path Planning for Post-Disaster Rescue Vehicles,not-addressed,,fulltext-pdf
73,A Multi-Agent Deep Reinforcement Learning Framework for Dynamic Path Planning in Autonomous Vehicles,unclear,,abstract (stored file contained a different paper; excluded)
74,Path Planning in Urban Environment Based on Traffic Condition Perception and Traffic Light Status,unclear,,abstract
75,Autonomous Vehicles in Smart Cities: a Deep Reinforcement Learning Solution,unclear,,abstract
76,Intelligent Routing in Connected Autonomous Vehicles using the ADAPT-S Learning Architecture,named-platform,SUMO,abstract
77,Situation-aware Path Optimization for Autonomous Systems: A Deep Reinforcement Learning based Approach,not-addressed,,fulltext-pdf
78,Resilient Multi-Agent Deep Reinforcement Learning for Routing Control via Traffic Cost Fields,unclear,,abstract
79,Dynamic Route Optimization using D* Lite and DQN Algorithm,named-platform,SUMO,fulltext-pdf
80,Reinforcement Learning for Dynamic Traffic Management: A Scalable Approach to Congestion Reduction,named-platform,SUMO,abstract
81,A Communication Resource Enhanced Intelligent Road Traffic Routing Scheme,unclear,,abstract
82,Work-in-Progress: Leveraging the Selfless Driving Model to Reduce Vehicular Network Congestion,named-platform,SUMO,fulltext-pdf
83,A Deep Q Learning-Model Predictive Control Approach to vehicle routing and control with platoon constraints,unclear,,abstract
84,A Dynamic Risk-aware Routing Recommendation Using Deep Reinforcement Learning,custom-described,grid-world (unnamed platform),fulltext-pdf
85,Path planning for vehicle platoons under routing decisions: a distributed approach combining Deep Reinforcement Learning and Model Predictive Control,custom-described,MATLAB,fulltext-pdf
86,A Joint Design of Path Planning and Lane Reservation for Emergency Service in ITS,unclear,,abstract
87,A Reinforcement Learning-Based Path Recommendation Strategy Considering Broadcast Disturbance and Behavioral Response,unclear,,abstract
88,Personalized and Context-aware Route Planning for Edge-assisted Vehicles,named-platform,SUMO;CARLA,fulltext-pdf
89,Research on Travel Paths Based on Car-Hailing Services Connecting with Rail Transit,unclear,,abstract
90,Q-Learning-Based Energy-Aware Route Planning for Electric Vehicles on Real Road Networks with Charging Constraints,unclear,,abstract
91,Cutting-Edge Travel Planner: Intelligent Route Recommendation System using Enhanced Learning Scheme with AI Principles,unclear,,abstract
92,Multi-Objective Route Optimization via Dueling DQN for Teleoperated Driving,unclear,,abstract
