include,paperId,title,year,venue,citationCount,source
1,b61204824bab85fb1b37e30d1b7fca1cab708478,Autonomous Vehicle Routing Optimization in a Competitive Environment: A Reinforcement Learning Application,2018,International Conference on Transportation and Development 2018,3,expanded
0,a64eb66036f1d61432f0608157a8fbdb270aeb63,Multi-objective route recommendation method based on Q-learning algorithm,2022,Journal of Intelligent & Fuzzy Systems,1,expanded
0,2f51b20fdaee5b493f8b963641c15d5ddb67a668,Agent-Based Route Planning with Deep Q Learning,2021,International Conference on Electrical and Electronics Engineering,1,expanded
0,2318a85b58bc94c865bcba878e271e9680234462,Urban traffic dynamic rerouting framework: A DRL-based model with fog-cloud architecture,2021,arXiv.org,0,expanded
1,e1bd00f07d86378407bf15b2f3b2342ece1c3eb5,Reinforcement Learning for Dynamic Traffic Routing and Optimization,2024,ICICT 2024,0,openalex
1,41c21a4a1d7b875aa6c7af48e401dabbcc74e6db,Realtime vehicle route optimisation via DQN for sustainable and resilient urban transportation network,2020,,1,openalex
0,990ae6e6946a4cbf5706733e3e23f112c01e1b9b,Optimizing Traffic Routes With Enhanced Double Q-Learning,2025,IET Intelligent Transport Systems,7,openalex
0,oa_W4416116732,Multi-agent deep reinforcement learning based on cloud-edge computing for urban vehicle route guidance,2025,Cluster Computing,2,openalex
0,59eb6e01d20b22c7454cbb9de4d63524d44a70c5,Meta-deep q-learning for eco-routing,2019,2019 IEEE Connected and Automated Vehicles Symposium (CAVS),8,manual
0,29d9e437a5e9bf8f642b9ddd65b4c2ebf2f7a2ea,Sharing diverse information gets driver agents to learn faster: an application in en route trip building,2021,PeerJ Computer Science,3,manual
0,d33689e71b8a34d7ecdccb65782b2d4b688595df,Connected vehicles' dynamic route planning based on reinforcement learning,2023,Future Generation Computer Systems,14,nav_rg_screened
1,ieee_10_1109_cict67193_2025_11399143,Situation-aware Path Optimization for Autonomous Systems: A Deep Reinforcement Learning based Approach,2025,2025 IEEE 9th International Conference on Information and Communication Technology (CICT),0,ieee_xplore_20260426
0,ieee_10_1109_drcn65040_2025_11046050,Comparative Analysis of Reinforcement Learning for Reliable Real-Time EV Routing and Charging,2025,2025 21st International Conference on the Design of Reliable Communication Networks (DRCN),0,ieee_xplore_20260426
0,ieee_10_1109_icccn61486_2024_10637624,Personalized and Context-aware Route Planning for Edge-assisted Vehicles,2024,2024 33rd International Conference on Computer Communications and Networks (ICCCN),0,ieee_xplore_20260426
0,ieee_10_1109_jiot_2025_3583833,Proactive Urban Expressway Guidance: A Hybrid Approach Using Reinforcement Learning and Traffic Prediction Models,2025,IEEE Internet of Things Journal,0,ieee_xplore_20260426
0,ieee_10_1109_ecce58356_2025_11259996,Real-Time Charging and Routing for Electric Long-Haul Trucks via Reinforcement Learning,2025,2025 IEEE Energy Conversion Conference Congress and Exposition (ECCE),0,ieee_xplore_20260426
0,ieee_10_1049_icp_2025_2746,Research on low-carbon transportation route optimization based on deep reinforcement learning,2025,"4th International Conference on Electronic Information Engineering, Big Data and Computer Technology (EIBDCT 2025)",0,ieee_xplore_20260426
0,ieee_10_1109_icses66558_2026_11478874,Dynamic Route Optimization using D* Lite and DQN Algorithm,2026,"2026 International Conference on Innovative Computing, Intelligent Communication and Smart Electrical Systems (ICSES)",0,ieee_xplore_20260426
0,ieee_10_1049_icp_2025_0944,Enhancing urban mobility through AI-powered transportation,2024,8th IET Smart Cities Symposium (SCS 2024),0,ieee_xplore_20260426
