row,paperId,title,year,venue,citationCount,doi,source,filter_note
18,https://openalex.org/W4393095629,Combining multi-agent deep deterministic policy gradient and rerouting technique to improve traffic network performance under mixed traffic conditions,2024,SIMULATION,1,10.1177/00375497241237831,openalex_candidates.csv,border
19,991f3ba61a280f85069dfa4c73587860ac41bdfb,Cooperative Path Planning With Asynchronous Multiagent Reinforcement Learning,2024,IEEE Transactions on Mobile Computing,10,,snowball3_candidates.csv,border
20,https://openalex.org/W4388469846,Multi-Agent Graph Reinforcement Learning Method for Electric Vehicle on-Route Charging Guidance in Coupled Transportation Electrification,2023,IEEE Transactions on Sustainable Energy,42,10.1109/tste.2023.3330842,openalex_candidates.csv,border
21,https://openalex.org/W4387885661,Deep Reinforcement Learning-Based Multi-Object Adaptive Route Planning for Traveling Recommender Systems,2023,IEEE Access,9,10.1109/access.2023.3327273,openalex_candidates.csv,border
22,https://openalex.org/W4213109482,Deep Graph Reinforcement Learning Based Intelligent Traffic Routing Control for Software-Defined Wireless Sensor Networks,2022,Applied Sciences,37,10.3390/app12041951,openalex_candidates.csv,border
23,ae32d024aee566b0309106a3bac811b8ba979c07,Urban Path Planning Based on Improved Model-based Reinforcement Learning Algorithm,2022,International Conference on Advanced Information Science and System,0,,snowball3_candidates.csv,border
24,https://openalex.org/W3213401008,Route Optimization via Environment-Aware Deep Network and Reinforcement Learning,2021,ACM Transactions on Intelligent Systems and Technology,26,10.1145/3461645,openalex_candidates.csv,border
25,https://openalex.org/W3137991997,Context-Aware Adaptive Route Mutation Scheme: A Reinforcement Learning Approach,2021,IEEE Internet of Things Journal,39,10.1109/jiot.2021.3065680,openalex3_candidates.csv,border
26,https://openalex.org/W3040007863,Evaluating semi-cooperative Nash/Stackelberg Q-learning for traffic routes plan in a single intersection,2020,Control Engineering Practice,28,10.1016/j.conengprac.2020.104525,openalex_candidates.csv,border
27,523fec44a8fead75e73e111aa66d32823fe97904,Multi-Agent Reinforcement Learning for Dynamic Routing Games: A Unified Paradigm,2020,arXiv.org,10,,snowball3_candidates.csv,border
28,https://openalex.org/W2981977088,Applying Markov decision process to adaptive dynamic route selection model,2019,Proceedings of the Institution of Civil Engineers - Transport,1,10.1680/jtran.19.00085,openalex_candidates.csv,border
29,https://openalex.org/W2792839178,Dynamic route and departure time choice model based on self-adaptive reference point and reinforcement learning,2018,Physica A Statistical Mechanics and its Applications,18,10.1016/j.physa.2018.02.104,openalex_candidates.csv,border
30,https://openalex.org/W2915749536,Deep Q-Network Based Route Scheduling for Transportation Network Company Vehicles,2018,,15,10.1109/glocom.2018.8647546,openalex_candidates.csv,border
