title,year,venue,table_iv2_status,stated_scope_note
Computational Intelligence for Path Planning with Refueling ??A Systematic Review,2025,2025 12th International Conference on Soft Computing & Machine Intelligence (ISCMI),not in Table IV-2,"computational intelligence for path planning with refueling; refueling-constrained planning, adjoins excluded EV-charging domain"
Vehicle Routing Problems: From Deterministic Models to Stochastic Solutions,2025,2025 5th International Conference on Electronic and Electrical Engineering and Intelligent System (ICE3IS),not in Table IV-2,"vehicle routing problems from deterministic to stochastic models; batch fleet assignment, out of scope"
The Emergence of Deep Reinforcement Learning for Path Planning,2025,"2025 IEEE International Conference on Systems, Man, and Cybernetics (SMC)",in Table IV-2 as [73],"DRL for path planning generally; spatial path planning, not restricted to road-network per-vehicle routing"
Recent Advancement in Autonomous Vehicle and Driver Assistance Systems,2023,"2023 IEEE International Students' Conference on Electrical, Electronics and Computer Science (SCEECS)",not in Table IV-2,recent advances in autonomous vehicles and driver-assistance systems; general AV survey
SafeRoute: A Crowdsourced Machine Learning Framework for Safe Urban Navigation Survey Report,2026,2026 International Conference on Sustainable and Futuristic Technologies (ICSFT),not in Table IV-2,"crowdsourced machine-learning framework for safe urban navigation; safety-scoring framework report, not an RL-routing survey"
Strengthening Acquiring Knowledge for Optimizing Dynamic Delivery Routes,2025,"2025 International Conference on Intelligent Control, Computing and Communications (IC3)",not in Table IV-2,"knowledge acquisition for optimizing dynamic delivery routes; delivery-route optimization, fleet level"
Intelligent Navigation Decisions-Making in Curved Channels: Review and Challenges,2023,2023 7th International Conference on Transportation Information and Safety (ICTIS),not in Table IV-2,"intelligent navigation decision-making in curved channels; maritime navigation, excluded domain (Section III-A)"
A Survey of Deep Reinforcement Learning Algorithms for Motion Planning and Control of Autonomous Vehicles,2021,2021 IEEE Intelligent Vehicles Symposium (IV),not in Table IV-2,DRL algorithms for motion planning and control of autonomous vehicles; motion planning and control level
"Decision-Making Technology for Autonomous Vehicles: Learning-Based Methods, Applications and Future Outlook",2021,2021 IEEE International Intelligent Transportation Systems Conference (ITSC),not in Table IV-2,learning-based decision-making technology for autonomous vehicles; driving decision level
Survey on Autonomous Vehicles using Artificial Intelligence,2022,2022 3rd International Conference on Electronics and Sustainable Communication Systems (ICESC),not in Table IV-2,autonomous vehicles using artificial intelligence; general AV survey
AI-Enabled Emergency Routing Ecosystem: A Survey on Real-Time Ambulance Navigation and Green Corridor Management,2025,2025 OITS International Conference on Information Technology (OCIT),not in Table IV-2,AI-enabled emergency routing for real-time ambulance navigation; emergency-service routing ecosystem
Multi-Agent Reinforcement Learning for Collaborative Autonomous Vehicle Fleets,2025,"2025 2nd International Conference on Recent Trends in Electrical, Electronics and Computing Technologies (ICRTEECT)",not in Table IV-2,"multi-agent RL for collaborative autonomous-vehicle fleets; fleet coordination, not per-vehicle OD routing"
Reinforcement Learning for Real-Time Decision Making in Autonomous Systems,2025,2025 Global Conference on Information Technology and Communication Networks (GITCON),not in Table IV-2,RL for real-time decision-making in autonomous systems generally; not specific to road-vehicle routing
A survey on multi-objective path planning for autonomous vehicles: surrogate-assisted optimization and deep reinforcement learning approaches,2026,7th International Conference on Artificial Intelligence and Advanced Manufacturing (AIAM 2025),in Table IV-2 as [74],surrogate-assisted multi-objective path planning for autonomous vehicles; optimization-method survey
