include,paperId,title,year,venue,citationCount
,9f52a3f036ff45bd0841f68252cc7ee2b989628f,A Q-Learning and Fuzzy Logic-Based Hierarchical Routing Scheme in the Intelligent Transportation System for Smart Cities,2022,Mathematics,28
,ac48703b3f54acaae52d2333e67549420db4db5c,A Constraint-Based Routing and Charging Methodology for Battery Electric Vehicles With Deep Reinforcement Learning,2023,IEEE Transactions on Smart Grid,27
,15e5a2efd3460d514bf288bdaa0f09cbe1a0a20a,Scalable Deep Reinforcement Learning-Based Online Routing for Multi-Type Service Requirements,2023,IEEE Transactions on Parallel and Distributed Systems,26
,e1a8e40e250392496d080b5f44527ee143f906fa,Routing in congested baggage handling systems using deep reinforcement learning,2020,Integr. Comput. Aided Eng.,26
,cb5ebe0b1b2ad0254e3d2c69f1db7d6743f1cbe5,An Iterative Adaptive Dynamic Programming Approach for Macroscopic Fundamental Diagram-Based Perimeter Control and Route Guidance,2024,Transportation Science,25
,b19bba64d2be654d8d9ef9cc667928fb92c98096,Path Planning for Autonomous Vehicles in Unknown Dynamic Environment Based on Deep Reinforcement Learning,2023,Applied Sciences,25
,7546e88bfea3bee83f3a52ddd1832103557341b7,Mitigating Routing Update Overhead for Traffic Engineering by Combining Destination-Based Routing With Reinforcement Learning,2022,IEEE Journal on Selected Areas in Communications,24
,83f4442ef2e9dfbe974bafa1e26377b526f5b8fc,A Multipolicy Deep Reinforcement Learning Approach for Multiobjective Joint Routing and Scheduling in Deterministic Networks,2024,IEEE Internet of Things Journal,23
,82e8fa4b6cec35289c68011138f15ff0164d5b77,Fair collaborative vehicle routing: A deep multi-agent reinforcement learning approach,2023,Transportation Research Part C: Emerging Technologies,23
,24c12e3d437ad56384f6b69945f5e3e4e6fed615,Multi-Hop Task Routing in Vehicle-Assisted Collaborative Edge Computing,2024,IEEE Transactions on Vehicular Technology,23
,e05c7b24979bd1442714ff199099b0381ad27a9c,Q-adaptive: A Multi-Agent Reinforcement Learning Based Routing on Dragonfly Network,2021,IEEE International Symposium on High-Performance Parallel Distributed Computing,23
,9ae08555170635f7a887247047886c34349cca7b,Refined Path Planning for Emergency Rescue Vehicles on Congested Urban Arterial Roads via Reinforcement Learning Approach,2021,Journal of Advanced Transportation,22
,74471b15ffedec6992a1dc4c7edc10e0c65e40f4,Space-time routing in dedicated automated vehicle zones,2020,,22
1,b886b15703d2691e536072757b34e82874024679,Reinforcement Learning for Vehicle Route Optimization in SUMO,2018,2018 IEEE 20th International Conference on High Performance Computing and Communications; IEEE 16th International Conference on Smart City; IEEE 4th International Conference on Data Science and Systems (HPCC/SmartCity/DSS),22
,0e2bf435c0fe81e5913c62dea1a8c0a7ae6d52ad,Route Optimization via Environment-Aware Deep Network and Reinforcement Learning,2021,ACM Transactions on Intelligent Systems and Technology,21
,e35b5158f365841736d29063ee77ae64e24cdf37,Routing and Charging Scheduling for EV Battery Swapping Systems: Hypergraph-Based Heterogeneous Multiagent Deep Reinforcement Learning,2024,IEEE Transactions on Smart Grid,20
,6efcae89bbb72865a0ac3a82847f7735c1602f2c,GRL-PS: Graph Embedding-Based DRL Approach for Adaptive Path Selection,2023,IEEE Transactions on Network and Service Management,20
,431de18469c85b884a5ed3ad689b0b9474d94caa,Research on Dynamic Path Planning of Multi-AGVs Based on Reinforcement Learning,2022,Applied Sciences,20
,0bd49352fa2b0c9e52eb60e66b53ccbad9ca8b2a,A Bi-Level Network-Wide Cooperative Driving Approach Including Deep Reinforcement Learning-Based Routing,2024,IEEE Transactions on Intelligent Vehicles,19
,a22be5e14f67964e371605a60263e0a4b435ada6,Dynamic urban traffic rerouting with fog?cloud reinforcement learning,2023,Comput. Aided Civ. Infrastructure Eng.,19
,b40e8685ae9fa80b6429e787e37a31eab1dbc4cb,Smart Navigation and Energy Management Framework for Autonomous Electric Vehicles in Complex Environments,2023,IEEE Internet of Things Journal,19
,3403dc1400e71f8cb511623b3c03f415b310d6db,Solving Scalable Multiagent Routing Problems With Reinforcement Learning,2025,IEEE Transactions on Neural Networks and Learning Systems,19
,46199b54a4856432fab632fcd34ff9ab996e3f84,Learning to Minimise Regret in Route Choice,2017,Adaptive Agents and Multi-Agent Systems,19
,cf9f14adc07d511d59a8181a4f0b20a21de9c513,AI-Driven Day-to-Day Route Choice,2024,Transportation Research Part C: Emerging Technologies,19
,20a7eec2fb601ce031d8c1d5eccbd7ae942675e7,Adaptive Reinforcement Routing in Software Defined Vehicular Networks,2020,International Conference on Wireless Communications and Mobile Computing,18
,1120be1df6eae372a3e742128ed75915ccecc950,Interterminal Truck Routing Optimization Using Cooperative Multiagent Deep Reinforcement Learning,2021,Processes,17
,9562aa09199ec7532982592077b58c6efb20d7fc,Deep Reinforcement Learning-Based 2.5D Multi-Objective Path Planning for Ground Vehicles: Considering Distance and Energy Consumption,2023,Electronics,17
,3e6d4539ba76bbd0793cb0e8ba1f62ab244fbcbe,Energy management strategy of intelligent plug-in split hybrid electric vehicle based on deep reinforcement learning with optimized path planning algorithm,2021,"Proceedings of the Institution of mechanical engineers. Part D, journal of automobile engineering",16
,5f11da3b1be3ec9af4a7d31e8cdcc1535d9a4960,Q-Function-Based Traffic- and Thermal-Aware Adaptive Routing for 3D Network-on-Chip,2020,Electronics,16
,ebd1d5a229dec1a18c7303e6f7e573b93fdff371,GAQ-EBkSP: A DRL-based Urban Traffic Dynamic Rerouting Framework using Fog-Cloud Architecture,2021,2021 IEEE International Smart Cities Conference (ISC2),15
,2c4ddd2a1f3c0e56efa8b1f924c4adac2fb7a59a,Enhancing Autonomous Driving Navigation Using Soft Actor-Critic,2024,Future Internet,15
,b2dec507a6293930113360d1dd2c3f28dd074c44,Reinforcement learning based interconnection routing for adaptive traffic optimization,2019,ACM/IEEE International Symposium on Networks-on-Chips,15
,158c7c45ae744b34532394faa689126fdae84a59,DeepCQ+: Robust and Scalable Routing with Multi-Agent Deep Reinforcement Learning for Highly Dynamic Networks,2021,IEEE Military Communications Conference,14
,7d095ad2163c6bed77f59a58b27c5c7dcd686602,Autonomous Flow Routing for Near Real-Time Quality of Service Assurance,2024,IEEE Transactions on Network and Service Management,14
,f924843a3d603d5eb1405c8a7e465066be800e33,An Improved Deep Reinforcement Learning Algorithm for Path Planning in Unmanned Driving,2024,IEEE Access,14
,2e21a97a78fe1dfeaf195fae9aae457958dc1dc7,Toll-based reinforcement learning for efficient equilibria in route choice,2020,Knowledge engineering review (Print),14
,ad4cf3a838411e0f2a6c8c6a97131da1d828d18a,Energy-efficient deep Q-network: reinforcement learning for efficient routing protocol in wireless internet of things,2024,Indonesian Journal of Electrical Engineering and Computer Science,13
,00f9ab8c642b47168fc568976a54d48c4dfa90e3,Hybrid optimization for efficient 6G IoT traffic management and multi-routing strategy,2024,Scientific Reports,13
,e4b04c00ca8da10594a70a6c7d6952f93bc43c82,Real-time system optimal traffic routing under uncertainties - Can physics models boost reinforcement learning?,2024,Transportation Research Part C: Emerging Technologies,13
,d1125ccc322e1b0ac430e276c02c5f904ecc0166,Multi-Agent Reinforcement Learning for Adaptive Routing: A Hybrid Method using Eligibility Traces,2020,2020 IEEE 16th International Conference on Control & Automation (ICCA),13
,cd4720cddcb34c959a9ba389be52e3a1d42b2ce6,Time or Reward: Digital-twin Enabled Personalized Vehicle Path Planning,2021,Global Communications Conference,12
,8d4b93a058418773c9d622702f8f926a1d4f6ea3,Hybrid Value Function Approximation for Solving the Technician Routing Problem with Stochastic Repair Requests,2024,Transportation Science,12
,ee65d370d14d602266a51237954211ef1eb6c5b6,Deep Reinforcement Learning-Based Joint Caching and Routing in AI-Driven Networks,2025,IEEE Transactions on Mobile Computing,11
,b11e07f0504c65f330e7ef4d5f72b2a0f8b36287,RNN Deep Reinforcement Learning for Routing Optimization,2018,2018 IEEE 4th International Conference on Computer and Communications (ICCC),11
,55e8179a5dedfd92c6a2746fe68e8cfa1fa4d09d,Self-Organized Routing for Autonomous Vehicles via Deep Reinforcement Learning,2024,IEEE Transactions on Vehicular Technology,10
1,81655b3e9a81126f62fb49725d2fe3482108a527,Routing Control Optimization for Autonomous Vehicles in Mixed Traffic Flow Based on Deep Reinforcement Learning,2024,Applied Sciences,10
,1ee12066c22f06eaf7495fb1c2573c7cd3c39ca4,An Intelligent SDWN Routing Algorithm Based on Network Situational Awareness and Deep Reinforcement Learning,2023,IEEE Access,10
,ac058da028d7dbc539968a45b4619bf7d80698dc,Routing with Graph Convolutional Networks and Multi-Agent Deep Reinforcement Learning,2022,Conference on Network Function Virtualization and Software Defined Network,10
1,7eafe1fc7673a002076ffadfb6519b77c9e04350,An Adaptive Route Guidance Model Considering the Effect of Traffic Signals Based on Deep Reinforcement Learning,2024,IEEE Intelligent Transportation Systems Magazine,9
1,038ed555b38a81b8c673a2530d326c9ae51aef4e,Transfer Learning-Based Deep Reinforcement Learning Approach for Robust Route Guidance in Mixed Traffic Environment,2024,IEEE Access,9
,c218dbb17c9757f40c66bea7c7a826ac73b5ca04,Stable QoE-Aware Multi-SFCs Cooperative Routing Mechanism Based on Deep Reinforcement Learning,2024,IEEE Transactions on Network and Service Management,9
,561cae58404170db399bf681c4e0674c814096db,Multi-Agent Reinforcement Learning-Based Joint Caching and Routing in Heterogeneous Networks,2024,IEEE Transactions on Cognitive Communications and Networking,9
,9277e0e250e004e5c65151db35e2425f32de4e0e,A deep-reinforcement learning approach for optimizing homogeneous droplet routing in digital microfluidic biochips,2023,Nanotechnology and Precision Engineering,9
,8735d23e0b55e7f508141e974480f3a036da6a7f,Deep reinforcement learning-based collaborative routing algorithm for clustered MANETs,2023,China Communications,9
,d16c33599d6afd559a877116cedf54284c01c892,GAPPO - A Graph Attention Reinforcement Learning based Robust Routing Algorithm,2023,"IEEE International Symposium on Personal, Indoor and Mobile Radio Communications",9
,cd82e56c1750197d1d1ecb58c680120e7cf0acc2,Performance characterization of reinforcement learning-enabled evolutionary algorithms for integrated school bus routing and scheduling problem,2021,,9
,50a7a5c6d139cf048f68177242570562700fc18b,Optimal Routing for Autonomous Taxis using Distributed Reinforcement Learning,2018,2018 IEEE International Conference on Data Mining Workshops (ICDMW),9
1,1b6ed5885bdc8028bb9adbf77e5982b120a244b8,Development of Reinforcement Learning-based Traffic Predictive Route Guidance Algorithm Under Uncertain Traffic Environment,2022,IEEE Access,8
,5e6a0250bcfb7b81be469173b9ee057c3ba7a68a,Deep reinforcement learning for integrated vessel path planning with safe anchorage allocation,2025,Brodogradnja,8
,482aa127129854013aa19327e87f416263d625c9,A New Approach for Solving Location Routing Problems with Deep Reinforcement Learning of Emergency Medical Facility,2023,EM-GIS,8
,92a88a75af50fe3e6d4f9302b8f095e03e1629a7,A Deep Reinforcement Learning Approach for Adaptive Traffic Routing in Next-Gen Networks,2024,ICC 2024 - IEEE International Conference on Communications,8
,85b5323b0c558f567b6b64e982a47a8dc9464a23,Trailer allocation and truck routing using bipartite graph assignment and deep reinforcement learning,2023,Trans. GIS,8
,fbce8cbd04e75dd329f51eb408eeaf5d4520463e,Dispatching and Path Planning of Automated Guided Vehicles based on Petri Nets and Deep Reinforcement Learning,2021,"2021 IEEE International Conference on Networking, Sensing and Control (ICNSC)",8
,a8f84973e51cf6c5d657096fd64fff4a1d5e44d7,Hierarchical Robot Navigation in Novel Environments using Rough 2-D Maps,2021,Conference on Robot Learning,8
,4b6b9f83eca768666e85443091f9c3015b14b2b0,Deep reinforcement learning for dynamic vehicle routing with demand and traffic uncertainty,2025,Operations Research Perspectives,8
,4134f7aff1606bdf08278f0fcd3b0f10282d4ab7,Delay-Aware and Link-Quality-Aware Geographical Routing Protocol for UANET via Dueling Deep Q-Network,2023,Italian National Conference on Sensors,8
,2615f573e6b831e9a8736af14cad20636d631f04,A Vehicle Path Planning Algorithm Based on Mixed Policy Gradient Actor?Critic Model with Random Escape Term and Filter Optimization,2022,Journal of mathematics,8
,bda3c4f1b58648a1c89e7eb234501e35376d3938,Adaptive Routing with Guaranteed Delay Bounds using Safe Reinforcement Learning,2020,International Conference on Real-Time and Network Systems,8
,a01ca2dfea618f7822f77865d593d4707c494981,A Cooperative Multiagent Reinforcement Learning Framework for Droplet Routing in Digital Microfluidic Biochips,2023,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,8
,d3d831c7a8e3c7745b73d223fc5ffbcb88211b9e,Prioritized Sweeping Reinforcement Learning Based Routing for MANETs,2017,,8
,fec7cab417aba943d60cfe12ab49d313059f8c33,TTQR: A Traffic- and Thermal-Aware Q-Routing for 3D Network-on-Chip,2022,Italian National Conference on Sensors,8
,9f280278dc377e7bfd3ab655f34422583b78b02c,"AI-Augmented, Ripple-Diamond-Chain Shaped, Rateless Routing in Wireless Mesh Networks With Multibeam Directional Antennas",2018,IEEE Access,8
,3eb6e28e493209a568dc32a01cc5dc849f1ce011,Significant Sampling for Shortest Path Routing: A Deep Reinforcement Learning Solution,2020,IEEE Journal on Selected Areas in Communications,7
,6f16a1b3d374b27758a81b08f96941b0a263e335,Book Your Green Wave: Exploiting Navigation Information for Intelligent Traffic Signal Control,2022,IEEE Transactions on Vehicular Technology,7
,1e3955ca495fad78e86d209cfb35949a8e61d1e5,Optimizing Autonomous Vehicle Navigation with DQN and PPO: A Reinforcement Learning Approach,2024,2024 Asia Pacific Conference on Innovation in Technology (APCIT),7
,46b1583c820732ae6c600e368cd4f91ca5c6353d,AI-enhanced context-aware optimization of RPL routing protocol for IoT environments,2023,2023 2nd International Conference on Multidisciplinary Engineering and Applied Science (ICMEAS),7
,d52f0db4b14aac32cbec307c33c9d38d1bbaa1f8,Route selection for a three-dimensional elevator using deep reinforcement learning,2019,Building Services Engineering Research & Technology,6
,63a53188a4639f7e7e8a32c50c5edaf70a787c15,Deep Reinforcement Learning-Based Navigation Strategy for a Mobile Charging Station in a Dynamic Environment,2023,2023 International Conference on Smart Energy Systems and Technologies (SEST),6
,b063443653545d758f49b803ae0e21520750b2cb,Partial SRv6 Deployment and Routing Optimization: A Deep Reinforcement Learning Approach,2023,Global Communications Conference,6
,12915bb0ef8804caac4dd3b52e4f87ee2c698a5d,Hierarchical Sarsa Learning Based Route Guidance Algorithm,2019,Journal of Advanced Transportation,6
,8abb1e94d3c974c232c1875fabe4c2ce355d2517,Dynamic Routing and Wavelength Assignment with Reinforcement Learning,2023,INFORMS Journal on Optimization,6
,3cf6300ea6f90876b14dc56242cf57ce0d36d8b5,Cross Layer Routing in Cognitive Radio Networks using Deep Reinforcement Learning,2019,IEEE Wireless Communications and Networking Conference,6
,b95a9eeb73ef465dfb7e17adf2907e7d7864466c,Deep Reinforcement Learning Based Routing in IP Media Broadcast Networks: Feasibility and Performance,2022,IEEE Access,6
,e1a8bf47ef1c51298f5bcf957062c6ee63a96bfb,Graph Convolutional Network Based Multi-Objective Meta-Deep Q-Learning for Eco-Routing,2024,IEEE transactions on intelligent transportation systems (Print),6
,8d5e170e5a86f7947d01212e03855655475eca55,Multi-Objective Path Planning for Unmanned Sweepers Considering Traffic Signals: A Reinforcement Learning-Enhanced NSGA-II Approach,2024,Sustainability,6
,02371f323bde9d83ba6e0cd16929c804c850f666,Deep Reinforcement Learning-based Multi-objective Path Planning on the Off-road Terrain Environment for Ground Vehicles,2023,arXiv.org,6
,8e85241bff58c4be99a101ba9f0f922b114a3abb,LARE: A Linear Approximate Reinforcement Learning Based Adaptive Routing for Network-on-Chips,2023,International Symposium on Circuits and Systems,6
,852fb72db0aca9af754439a20b81a42da5af6c02,RLARA: A TSV-Aware Reinforcement Learning Assisted Fault-Tolerant Routing Algorithm for 3D Network-on-Chip,2023,Electronics,6
,e1a3ae4333a7e3ac9ea7544e689414dbd2d99f08,Multi-agent reinforcement learning for electric vehicles joint routing and scheduling strategies,2022,2022 IEEE 25th International Conference on Intelligent Transportation Systems (ITSC),6
,f155dcd1cb7b9e3c61bfa005030730e0b9b5a7c8,DPRoute: Deep Learning Framework for Package Routing,2023,Asia and South Pacific Design Automation Conference,6
,05c421ce453104f74f353ac0846f42b11ca75e57,Dynamic Passenger Route Guidance in the Multimodal Transit System With Graph Representation and Attention Based Deep Reinforcement Learning,2024,IEEE transactions on intelligent transportation systems (Print),5
,fef00e91a7684ac6e92ee596781affc44a2df0ca,Adaptive Joint Routing and Caching in Knowledge-Defined Networking: An Actor-Critic Deep Reinforcement Learning Approach,2025,IEEE Transactions on Mobile Computing,5
,e23790d03816a285cf28014bbf63938c17d8c6f0,Deep Distributional Reinforcement Learning-Based Adaptive Routing With Guaranteed Delay Bounds,2024,IEEE/ACM Transactions on Networking,5
,e3bf9be142c6c0abf09c2d4fbb87161acba18fc7,A Routing Optimization Policy Using Graph Convolution Deep Reinforcement Learning,2023,2023 IEEE/CIC International Conference on Communications in China (ICCC),5
1,2d2ca37772b5be6394c38f682c94a6af20503f3c,XRouting: Explainable Vehicle Rerouting for Urban Road Congestion Avoidance using Deep Reinforcement Learning,2022,2022 IEEE International Smart Cities Conference (ISC2),5
,ab5ddffc8dec99e10d75073649d5392d5c4c02fb,Towards Cognitive Routing based on Deep Reinforcement Learning,2020,arXiv.org,5
,90da7d25fb40093c85c943e1c8be70376b3e0db9,"Enhancing Airport Traffic Flow: Intelligent System Based on VLC, Rerouting Techniques, and Adaptive Reward Learning",2025,Italian National Conference on Sensors,5
,54051eb10c40af9f52cbca8147c6fc0c49970e1e,Traffic Management of Autonomous Vehicles using Policy Based Deep Reinforcement Learning and Intelligent Routing,2022,arXiv.org,5
,f64ca59b51384c97fca0e621e5fdb9756bab9d7d,Framework for Integrating Machine Learning Methods for Path-Aware Source Routing,2024,"SC24-W: Workshops of the International Conference for High Performance Computing, Networking, Storage and Analysis",5
,a07aad35a156122078f7090f00e2e97013fd9bd1,Advanced Decision Making and Motion Planning Framework for Autonomous Navigation in Unsignalized Intersections,2024,IEEE Access,5
,a2f8f94cf002887e197101b2374e2a5f6775964b,Hierarchical Deep Reinforcement Learning-Based Path Planning with Underlying High-Order Control Lyapunov Function?Control Barrier Function?Quadratic Programming Collision Avoidance Path Tracking Control of Lane-Changing Maneuvers for Autonomous Vehicles,2025,Electronics,5
,76bb522f60b6feb2d5c4d3cb5a5f96e2d1379ff2,VeSoNet: Traffic-Aware Content Caching for Vehicular Social Networks based on Path Planning and Deep Reinforcement Learning,2021,arXiv.org,5
,59eb6e01d20b22c7454cbb9de4d63524d44a70c5,Meta-Deep Q-Learning for Eco-Routing,2019,Connected and Automated Vehicles Symposium,5
,934455b81e98d9a8fb1c0c1a57bb818e201352fe,A Routing Algorithm Based on Prioritized Replay Double DQN for Private Internet of Things,2023,2023 IEEE/CIC International Conference on Communications in China (ICCC),5
0,23f6af67a0cf9ef13ecd12cb27f4a5b80bb6bbdd,RouteRL: Multi-agent reinforcement learning framework for urban route choice with autonomous vehicles,2025,SoftwareX,5
,d691bc19955e89878f3013b4976d0e3c3a909760,Combining Reinforcement Learning With Genetic Algorithm for Many-To-Many Route Optimization of Autonomous Vehicles,2024,IEEE Access,5
,b52baa34a596c87c44bbefc3c6609dcb2e8e49a2,Efficient Routing and Charging Strategy for Electric Vehicles Considering Battery Life: A Reinforcement Learning Approach,2024,Canadian Conference on Electrical and Computer Engineering,5
,a87c26d46dd5b3a13b72aa81d71eb618fed64e5d,SOHO-FL: A Fast Reconvergent Intra-Domain Routing Scheme Using Federated Learning,2024,IEEE Network,5
,e00a11f68f8aa713a2220cfc1765fa586c57b690,Network function parallelism configuration with segment routing over IPv6 based on deep reinforcement learning,2024,ETRI Journal,4
,35d7fe9b76715e33babbc8cf9af256d236da264c,Routing Algorithm Design Based on Deep Reinforcement Learning and GNN,2024,Conference on Computer Communications Workshops,4
,b487211e59bd30aa60c8cfbd21baa00c4f64ae93,Intelligent multicast routing method based on multi-agent deep reinforcement learning in SDWN,2023,Mathematical biosciences and engineering : MBE,4
,6964849ecb94522a4246f5370d676e41d56a0328,An Improvised Location Aided Routing Protocol for Vehicular Ad-hoc Network using Reinforced Learning,2022,"2022 International Conference on Machine Learning, Big Data, Cloud and Parallel Computing (COM-IT-CON)",4
,e1bd00f07d86378407bf15b2f3b2342ece1c3eb5,Reinforcement Learning for Dynamic Traffic Routing and Optimization,2024,International Congress on Information and Communication Technology,4
,f084cd5408ad86f4f1d5d1a8c46acf5c6444206d,An Efficient Secure Cryptography Scheme for New ML-based RPL Routing Protocol in Mobile IoT Environment,2022,International Journal of Network Security &amp; Its Applications,4
,fa66ba0657870eea97ad598c756af4ae2b36dab6,Design and Implementation of the Deep Reinforcement Energy Efficient Routing for the Fog-BAN-Cloud of Things using Smart Health care applications,2024,Journal of Smart Internet of Things,4
,ddca0d61417cf8daff07e929d836221d1f469e37,Reinforcement Learning-Based E-Scooter Energy Minimization Using Optimized Speed-Route Selection,2024,IEEE Access,4
,561edfac8bce551db8db844e6c30885b2a409cdf,Traffic Engineering in Dynamic Hybrid Segment Routing Networks,2021,Computers Materials & Continua,4
,01d0c4be402acc4adff18ee820e1fba335d02722,PQROM: To optimize software defined network QoS-aware routing with proximal policy optimization,2021,Journal of Intelligent & Fuzzy Systems,4
,2cd62277f3c40adb078d8f013ca561f0db19246d,"Revolutionizing Route Optimization Systems with Artificial Intelligence for a Smarter, Sustainable Logistics Ecosystem",2025,International journal of computer science and mobile computing,4
,0f40a21698bbf304b27824c511bc9aad941e241a,Dual-Layer Path Planning Model for Autonomous Vehicles in Urban Road Networks Using an Improved Deep Q-Network Algorithm with Proportional?Integral?Derivative Control,2024,Electronics,4
0,24a80f492a35035586a66d82a17dade99a586f37,Congestion-Aware Path Planning With Vehicle-Road Cooperation in AIoV,2024,IEEE Internet of Things Journal,4
0,a67d527523cfd7da4cf812bdae5e143cc4fdf778,Reinforcement learning of route choice considering traveler¡¯s preference,2023,Transportation letters,4
,cfa97613fce2319feba4248cd0cff5b89f6c12c3,Spectrum Adaptive Awareness Routing and Spectrum Allocation Based on Reinforcement Learning,2023,Opto-Electronics and Communications Conference,4
,a4d31b9bb594c33c4613cc13fa6e0533c6b3cf32,RELAR: A Reinforcement Learning Framework for Adaptive Routing in Network-on-Chips,2021,IEEE International Conference on Cluster Computing,4
,9fd37bb9cfc2028be41bc7a67610596c96a6aca6,Spatio?temporal dynamic navigation for electric vehicle charging using deep reinforcement learning,2024,IET Intelligent Transport Systems,4
,d0ea077b904e8eb811d959984272193e9295168c,A Mixed Generative Adversarial Imitation Learning Based Vehicle Path Planning Algorithm,2024,IEEE Access,4
,85b863854240caff8f3635e1ca389439a0585fe8,Real-Time Conflict-Free Path Planning for Multi-AGVs Based on Deep Reinforcement Learning,2024,2024 IEEE 13th Data Driven Control and Learning Systems Conference (DDCLS),3
