title,abstract,authors,year,venue,doi,citationCount,pool,old_include,idx,decision
XRouting: Explainable Vehicle Rerouting for Urban Road Congestion Avoidance using Deep Reinforcement Learning,"Rerouting vehicles for urban congestion avoidance is challenging as the decision has to be undertaken promptly with the consideration of traffic condition changes caused by other vehicles' routing plans. Existing solutions such as the on-board navigation systems (e.g., Google Maps) cannot meet these requirements which is prone to trigger the well-known routing oscillation problem. Though deep reinforcement learning (DRL) approaches are able to provide a high-quality solution and satisfy the real-time requirement, not only do they usually suffer the slow and instability issues for convergence, but the input information, like a picture for each time step, is also teeming with redundant information. In this paper, we propose XRouting model that uses policy-based DRL and the revised Gated Transformer (GTr) architecture to accelerate and stabilize the training convergence in solving dynamic routing problems. Our simulation study validates that compared with existing rerouting solutions, XRouting can achieve higher reductions in travel time, fuel consumption, CO2 emission, and the route length. More importantly, XRouting is capable of determining which features are predominant when vehicles conduct rerouting. This explainable ability of our model can further guide human drivers what features to consider when rerouting manually in real life.",,2022,2022 IEEE International Smart Cities Conference (ISC2),,5.0,both,1.0,13,include
RouteRL: Multi-agent reinforcement learning framework for urban route choice with autonomous vehicles,"RouteRL is a novel framework that integrates multi-agent reinforcement learning (MARL) with a microscopic traffic simulation, facilitating the testing and development of efficient route choice strategies for autonomous vehicles (AVs). The proposed framework simulates the daily route choices of driver agents in a city, including two types: human drivers, emulated using behavioral route choice models, and AVs, modeled as MARL agents optimizing their policies for a predefined objective. RouteRL aims to advance research in MARL, transport modeling, and human-AI interaction for transportation applications. This study presents a technical report on RouteRL, outlines its potential research contributions, and showcases its impact via illustrative examples.",,2025,SoftwareX,,5.0,old,0.0,14,include
Congestion-Aware Path Planning With Vehicle-Road Cooperation in AIoV,"With the gradually integration of Internet of Vehicles (IoV) and artificial intelligence (AI), artificial intelligence of vehicles (AIoV) is emerging as a novel paradigm with advanced capability for information gathering and decision-making. Leveraging massive traffic information facilitated by vehicle-road coordination in AIoV, path planning has the potential to effectively mitigate existing traffic problems, such as road congestion, improving traffic performance. However, the dynamic nature of traffic flow and the complexity of road networks increase the difficulty of path planning, posing a serious threat to road safety. In response to this challenge, a reinforcement learning based path planning scheme with traffic flow prediction, named RPFP, is proposed. RPFP consists of two fundamental components: 1) precise traffic flow prediction and 2) intelligent path planning. Specifically, the temporal convolutional network (TCN) is innovatively integrated into the spatiotemporal graph neural network (STGNN), providing accurate traffic flow prediction by comprehensively capturing spatial and temporal patterns. Informed by predicted traffic congestion, a path planning method utilizing dueling double deep q-network (D3QN) algorithm is employed to navigate within complex road networks. Eventually, RPFP was evaluated for its effectiveness through comprehensive experiments conducted on real traffic data sets. The superiority of RPFP was further substantiated via comparisons with multiple baseline schemes.",,2024,IEEE Internet of Things Journal,,4.0,both,0.0,15,include
Reinforcement learning of route choice considering traveler¡¯s preference,"ABSTRACT Travelers always perform some preference during the decision-making process. The preference will affect the decision results and can be improved by continuously learning. In order to understand the influence of individual preference on travel behavior choice , two individual preferences, including indifference preference and compulsive preference are considered in the paper. Two updating mechanisms of compulsive preference are proposed to obtain the choosing probability of all alternatives. Reinforcement learning models are established integrating the gain stimulating and loss stimulating considering expected utility. Nguyen Dupuis network is adopted for numerical simulation to study the updating process. Simulation results denote that the equilibrium state is much more efficient when preference learning mechanism is considered comparing with the traditional stochastic user equilibrium model, and can decrease the total travel time greatly, which can be applied for urban traffic management. Personalized traffic guidance is the effective solution to traffic congestion in the future",,2023,Transportation letters,,4.0,old,0.0,16,include
Reinforcement Learning Method with Dynamic Learning Rate for Real-Time Route Guidance Based on SUMO,"The increasing number of vehicles and dynamic changes in traffic situations make real-time route planning strongly necessary. The route-guiding method is supposed to cope with dynamic traffic situations. In addition, the ability to adapt to the second fastest route is very important when traffic congestion suddenly occurs on the fastest path. This paper proposes a method of using reinforcement learning to solve dynamic route planning problems, and the adaptation from a static learning rate to a dynamic learning rate enhances the capability to deal with emergent congestion. Meanwhile, the waiting time before each traffic light also is considered as a reward factor in the proposed algorithm. Contrast experiments have been conducted on the simulation network by SUMO, which has demonstrated well that our proposed method has better performance than other methods.",,2022,"International Conference on Control, Automation, Robotics and Vision",,3.0,old,1.0,17,include
Model-Based Deep Reinforcement Learning for Energy Efficient Routing of a Connected and Automated Vehicle,"The emergence of connected and automated vehicles (CAVs) offers promising opportunities to enhance traffic control and improve overall transportation system performance. However, the complexity and dynamic nature of modern traffic networks pose significant challenges for traditional routing methods. To achieve optimal vehicle routing and support sustainable mobility, more adaptive and intelligent strategies are needed. Among recent advancements, model-based deep reinforcement learning has shown exceptional potential in solving complex decision-making problems across various domains. Leveraging this capability, the present study applies a model-based deep reinforcement learning approach to address the energy-efficient routing problem in a simulated CAV environment. The routes recommended by the algorithm are compared to the shortest route calculated by traffic simulation software. The simulation results show a significant improvement in energy efficiency when the vehicle follows the routes suggested by the learning algorithm, even when the vehicle is subjected to new traffic scenarios. In addition, a comparison of the model-based agent with a conventional model-free reinforcement learning agent across varied traffic conditions demonstrates the robustness of the model-based algorithm. This work represents the first application of a model-based deep reinforcement learning algorithm to the energy-efficient routing problem for CAVs. This work also showcases a novel application of the foundational algorithm AlphaGo Zero.",,2025,Sustainability,,2.0,old,0.0,18,include
Reinforcement Learning-based Sequential Route Recommendation for System-Optimal Traffic Assignment,"Modern navigation systems and shared mobility platforms increasingly rely on personalized route recommendations to improve individual travel experience and operational efficiency. However, a key question remains: can such sequential, personalized routing decisions collectively lead to system-optimal (SO) traffic assignment? This paper addresses this question by proposing a learning-based framework that reformulates the static SO traffic assignment problem as a single-agent deep reinforcement learning (RL) task. A central agent sequentially recommends routes to travelers as origin-destination (OD) demands arrive, to minimize total system travel time. To enhance learning efficiency and solution quality, we develop an MSA-guided deep Q-learning algorithm that integrates the iterative structure of traditional traffic assignment methods into the RL training process. The proposed approach is evaluated on both the Braess and Ortuzar-Willumsen (OW) networks. Results show that the RL agent converges to the theoretical SO solution in the Braess network and achieves only a 0.35% deviation in the OW network. Further ablation studies demonstrate that the route action set's design significantly impacts convergence speed and final performance, with SO-informed route sets leading to faster learning and better outcomes. This work provides a theoretically grounded and practically relevant approach to bridging individual routing behavior with system-level efficiency through learning-based sequential assignment.",,2025,arXiv.org,,2.0,both,0.0,19,include
Joint Optimization of Traffic Signal Control and Vehicle Routing in Signalized Road Networks using Multi-Agent Deep Reinforcement Learning,"Urban traffic congestion is a critical predicament that plagues modern road networks. To alleviate this issue and enhance traffic efficiency, traffic signal control and vehicle routing have proven to be effective measures. In this paper, we propose a joint optimization approach for traffic signal control and vehicle routing in signalized road networks. The objective is to enhance network performance by simultaneously controlling signal timings and route choices using Multi-Agent Deep Reinforcement Learning (MADRL). Signal control agents (SAs) are employed to establish signal timings at intersections, whereas vehicle routing agents (RAs) are responsible for selecting vehicle routes. By establishing relevance between agents and enabling them to share observations and rewards, interaction and cooperation among agents are fostered, which enhances individual training. The Multi-Agent Advantage Actor-Critic algorithm is used to handle multi-agent environments, and Deep Neural Network (DNN) structures are designed to facilitate the algorithm's convergence. Notably, our work is the first to utilize MADRL in determining the optimal joint policy for signal control and vehicle routing. Numerical experiments conducted on the modified Sioux network demonstrate that our integration of signal control and vehicle routing outperforms controlling signal timings or vehicles' routes alone in enhancing traffic efficiency.",,2023,arXiv.org,,2.0,old,0.0,20,include
Dynamic Route Guidance System Based on Real-time Vehicle-Road Collaborations with Deep Reinforcement Learning,"To address the potential traffic congestion in urban transportation systems, an intelligent dynamic Route Guidance System (RGS) is proposed, which calculates the road weights with real-time traffic flow predictions using the reinforcement learning method. Additionally, a training strategy is proposed for the Road Agents (RAs), which optimizes RA through interaction with the traffic environment. The effectiveness of the proposed method is verified through simulation on the Urban Mobility Simulation (SUMO) platform, and it is shown that the proposed method performs well in complex and changing urban traffic environments with different driver participation rates. Therefore, it provides a feasible solution to the congestion problem and will push forward the development of intelligent transportation systems.",,2023,IEEE Vehicular Technology Conference,,1.0,both,0.0,21,include
Deep Reinforcement Learning for Vehicle Swarm Navigation and Urban Traffic Optimization,"Traffic congestion has become a prevalent phenomenon on urban roads, leading to significant challenges, including economic losses due to travel delays, increased fuel consumption, and air pollution from vehicle emissions. As it is impractical to extensively improve city road networks, vehicle routing optimization has emerged as a viable solution for alleviating congestion. However, traditional algorithms cannot effectively process information for complex and changeable traffic environments. By contrast, deep reinforcement learning (DRL) is a powerful approach for solving navigation problems. Rather than creating smart vehicles, we propose a navigation model to guide all vehicles. The model employs a graph neural network to effectively capture dynamic traffic flow patterns. We utilize the simulation of urban mobility to generate a large quantity of traffic data for use as reinforcement learning samples. We propose a parallel simulation training strategy to accelerate DRL convergence. We verify the effectiveness of our model by performing simulations on a simplified road network and a real‐life road network under multiple traffic scenarios and compare the results to those obtained using traditional methods and dynamic user equilibrium (DUE). The experimental results demonstrate that the proposed model reduces average travel time by up to 7.54% and the number of halting vehicles by up to 14.35% compared to traditional methods in high‐congestion scenarios, maintaining stability across various traffic conditions. The overall performance of the proposed method is comparable to that of DUE, indicating that traffic flow patterns mined through the deep network can be used to effectively deduce the optimal vehicle route without performing the iterations required for DUE. In general, the proposed approach has the capability to accommodate dynamic and complex traffic information, considerably mitigating traffic congestion.",,2025,Transactions on Emerging Telecommunications Technologies,,1.0,old,0.0,22,include
Population Game-Assisted Multi-Agent Reinforcement Learning Method for Dynamic Multi-Vehicle Route Selection,"To address urban traffic congestion, researchers have made various efforts to mitigate issues such as prolonged travel time, fuel wastage, and pollutant emissions. These efforts primarily involve microscopic route selection from the vehicle perspective, multi-vehicle route optimization based on traffic flow information and historical data, and coordinated route optimization that models vehicle interaction as a game behavior. However, existing route selection algorithms suffer from limitations such as a lack of heuristic, low dynamicity, lengthy learning cycles, and vulnerability to multi-vehicle route conflicts. To further alleviate traffic congestion, this paper presents a Period-Stage-Round Route Selection Model (PSRRSM), which utilizes a population game between vehicles at each intersection to solve the Nash equilibrium. Additionally, a Period Learning Algorithm for Route Selection (PLA-RS) is proposed, which is based on a multi-agent deep deterministic policy gradient. The algorithm allows the agents to learn from the population game and eventually transition into autonomous learning, adapting to different decision-making roles in different periods. The PSRRSM is experimentally validated using the traffic simulation platform SUMO (Simulation of Urban Mobility) in both artificial and real road networks. The experimental results demonstrate that PSRRSM outperforms several comparative algorithms in terms of network throughput and average travel cost. This is achieved through the coordination of multi vehicle route optimization, facilitated by inter-vehicle population games and communication among road agents during training, enabling the vehicle strategies to reach a Nash equilibrium.",,2024,Electronics,,0.0,old,0.0,24,include
Modeling of route planning system based on Q value-based dynamic programming with multi-agent reinforcement learning algorithms,,,2014,Engineering applications of artificial intelligence,,91.0,old,0.0,25,include
Individual versus Difference Rewards on Reinforcement Learning for Route Choice,,,2014,Brazilian Conference on Intelligent Systems,,24.0,old,0.0,26,include
Route guidance system using multi-agent reinforcement learning,,,2011,International Conference on Information Technology in Asia,,12.0,old,1.0,27,include
Network-aware multi-agent reinforcement learning for the vehicle navigation problem,"Traffic congestion is characterized by longer trip times, and increased air pollution. In a static road network, the travel time to a destination is constant and can be computed using the shortest path first algorithm (SPF). However, road network conditions are dynamic, rendering the SPF to perform sub-optimally at times. In addition, in a realistic multiple-vehicle scenario, the SPF routing algorithm can cause congestion by routing all vehicles through the same shortest path. In this paper, we propose a network-aware multi-agent reinforcement learning model for addressing this problem. Our key idea is to assign an RL agent to intersections. Each RL agent operates as a router agent and is responsible for providing routing instructions to approaching vehicles. When a vehicle reaches an intersection, it submits a routing query to the RL agent consisting of its final destination. The RL agent generates a routing response based on (i) the destination, (ii) the current state of the road network, and (iii) routing policies learned by cooperating with other neighboring RL agents. Our experimental evaluation shows that the proposed MARL model outperforms the SPF algorithm by (up to) 20.2% in average travel time.",,2022,SIGSPATIAL/GIS,,10.0,old,0.0,29,include
Navigating the non-compliance effects on system optimal route guidance using reinforcement learning,"We consider a scenario where the transportation management center (TMC) guides future autonomous vehicles (AVs) toward optimal routes, aiming to bring the network in line with the system optimal (SO) principle. However, achieving this requires a joint decision-making process, while users may be non-compliant with the TMC’s route guidance for personal gain. This paper models a future transportation network with a microscopic simulation, to introduce a novel concept of mixed equilibrium. In this framework, AVs follow the TMC’s SO route guidance, while users can dynamically choose to either comply or manually override this autonomy based on their own judgment. We initially model a fully compliant scenario, where the centralized Q-network, analogous to a TMC, is trained using reinforcement learning (RL) to minimize total system travel time (TSTT), providing optimal routes to users. Subsequently, we extend the problem setting to a multi-agent reinforcement learning (MARL) scenario, where users can comply or deviate from the TMC’s guidance based on their own decision-making. Through neural fictitious self-play (NFSP), we employ a modulating hyperparameter to investigate the impact of varying degrees of non-compliance on the overall system. Results indicate that our RL approach holds significant potential for addressing the dynamic system optimal assignment problem. Remarkably, the TMC’s route guidance retains the essence of SO while integrating some level of non-compliance. However, we also demonstrate that dominant user-centric decision-making may lead to system inefficiencies while creating disparities among users. Our framework serves as an innovative tool in an AV-dominant future, offering a realistic perspective on network performance that aids in formulating effective traffic management strategies.",,2024,Transportation Research Part C: Emerging Technologies,,9.0,old,1.0,31,include
Reinforcement learning-based route planning method for connected vehicles considering real-time road traffic information,"The economy, environment, and resident travel are significantly impacted by traffic congestion, which is a prevalent issue in urban traffic systems. Route planning is considered an effective method to address traffic congestion and enhance travel efficiency. Existing route planning methods have overlooked the impact of real-time traffic information on the timeliness of optimal routes. In this paper, an improved bureau of public roads-Q learning (IBPR-QL) control model considering real-time road traffic information is proposed for route planning of connected vehicles in cooperative vehicle-road scenarios. Firstly, the improved bureau of public roads (IBPR) function is enhanced through the utilization of speed state staging methodology, enabling adaptive adjustment of road priorities across different speed scenarios. Secondly, the IBPR function is incorporated into the Q-learning (QL) action value evaluation process to enhance model learning efficiency. Thirdly, predictive travel coefficient is proposed to mitigate congestion drift-induced oscillation phenomenon in road networks and enhance overall travel efficiency. Finally, road network datasets from four economically developed cities in China are utilized to construct a simulated road scene. The simulation results indicate that, compared to the classical QL method, IBPR-QL has a wider range of applicability across scenarios, effectively reducing travel time by 7.96%. In terms of alleviating the impact of congestion drift, the overall road network efficiency can be improved by 9.35%.",,2024,"Proceedings of the Institution of mechanical engineers. Part D, journal of automobile engineering",,1.0,old,0.0,34,include
Optimization Method of DRL-based Route Planning under Limited Resources,"The performance of the route planning module is affected by the on-board computing and storage capabilities, which are growing rapidly but are still limited by the enormous scale of sensed data that need to be stored and processed. So, aiming at the problems of resource-limited deep reinforcement learning-based route planning methods, this paper proposes an optimization method to improve computational effectiveness by using Attention Mechanism and reduce data storage by using improved Double-DQN. The results show that the proposed method enables the planning model to focus on valid sensed information and ignore irrelevant information, as well as effectively reduce the amount of vehicle agent’s experience data storage during environment exploration.",,2023,2023 3rd International Conference on Electronic Information Engineering and Computer (EIECT),,0.0,both,1.0,35,include
Vehicle-Road Collaborative Path Planning Based on $\mathbf{A}^{\ast}$ -assisted Deep Reinforcement Learning,"Traffic congestion is a serious problem that needs to be solved in the development of intelligent transportation, and global path planning is an effective way, especially with the collaborative optimization on various traffic participants. In this paper, we formulate the vehicle global path planning as a Markov decision problem, and propose an $\mathbf{A}^{\ast}$ -assisted deep reinforcement learning algorithm to achieve path optimization in complex environment by maximizing the total rewards. Compared with the existing ones in the literature, the proposed method can not only filter and extract unobvious features from multidimensional observations, but also make dynamic decisions in complex environment. To verify the effectiveness of our algorithm, we design experiments on the Simulation of Urban MObility (SUMO) platform. It is shown that the proposed algorithm converges faster and can deal with the changing and complex environment more effectively, which provides a practical solution to the problem of urban traffic congestion.",,2022,2022 IEEE 25th International Conference on Intelligent Transportation Systems (ITSC),,0.0,both,1.0,36,include
A Deep Reinforcement Learning Approach for Route Planning of Autonomous Vehicles*,"Urban autonomous driving has the potential to enhance both safety and efficiency of transportation in environments also in complex traffic conditions. However, new services and approaches are necessary to manage Autonomous Vehicles in the real traffic. This paper introduces a novel approach to optimize routing in the urban settings by Deep Reinforcement Learning (DRL) techniques. A modular DRL architecture is proposed to obtain a route able to minimize the length of the paths, minimize the number of turns during the travel and select the dedicated lanes. The proposed DRL is implemented on a case study where the agents are trained in a simulation environment for the city center of Bari, a town of Southern Italy.",,2024,"IEEE International Conference on Systems, Man and Cybernetics",,9.0,both,1.0,37,include
