group,idx,title,year,venue,doi,oa_status,acquisition_route,note
corpus-abstract-only,75,Autonomous Vehicles in Smart Cities: a Deep Reinforcement Learning Solution,2022,"2022 IEEE Intl Conf on Dependable, Autonomic and Secure Computing, Intl Conf on Pervasive Intelligence and Computing, Intl Conf on Cloud and Big Data Computing, Intl Conf on Cyber Science and Technology Congress (DASC/PiCom/CBDCom/CyberSciTech)",10.1109/DASC/PiCom/CBDCom/Cy55231.2022.9927840,closed,"closed, IEEE venue -> institutional IEEE Xplore download",
corpus-abstract-only,76,Intelligent Routing in Connected Autonomous Vehicles using the ADAPT-S Learning Architecture,2025,2025 6th International Conference on Electronics and Sustainable Communication Systems (ICESC),10.1109/ICESC65114.2025.11212408,closed,"closed, non-IEEE (publisher unknown) -> institutional access / ILL / author request",
corpus-abstract-only,78,Resilient Multi-Agent Deep Reinforcement Learning for Routing Control via Traffic Cost Fields,2026,"2026 12th International Conference on Control, Automation and Robotics (ICCAR)",10.1109/ICCAR69571.2026.11549565,closed,"closed, non-IEEE (publisher unknown) -> institutional access / ILL / author request",
corpus-abstract-only,80,Reinforcement Learning for Dynamic Traffic Management: A Scalable Approach to Congestion Reduction,2025,"2025 International Conference on Artificial Intelligence, Computer, Data Sciences and Applications (ACDSA)",10.1109/ACDSA65407.2025.11165977,closed,"closed, non-IEEE (publisher unknown) -> institutional access / ILL / author request",
corpus-abstract-only,81,A Communication Resource Enhanced Intelligent Road Traffic Routing Scheme,2021,2021 International Conference on UK-China Emerging Technologies (UCET),10.1109/UCET54125.2021.9674959,closed,"closed, non-IEEE (publisher unknown) -> institutional access / ILL / author request",
corpus-abstract-only,83,A Deep Q Learning-Model Predictive Control Approach to vehicle routing and control with platoon constraints,2022,2022 IEEE 18th International Conference on Automation Science and Engineering (CASE),10.1109/CASE49997.2022.9926699,closed,"closed, IEEE venue -> institutional IEEE Xplore download",
corpus-abstract-only,86,A Joint Design of Path Planning and Lane Reservation for Emergency Service in ITS,2023,2023 IEEE International Symposium on Product Compliance Engineering - Asia (ISPCE-ASIA),10.1109/ISPCE-ASIA60405.2023.10365789,closed,"closed, IEEE venue -> institutional IEEE Xplore download",
corpus-abstract-only,87,A Reinforcement Learning-Based Path Recommendation Strategy Considering Broadcast Disturbance and Behavioral Response,2025,2025 International Conference on Meta-Networking (MEET),10.1109/MEET67398.2025.11335650,closed,"closed, non-IEEE (publisher unknown) -> institutional access / ILL / author request",
corpus-abstract-only,89,Research on Travel Paths Based on Car-Hailing Services Connecting with Rail Transit,2023,2023 IEEE 26th International Conference on Intelligent Transportation Systems (ITSC),10.1109/ITSC57777.2023.10421829,closed,"closed, IEEE venue -> institutional IEEE Xplore download",
corpus-abstract-only,90,Q-Learning-Based Energy-Aware Route Planning for Electric Vehicles on Real Road Networks with Charging Constraints,2025,2025 Innovations in Intelligent Systems and Applications Conference (ASYU),10.1109/ASYU67174.2025.11208423,closed,"closed, non-IEEE (publisher unknown) -> institutional access / ILL / author request",
corpus-abstract-only,91,Cutting-Edge Travel Planner: Intelligent Route Recommendation System using Enhanced Learning Scheme with AI Principles,2024,2024 Ninth International Conference on Science Technology Engineering and Mathematics (ICONSTEM),10.1109/ICONSTEM60960.2024.10568864,closed,"closed, non-IEEE (publisher unknown) -> institutional access / ILL / author request",
corpus-abstract-only,92,Multi-Objective Route Optimization via Dueling DQN for Teleoperated Driving,2025,GLOBECOM 2025 - 2025 IEEE Global Communications Conference,10.1109/GLOBECOM59602.2025.11432339,closed,"closed, IEEE venue -> institutional IEEE Xplore download",
borderline-in-scope,70,Route Planning and Power Management for PHEVs With Reinforcement Learning,2020,IEEE Transactions on Vehicular Technology,,closed,"closed, IEEE venue -> institutional IEEE Xplore download",
borderline-in-scope,77,Preliminary Study on Cooperative Route Planning Reinforcement Learning with a Focus on Avoiding Intersection Congestion,2024,Future Transportation,,gold,"MDPI gold OA, bot-blocked -> download free in browser: https://www.mdpi.com/2673-7590/4/4/75",
borderline-in-scope,161,A Mixed Generative Adversarial Imitation Learning Based Vehicle Path Planning Algorithm,2024,IEEE Access,10.1109/ACCESS.2024.3412109,gold,IEEE Access gold OA -> free on IEEE Xplore,
borderline-in-scope,206,HERO: Heterogeneous-agent rEinforcement learning-based Route Optimization for Green Transportation in IoVs,2026,IEEE Open Journal of Intelligent Transportation Systems,10.1109/OJITS.2026.3708178,gold,IEEE OJ-ITS gold OA -> free on IEEE Xplore,
borderline-in-scope,357,Disaster-Aware Path Planning Based on Reinforcement Learning for Postearthquake Emergency Response,2025,IEEE Transactions on Geoscience and Remote Sensing,10.1109/TGRS.2025.3582106,closed,"closed, IEEE venue -> institutional IEEE Xplore download",
borderline-in-scope,666,Reinforcement Learning-based Unpredictable Emergency Events,2021,2021 Fifth International Conference On Intelligent Computing in Data Sciences (ICDS),10.1109/ICDS53782.2021.9626720,closed,"closed, non-IEEE (publisher unknown) -> institutional access / ILL / author request",
borderline-in-scope,743,Robust Navigation under Incomplete Localization Using Reinforcement Learning,2020,"2020 IEEE/ION Position, Location and Navigation Symposium (PLANS)",10.1109/PLANS46316.2020.9109920,closed,"closed, IEEE venue -> institutional IEEE Xplore download",
borderline-in-scope,780,Energy Optimal Route Planning Framework for Electric Vehicles Using Hybrid Artificial Intelligence Models,2026,2026 6th International Conference on Trends in Material Science and Inventive Materials (ICTMIM),10.1109/ICTMIM68190.2026.11506680,closed,"closed, non-IEEE (publisher unknown) -> institutional access / ILL / author request",
borderline-in-scope,853,GRAND: Graph Laplacian-based Reinforcement Learning for Autonomous Navigation Decisions,2023,2023 IEEE World Conference on Applied Intelligence and Computing (AIC),10.1109/AIC57670.2023.10263897,closed,"closed, IEEE venue -> institutional IEEE Xplore download",
borderline-in-scope,930,Target-Driven Mapless Navigation for Self-Driving Car,2021,2021 IEEE International Conference on Unmanned Systems (ICUS),10.1109/ICUS52573.2021.9641134,closed,"closed, IEEE venue -> institutional IEEE Xplore download",
