title,abstract,authors,year,venue,doi,citationCount,pool,old_include,idx,decision
eCharge: Deep Reinforcement Learning Framework for Multi-Objective Electric Vehicle Charging Route Planning,,,2025,"2025 IEEE International Symposium on Cluster, Cloud and Internet Computing",,1.0,old,0.0,78,borderline
Advanced Deep Reinforcement Learning Strategies for Enhanced Autonomous Vehicle Navigation Systems,"The objective of this research is to investigate more sophisticated techniques in Deep Reinforcement Learning (DRL) for the purpose of improving navigation systems for autonomous vehicles. The results of our research indicate that the success rates of DRL algorithms are encouraging: DQN (75.2%), PPO (82.6%), and TRPO (78.1%). The success of navigation is highly influenced by optimisation factors such as parameter tuning (87.4%), exploration-exploitation balance (85.1%), and reward shaping (88.9%). The generalisation score for transfer learning is rather good (92.3%), while the safety modules are designed to make the system safer. These findings highlight the significance of algorithm selection, parameter optimisation, and advanced techniques in the process of optimising navigation for autonomous vehicles, hence establishing essential benchmarks for future developments.",,2024,2024 International Conference on Intelligent Computation (IC),,9.0,both,0.0,85,borderline
A Graph Reinforcement Learning-Based Decision-Making Platform for Real-Time Charging Navigation of Urban Electric Vehicles,"To provide efficient charging behavior decision-making for urban electric vehicles (EVs), this article proposes a new platform for real-time EV charging navigation (EVCN) based on graph reinforcement learning. Considering the interaction of EVs with charging stations (CSs) and traffic networks, the navigation goal of the ?�vehicle-station-network??coupled system is to minimize the charging cost and traveling time of EV owners. Specifically, to realize data acquisition and decision-making output, we first characterize the EV charging and traveling behavior as the dynamic interaction process of graph-structured networks. A graph convolutional network is used to extract the environment information required for EVCN, and the generated environment feature is fed into the underlying network of deep reinforcement learning (DRL), which can help the agent better understand massive graph-structured data. Then, the real-time navigation problem is duly formulated as a finite Markov decision process. A sequential scheduling pattern is built according to the sorting of EV charging urgency and solved by a Rainbow-based DRL algorithm. It achieves the sequential recommendation of CSs and planning of traveling routes for multiple EVs. Case studies are conducted within a practical zone in Nanjing, China. Simulation results verify the developed platform and the solving method.",Q. Xing; Y. Xu; Z. Chen; Z. Zhang; Z. Shi,2023,IEEE Transactions on Industrial Informatics,10.1109/TII.2022.3210264,62.0,gate1,,105,borderline
Deep Reinforcement Learning for EV Charging Navigation by Coordinating Smart Grid and Intelligent Transportation System,"A coordinated operation of smart grid (SG) and intelligent transportation system (ITS) provides electric vehicle (EV) owners with a myriad of power and transportation network data for EV charging navigation. However, the optimal charging navigation would be a challenging task owing to the randomness of traffic conditions, charging prices and waiting time at EV charging station (EVCS). In this paper, we propose a deep reinforcement learning (DRL)-based EV charging navigation, aiming at minimizing the total travel time and the charging cost at EVCS. First, we utilize the deterministic shortest charging route model (DSCRM) to extract feature states out of collected stochastic data and then formulate EV charging navigation as a Markov Decision Process (MDP) with an unknown transition probability. The proposed DRL-based approach will approximate the solution, which can adaptively learn the optimal strategy without any prior knowledge of uncertainties. Case studies are carried out within a practical zone in Xi'an city, China. Numerous experimental results verity the effectiveness of the proposed approach and illustrate its adaptation to EV driver preferences. The coordination effect of SG and ITS on reducing the waiting time and the charging cost in EV charging navigations is also analyzed.",T. Qian; C. Shao; X. Wang; M. Shahidehpour,2020,IEEE Transactions on Smart Grid,10.1109/TSG.2019.2942593,236.0,gate1,,115,borderline
Time-Driven and Privacy-Preserving Navigation Model for Vehicle-to-Vehicle Communication Systems,"Effective time-driven navigation is an operative way to alleviate traffic congestion, which is also a challenging problem in the Internet of Vehicles context. Most existing centralized navigation systems often cannot react promptly to real-time local traffic situations, while most existing distributed navigation systems are vulnerable to privacy attacks. To overcome these drawbacks, we propose a learning model that provides a provable guarantee of vehicles' privacy while still enabling efficient navigation under real-time traffic conditions. The proposed model adopts a novel multi-agent system with customized differentially private mechanisms. To verify the effectiveness and stability of our approach, we implement the proposed method on CARLA, which is an autonomous driving simulator. In four experimental tasks with varying parameters, we demonstrate fully that our proposed method outperforms other benchmarks.",C. Zhu; Z. Cheng; D. Ye; F. K. Hussain; T. Zhu; W. Zhou,2023,IEEE Transactions on Vehicular Technology,10.1109/TVT.2023.3248613,11.0,gate1,,127,borderline
A Dynamic Cooperative Ramp Metering and Navigation Guidance Approach Based on Heterogeneous-Agent Reinforcement Learning,"Ramp metering (RM) or navigation guidance (NG) plays a vital role in alleviating congestion. However, dynamically integrating RM and NG to achieve a ??+1>2??effect remains a challenge. To fill the technological gap, this article proposes a reinforcement learning-based dynamic cooperative RM and NG (DCRMNG) approach to conduct cooperative traffic control on the expressway system, which simultaneously adjusts demand and supply. Traffic congestion estimation (TCE) and route generation (RG) models are established for future traffic conditions prediction, traffic congestion evaluation, and guiding RG. To formulate coordinative control strategies for two distinct groups of agents, a heterogeneous-agent Markov decision process (HMDP) is developed. The reward function is carefully crafted to promote collaboration and accelerate the optimization algorithm?�s convergence. Then, a novel heterogeneous-agent proximal policy optimization (HAPPO) algorithm is introduced to solve the DCRMNG approach. Finally, a real-world scenario with an expressway and its parallel arterial road in Hangzhou, China is simulated to assess the performance of the HAPPO-based DCRMNG approach. The results reveal that the proposed approach has the capability to improve the overall network traffic efficiency, mitigate the ?�navigation jam??issue and achieve intelligent and precise control of the expressway system, exhibiting outstanding performance in various traffic scenarios.",Z. Jiang; Z. Qi; L. Wang; Z. Zhu; D. -H. Lee,2025,IEEE Internet of Things Journal,10.1109/JIOT.2025.3572177,2.0,gate1,,150,borderline
A Resilient AoI-Aware Optimization Framework for Intelligent Transportation Systems Using Deep Reinforcement Learning,"The rapid development of intelligent transportation systems (ITS) has enabled connected vehicles (CVs) to leverage vehicle-to-everything (V2X) communication for improved mobility, traffic efficiency, and safety. However, the increasing density of CVs and their reliance on timely information exchange pose significant challenges in dynamic path planning, communication resource allocation, and age of information (AoI) control. While AoI minimization improves information freshness, it does not capture the system?�s ability to recover from prolonged information staleness caused by congestion or communication disruptions. This paper proposes a resilient age-aware optimization (RAO) framework based on deep reinforcement learning (DRL) for joint vehicular path planning and communication resource allocation. The proposed framework tightly couples routing decisions with AoI-aware resource allocation and introduces a resiliency-aware penalty that accounts for both the severity and duration of AoI violations, enabling explicit modeling of recovery behavior beyond instantaneous AoI minimization. A Deep Deterministic Policy Gradient (DDPG)-based learning architecture is employed to support real-time adaptive decision making in highly dynamic and non-stationary ITS environments. Simulation results demonstrate that RAO achieves up to 27% reduction in average AoI, 51% reduction in AoI violation duration, and 42% improvement in network resilience, while also reducing travel time under high-density traffic scenarios. These results highlight the effectiveness of resiliency-aware learning for next-generation V2X-enabled ITS.",A. H. Arani; H. Saeedi; S. Norouzi; A. Nouruzi; N. Zorba; H. Yanikomeroglu,2026,IEEE Open Journal of the Communications Society,10.1109/OJCOMS.2026.3707734,,gate1,,159,borderline
A Mixed Generative Adversarial Imitation Learning Based Vehicle Path Planning Algorithm,"Vehicle path planning is one of the effective ways to relieve the huge traffic flow pressure of modern urban transportation system, and it is also an important way to realize carbon emission reduction and to build green transportation system as well as smart city. At present, the artificial intelligence (AI) algorithms with reinforcement learning (RL) as the mainstream have achieved great success in the field of vehicle path planning. However, RL only conducts policy learning based on the evaluation feedback of the environment, whereas imitation learning (IL) can obtain more direct feedback from expert decision data, and then obtain a decision model close to the expert level by comparing with RL. At present, there are very few vehicle path planning algorithms based on IL, and they are often hindered by the compounding error and sample complexity dilemma, resulting in poor path planning effectiveness. In order to overcome these problems, in this paper, a mixed generative adversarial IL (MixGAIL) algorithm has been proposed, which effectively integrates the transition aware adversarial IL (TAIL) and generative adversarial IL (GAIL) based on minimum-distance functions (MIMIC-MD) methods under the framework of GAIL. In order to overcome the optimization dilemma of non-convex and non-smooth objective function after the integration, the proposed MixGAIL uses mixed policy gradient actor-critic model with random escape term and filter optimization (MPGACEF), and pioneers the noise projected subgradient descent method with momentum (MNPSGD) for global optimization. Experiments have shown that by learning expert decision data, MixGAIL has better vehicle path planning performance and faster iteration speed than classic IL algorithms such as behavioral cloning (BC), dataset aggregation (DAgger), feature expectation matching (FEM), game theoretical appraisal learning (GTAL), TAIL, and MIMIC-MD, and is closer to expert level.",Z. Yang; W. Nai; D. Li; L. Liu; Z. Chen,2024,IEEE Access,10.1109/ACCESS.2024.3412109,10.0,gate1,,161,borderline
SG-GAN for Electric Vehicle Road Networks and Q-Learning in Energy Efficient Routing,"This paper suggests a novel routing scheme for multiple electric vehicles (EVs) on a mesh-type road network, which is generated using a Spatial Graph-Generative Adversarial Network (SG-GAN). The scheme focuses on optimizing both the routing of EVs and their association with the respective charging stations(CSs) to reduce energy consumption. The challenge lies in effectively managing factors such as travel cost, the state of charge (SoC) of the battery, and congestion in the road network. To address this problem, we propose a Reinforcement Learning (RL) based approach that minimizes energy consumption and the overall travel time for EVs to reach their destinations. A Q-learning algorithm for RL is employed to solve the nonlinear constrained optimization problems. Through simulation experiments on a road network evolved through SG-GAN, which generates realistic and complex network topologies, we address the allocation of CSs and EVs optimal routing. The results demonstrate the effectiveness of our approach compared to the existing methods, achieving a 2.68% reduction in energy consumption along with a similarity measure, on an average Kullback?�Leibler (KL) distance (divergence) 0.54 in the SG-GAN generated road network from the reference real one.",S. K. Das; S. P. Maity; C. Chakraborty,2025,IEEE Transactions on Intelligent Transportation Systems,10.1109/TITS.2025.3585310,,gate1,,178,borderline
Optimizing Intersection Navigation With Multishot Update Mechanism: A Real-Time Distributed Reinforcement Learning for Ground and Aerial Moving Objects,"As the Internet of Things (IoT) reshapes modern transportation, there is a growing need for an intelligent navigation strategy that addresses the challenges of various moving objects (MOs) like ground vehicle, indoor robots, and unmanned aerial vehicles (UAVs), while also overcoming recent global positioning system (GPS) vulnerabilities. These vulnerabilities include signal unavailability in obstructed environments, geopolitical or institutional dependencies of GPS services, and risks of centralized system failures, such as single-node disruptions. To address these issues, we introduce UDMSU-distributed reinforcement learning (DRL), a real-time user-demand-based DRL algorithm for intersection navigation, incorporating a multishot update mechanism. Our decentralized, GPS-independent approach meets real-time user preferences, such as time, energy, and safety?�while ensuring private navigation by restricting data exchange to localized road segment interactions with the intersection agent. The proposed multishot Q-table update (MSQU) mechanism enhances data efficiency by reusing Q-values across multiple Q-table updates, thereby accelerating learning convergence. Extensive experiments show that our method effectively adapts to dynamic environments with diverse user demands, while reducing computational complexity and memory usage compared to other methods.",Q. Yang; S. -J. Yoo,2025,IEEE Internet of Things Journal,10.1109/JIOT.2025.3589567,1.0,gate1,,186,borderline
HERO: Heterogeneous-agent rEinforcement learning-based Route Optimization for Green Transportation in IoVs,"With the rapid urbanization and increasing demand for transportation, cities are facing major problems in mitigating traffic congestion and environmental pollution. A series of work have been done to resolve these issues, yet great challenges still exist. Although multi-vehicle path planning is beneficial for finding global optimal route, it significantly complicates the computation and places higher demands on processing capabilities and response time. Meanwhile, existing congestion control methods mainly rely on real-time traffic data to identify the occurrence of congestion, and take damage control actions afterwards. This passive mode limits the effectiveness of these methods and introduce extra delay into the system. In view of this, we propose a novel Heterogeneous-agent rEinforcement Route Optimization (HERO) framework that combines fog and cloud computing to optimize traffic management. The system integrates global traffic data analysis in the cloud with real-time local traffic monitoring and adjustment through fog nodes, where cloud and roadside units (RSUs) collaborate to efficiently manage multi-vehicle path planning and congestion control. An Attention-CNN-LSTM-based prediction model is designed for surveying congestion tendency in each road segment, which provides basis for RSUs to take proactive response for avoiding congestion. The system employs a heterogeneous-agent advantage actor-critic (HAA2C) network to capture collaboration and interactions among heterogeneous agents, optimizing the global strategy while accommodating agent diversity. Simulation results demonstrate that the proposed architecture exhibits satisfying scalability and performance in reducing energy consumption, pollution emissions, and enhancing traffic efficiency through successful congestion avoidance and traffic flow balance.",S. Wang; Z. Guo; H. Yang,2026,IEEE Open Journal of Intelligent Transportation Systems,10.1109/OJITS.2026.3708178,,gate1,,206,borderline
A Bilevel Graph Reinforcement Learning Method for Electric Vehicle Fleet Charging Guidance,"This letter proposes a bilevel graph reinforcement learning method for electric vehicle (EV) fleet charging guidance, achieving collaborative optimization of the transportation-electrification coupled system. A dual-agent architecture is first constructed, where the upper-level is used for charging and the lower-level is used for routing. The EV traveling and charging behavior is characterized as a graph-structured interaction process. A graph attention network (GAT) is leveraged to extract the topology correlation and feature information. Then the extracted topology embedded with knowledge, as intermediate latent environment states, is fed into the underlying network of deep reinforcement learning (DRL). A DRL-based sequential scheduling pattern is developed to realize the guidance of multiple EVs. Extensive experimental results verify the superiority and adaptability of our proposed methodology.",Q. Xing; Y. Xu; Z. Chen,2023,IEEE Transactions on Smart Grid,10.1109/TSG.2023.3240580,36.0,gate1,,234,borderline
Deductive Reinforcement Learning for Visual Autonomous Urban Driving Navigation,"Existing deep reinforcement learning (RL) are devoted to research applications on video games, e.g., The Open Racing Car Simulator (TORCS) and Atari games. However, it remains under-explored for vision-based autonomous urban driving navigation (VB-AUDN). VB-AUDN requires a sophisticated agent working safely in structured, changing, and unpredictable environments; otherwise, inappropriate operations may lead to irreversible or catastrophic damages. In this work, we propose a deductive RL (DeRL) to address this challenge. A deduction reasoner (DR) is introduced to endow the agent with ability to foresee the future and to promote policy learning. Specifically, DR first predicts future transitions through a parameterized environment model. Then, DR conducts self-assessment at the predicted trajectory to perceive the consequences of current policy resulting in a more reliable decision-making process. Additionally, a semantic encoder module (SEM) is designed to extract compact driving representation from the raw images, which is robust to the changes of the environment. Extensive experimental results demonstrate that DeRL outperforms the state-of-the-art model-free RL approaches on the public CAR Learning to Act (CARLA) benchmark and presents a superior performance on success rate and driving safety for goal-directed navigation.",C. Huang; R. Zhang; M. Ouyang; P. Wei; J. Lin; J. Su; L. Lin,2021,IEEE Transactions on Neural Networks and Learning Systems,10.1109/TNNLS.2021.3109284,47.0,gate1,,270,borderline
Decision-Making for Autonomous Vehicles in Multi-Scenarios With Global Map Model and Dynamic Safe Topological Structure,"Autonomous vehicles are expected to navigate safely and efficiently in dynamic environments, which requires the seamless integration of efficient global route planning with stable and safe local motion planning. To enhance global route planning, we construct a state-value function to represent the global map and then iterate an inheritable state-transition matrix that can be used to rapidly search globally optimal routes. To improve the safety, stability and adaptability of local motion planning, we propose an adaptive dynamic safe topological structure that combines hierarchical computational layers to decompose decision-making processes and adaptively regulate decision outputs in diverse scenarios. These methods are integrated into a unified framework for cooperative decision-making, which is validated in various scenarios in CARLA. The experimental results demonstrate that the global route planning method efficiently searches optimal routes, while the local motion planning method ensures safe and robust decisions across various driving scenarios and styles. Additionally, the integrated framework achieves effective cooperation between efficient global navigation and effective local decision-making.",D. Ouyang; J. Li; G. Li; X. Ren; Q. Peng,2025,IEEE Transactions on Intelligent Transportation Systems,10.1109/TITS.2025.3604972,2.0,gate1,,279,borderline
Real-Time Coordinated Operation of Power and Autonomous Electric Ride-Hailing Systems,"Integration of self-driving functions in electric vehicles is radically changing the transportation systems, and representing an opportunity for power utilities to develop innovative solutions for harnessing the spatio-temporal charging flexibility of autonomous electric vehicles (AEVs). This paper develops a multi-agent reinforcement learning model for intelligent real-time coordinated operation of interdependent autonomous electric ride-hailing system (AERS) and power distribution system (PDS), which enables the coordinated routing and charging of AEVs while ensuring the quality of service by meeting spatio-temporal passenger demand and regularly charging the batteries. The proposed model adopts a modified deep Q-network method with multi-agent rollout to determine the near-optimal solution for the coordinated operation problem that determines the routing and charging of numerous AEVs in real-time. The proposed model is tested on a 13-node transportation network, adopted from the Salt Lake City transportation system, and the IEEE 33-bus test power distribution system to showcase the efficiency of the proposed model in determining the real-time routing and charging decisions for AEVs while meeting the operational constraints of both AERS and PDS.",A. Bagherinezhad; M. M. Hosseini; M. Parvania,2023,IEEE Transactions on Smart Grid,10.1109/TSG.2023.3247780,18.0,gate1,,291,borderline
Harvesting the Flexibility of Autonomous Mobility-on-Demand System to Enhance Distribution Network Operation,"Considering the potential application of Autonomous Mobility-on-Demand (AMoD) systems in future urban transportation, the strategic charging behavior of AMoD can provide flexibility to promote distribution network efficient operation. In this paper, we develop an incentive-based navigation framework that coordinates fleet routing and charging schedules to harvest the flexibility potential of AMoD fleet. Firstly, we formulate the incentive problem for network operator and the scheduling problem for fleet as a Markov game. We address these problems using a novel multi-agent deep reinforcement learning algorithm, which incorporates a physics-informed neural network model to represent the distribution network and resolve unobservable issues. We then employ an asynchronous update and modified prioritized experience replay mechanism to mitigate non-stationary nature of the environment. Additionally, we propose an expert-based pre-training approach to accelerate the training process. Experimental results demonstrate that the proposed method increases AMoD system profit by 7.83%, reduces DSO operational costs by 29.4%, and eliminates voltage violations, thereby achieving both economic and secure operation of the integrated transportation and power system.",Z. Dou; Z. Ding; X. Wei; Z. Hu,2025,IEEE Transactions on Smart Grid,10.1109/TSG.2025.3593058,3.0,gate1,,294,borderline
Q-Cogni: An Integrated Causal Reinforcement Learning Framework,"We present Q-Cogni, an algorithmically integrated causal reinforcement learning framework that redesigns Q-Learning to improve the learning process with causal inference. Q-Cogni achieves improved policy quality and learning efficiency with a prelearned structural causal model of the environment, queried to guide the policy learning process with an understanding of cause-and-effect relationships in a state-action space. By doing so, we not only leverage the sample efficient techniques of reinforcement learning but also enable reasoning about a broader set of policies and bring higher degrees of interpretability to decisions made by the reinforcement learning agent. We apply Q-Cogni on vehicle routing problem (VRP) environments including a real-world dataset of taxis in New York City using the Taxi and Limousine Commission trip record data. We show Q-Cogni's capability to achieve an optimally guaranteed policy (total trip distance) in 76% of the cases when comparing to shortest-path-search methods and outperforming (shorter distances) state-of-the-art reinforcement learning algorithms in 66% of cases. Additionally, since Q-Cogni does not require a complete global map, we show that it can start efficiently routing with partial information and improve as more data is collected, such as traffic disruptions and changes in destination, making it ideal for deployment in real-world dynamic settings.",C. da Costa Cunha; W. Liu; T. French; A. Mian,2024,IEEE Transactions on Artificial Intelligence,10.1109/TAI.2024.3453230,2.0,gate1,,300,borderline
Deep Reinforcement Learning-Based Multi-Object Adaptive Route Planning for Traveling Recommender Systems,"In travel recommendation systems, the most important business demand is to make adaptive route planning and navigation decision based on computational intelligence. Existing researches mostly lacked the ability to adaptively suggest route planning schemes for users, according to contextual features. To deal with the problem, this paper proposes a deep reinforcement learning-based multi-object adaptive route planning method for travel recommendation systems. In particular, the technical framework utilizes both value iterative network (VIN) module and positioning module to construct a specific DRL algorithm for this purpose. It inputs the environment map of the agent into VIN module, obtains the value distribution corresponding to the map by means of convolution iteration, and extracts features by means of self-positioning. Such a technical framework is expected to improve generalization ability of navigation strategies. Empirically, this work selects some popular scenic spots in a certain region as the research object for case analysis, and collects road network traffic data and tourist scenic spot parameter data through two public travel service platforms. The experimental results show that the suburban tourism route planning model based on deep reinforcement learning scene perception is reasonable and feasible, and can effectively improve tourist satisfaction.",Y. Wang; P. Hu,2023,IEEE Access,10.1109/ACCESS.2023.3327273,13.0,gate1,,322,borderline
Disaster-Aware Path Planning Based on Reinforcement Learning for Postearthquake Emergency Response,"After earthquake disasters, ensuring that emergency rescue operations reach affected areas as quickly as possible, to maximize the rescue of lives and property and minimize secondary disaster losses, is the primary task of postearthquake emergency response. Remote sensing technology, characterized by its large-scale coverage, noncontact nature, and rapid response capabilities, provides valuable information for disaster area assessment and postearthquake emergency response path planning. However, existing postdisaster emergency path planning studies often fail to utilize this rich information. Traditional path planning algorithms insufficiently consider the disaster situation, hindering the efficient utilization of rescue forces and resources. To address these challenges, this study proposes a disaster-aware path planning method based on reinforcement learning for postearthquake emergency response (P2DARL). The P2DARL method utilizes real disaster information provided by high-resolution remote sensing images and models it in a reinforcement learning environment. This allows the intelligent agent to learn optimal postearthquake emergency response path planning strategies through continuous trial-and-error interactions with the environment. This approach facilitates the optimal allocation of rescue resources and enhances rescue efficiency. Experiments using real earthquake disaster images demonstrate that the P2DARL method effectively plans paths that cover more affected centers in mid-short distance scenarios, maximizing rescue efficiency and significantly reducing casualties and economic losses resulting from earthquake disasters.",J. Guo; Y. Wan; A. Ma; Y. Zhong,2025,IEEE Transactions on Geoscience and Remote Sensing,10.1109/TGRS.2025.3582106,3.0,gate1,,357,borderline
Explanation-Aware Experience Replay in Rule-Dense Environments,"Human environments are often regulated by explicit and complex rulesets. Integrating Reinforcement Learning (RL) agents into such environments motivates the development of learning mechanisms that perform well in rule-dense and exception-ridden environments such as autonomous driving on regulated roads. In this letter, we propose a method for organising experience by means of partitioning the experience buffer into clusters labelled on a per-explanation basis. We present discrete and continuous navigation environments compatible with modular rulesets and 9 learning tasks. For environments with explainable rulesets, we convert rule-based explanations into case-based explanations by allocating state-transitions into clusters labelled with explanations. This allows us to sample experiences in a curricular and task-oriented manner, focusing on the rarity, importance, and meaning of events. We label this concept Explanation-Awareness (XA). We perform XA experience replay (XAER) with intra and inter-cluster prioritisation, and introduce XA-compatible versions of DQN, TD3, and SAC. Performance is consistently superior with XA versions of those algorithms, compared to traditional Prioritised Experience Replay baselines, indicating that explanation engineering can be used in lieu of reward engineering for environments with explainable features.",F. Sovrano; A. Raymond; A. Prorok,2022,IEEE Robotics and Automation Letters,10.1109/LRA.2021.3135927,14.0,gate1,,390,borderline
