include,paperId,title,year,venue,citationCount,source
,ieee_10_1109_ic2nc67409_2025_11376238,Hybrid DCGAN-based Framework for Robust and Efficient Vehicle Path Planning in Autonomous Driving,2025,2025 International Conference on NexGen Networks and Cybernetics (IC2NC),0,ieee_xplore_20260426
,ieee_10_1109_tits_2025_3578279,"A Conflicts-Free, Speed-Lossless KAN-Based Reinforcement Learning Decision System for Interactive Driving in Roundabouts",2025,IEEE Transactions on Intelligent Transportation Systems,13,ieee_xplore_20260426
,ieee_10_1109_comsnets59351_2024_10427147,Next-Generation Autonomous Vehicle Navigation: A DDPG Reinforcement Learning Approach to Dynamic HD Map Caching,2024,2024 16th International Conference on COMmunication Systems & NETworkS (COMSNETS),1,ieee_xplore_20260426
,ieee_10_1109_access_2025_3598230,Hierarchical Reinforcement Learning for Navigation Among Movable and Immovable Obstacles,2025,IEEE Access,0,ieee_xplore_20260426
,ieee_10_1109_icaccm61117_2024_11059045,Supervised Deep Learning Methodology for Autonomous Vehicle Routing,2024,"2024 International Conference on Advances in Computing, Communication and Materials (ICACCM)",0,ieee_xplore_20260426
,ieee_10_1109_ddcls61622_2024_10606682,Enhancing Autonomous Driving: A Scalable Multi-Layered DRL Approach for Decision and Control,2024,2024 IEEE 13th Data Driven Control and Learning Systems Conference (DDCLS),0,ieee_xplore_20260426
,ieee_10_1109_itsc60802_2025_11423599,Generalizing Autonomous Navigation via Human-Guided Diffusion Policies with Adversarial Reinforcement Learning,2025,2025 IEEE 28th International Conference on Intelligent Transportation Systems (ITSC),0,ieee_xplore_20260426
,ieee_10_1109_idap64064_2024_10710985,Reinforcement Learning-Driven Latency Minimization for Transportation and Traffic Engineering in Logistic SDN Networks,2024,2024 8th International Artificial Intelligence and Data Processing Symposium (IDAP),0,ieee_xplore_20260426
,ieee_10_1109_icses63760_2024_10910335,Enhancing Autonomous Vehicle Navigation Using Deep Learning-Based Scene Understanding,2024,"2024 International Conference on Innovative Computing, Intelligent Communication and Smart Electrical Systems (ICSES)",0,ieee_xplore_20260426
0,ieee_10_1109_icses66558_2026_11478874,Dynamic Route Optimization using D* Lite and DQN Algorithm,2026,"2026 International Conference on Innovative Computing, Intelligent Communication and Smart Electrical Systems (ICSES)",0,ieee_xplore_20260426
,ieee_10_1109_icccnt61001_2024_10724243,Optimizing Urban Transportation Using Big Data and Reinforcement Learning Techniques,2024,2024 15th International Conference on Computing Communication and Networking Technologies (ICCCNT),0,ieee_xplore_20260426
,ieee_10_1109_icra55743_2025_11127375,Autonomous Wheel Loader Navigation Using Goal-Conditioned Actor-Critic MPC,2025,2025 IEEE International Conference on Robotics and Automation (ICRA),1,ieee_xplore_20260426
,ieee_10_1109_dapic66097_2025_00098,Design of IoT Passenger Transport Safety Monitoring and Early Warning System Driven by Big Data,2025,"2025 International Conference on Digital Analysis and Processing, Intelligent Computation (DAPIC)",0,ieee_xplore_20260426
,ieee_10_1109_icde60146_2024_00030,Cooperative Global Path Planning for Multiple Platforms,2024,2024 IEEE 40th International Conference on Data Engineering (ICDE),2,ieee_xplore_20260426
,ieee_10_1109_sii64115_2026_11404574,Intermodal Journey Planning to Transportation Hubs in a Microscopic Environment: A Multi-Objective Multi-Agent Reinforcement Learning Optimization Framework,2026,2026 IEEE/SICE International Symposium on System Integration (SII),0,ieee_xplore_20260426
,ieee_10_1109_access_2026_3677440,Shortest-Time Path Planning Under Carbon Emission Constraints via Reinforcement Learning,2026,IEEE Access,0,ieee_xplore_20260426
,ieee_10_1109_access_2024_3366517,Combining Reinforcement Learning With Genetic Algorithm for Many-To-Many Route Optimization of Autonomous Vehicles,2024,IEEE Access,6,ieee_xplore_20260426
,ieee_10_1109_cscwd61410_2024_10580499,Dynamic scheduling method of public transportation resources based on Spatial Graph Convolution and Proximal Policy Optimization,2024,2024 27th International Conference on Computer Supported Cooperative Work in Design (CSCWD),1,ieee_xplore_20260426
,ieee_10_1109_tase_2023_3347264,Socially Intelligent Reinforcement Learning for Optimal Automated Vehicle Control in Traffic Scenarios,2025,IEEE Transactions on Automation Science and Engineering,20,ieee_xplore_20260426
,ieee_10_1109_bigdia63733_2024_10808762,Q-Learning Based Genetic Algorithm for Solving Pollution Route Planning Problem,2024,2024 10th International Conference on Big Data and Information Analytics (BigDIA),0,ieee_xplore_20260426
,ieee_10_1109_tro_2024_3463407,From Sim to Real: A Pipeline for Training and Deploying Traffic Smoothing Cruise Controllers,2024,IEEE Transactions on Robotics,3,ieee_xplore_20260426
,ieee_10_1109_icdsca63855_2024_10859913,Research on Path Planning Algorithm Based on the Integration of Ant Colony Algorithm and AI Decision,2024,2024 IEEE 4th International Conference on Data Science and Computer Application (ICDSCA),0,ieee_xplore_20260426
,ieee_10_1109_ccece59415_2024_10667230,Continuous Action Learning Automata: A Strategy for Dynamic Optimization of Invariant Kalman Filter Covariances,2024,2024 IEEE Canadian Conference on Electrical and Computer Engineering (CCECE),0,ieee_xplore_20260426
,ieee_10_1109_icses63760_2024_10910300,Intelligent Transportation Systems IoT Solutions for Traffic Optimization and Autonomous Vehicle Networks,2024,"2024 International Conference on Innovative Computing, Intelligent Communication and Smart Electrical Systems (ICSES)",0,ieee_xplore_20260426
,ieee_10_1109_globecom59602_2025_11432339,Multi-Objective Route Optimization via Dueling DQN for Teleoperated Driving,2025,GLOBECOM 2025 - 2025 IEEE Global Communications Conference,0,ieee_xplore_20260426
,ieee_10_1109_icce_taiwan66881_2025_11207968,Generative AI-Powered Traffic and Mobility Solutions for Next-Generation Smart Cities,2025,2025 IEEE International Conference on Consumer Electronics - Taiwan (ICCE-Taiwan),0,ieee_xplore_20260426
,ieee_10_1109_iccist67338_2025_11438705,Dynamic Route Optimization with Predictive Weather conditions,2025,2025 International Conference on Computational Innovations and Sustainable Technologies (ICCIST),0,ieee_xplore_20260426
,ieee_10_1109_icraset63057_2024_10895966,Metro Route Optimization for Urban Public Transportation Using Q-Learning,2024,2024 International Conference on Recent Advances in Science and Engineering Technology (ICRASET),1,ieee_xplore_20260426
,ieee_10_1109_tai_2024_3396415,Ethical Decision-Making for the Inside of Autonomous Buses Moral Dilemmas,2024,IEEE Transactions on Artificial Intelligence,5,ieee_xplore_20260426
,ieee_10_1109_inspire67328_2025_11300643,Dynamic Passenger Routing in Autonomous Ride-Sharing Systems,2025,2025 International Conference on Intelligent Systems and Pioneering Innovations in Robotics and Electric Mobility (INSPIRE),0,ieee_xplore_20260426
,ieee_10_1109_iciss67859_2026_11453627,HyPerRouteNet-MoST: A Dual-Framework System for Urban Travel Demand Prediction and Route Optimization,2026,2026 8th International Conference on Intelligent Sustainable Systems (ICISS),0,ieee_xplore_20260426
,ieee_10_1109_tkde_2025_3591460,Enhancing Global Path Planning via Simple Queries Across Multiple Platforms,2025,IEEE Transactions on Knowledge and Data Engineering,1,ieee_xplore_20260426
,ieee_10_1109_asyu67174_2025_11208423,Q-Learning-Based Energy-Aware Route Planning for Electric Vehicles on Real Road Networks with Charging Constraints,2025,2025 Innovations in Intelligent Systems and Applications Conference (ASYU),0,ieee_xplore_20260426
,ieee_10_1109_access_2025_3556865,Path Planning Based on Combination of Sampling and Learning-From-Demonstration for Static Obstacle Avoidance of Autonomous Vehicles,2025,IEEE Access,1,ieee_xplore_20260426
,ieee_10_1109_ciss64860_2025_10944688,Integrating Real-Time Machine Learning and Dynamic Charging for Electric Vehicle Routing,2025,2025 59th Annual Conference on Information Sciences and Systems (CISS),0,ieee_xplore_20260426
,ieee_10_1109_icscn67106_2025_11308607,Hybrid Bat Firefly Optimization for Real-Time Energy Aware Multi Objective Routing,2025,2025 International Conference on Sustainable Communication Networks and Application (ICSCN),0,ieee_xplore_20260426
,ieee_10_1109_intcec65580_2025_11255957,A Reliable Vehicle Routing Framework for Mobility-on-Demand Applications,2025,2025 Interdisciplinary Conference on Electrics and Computer (INTCEC),0,ieee_xplore_20260426
,ieee_10_1109_icecst66106_2025_11307508,AI-Driven Mobility-As-A-Service Platforms for Sustainable and Efficient Urban Transportation Networks,2025,2025 2nd International Conference on Electronic Circuits and Signaling Technologies (ICECST),0,ieee_xplore_20260426
0,ieee_10_1049_icp_2025_0944,Enhancing urban mobility through AI-powered transportation,2024,8th IET Smart Cities Symposium (SCS 2024),0,ieee_xplore_20260426
