include,paperId,title,year,venue,citationCount,doi,query
,650f3b8a6c48047c9357bfae1b90c3ec1202b598,Origin-Destination Pattern Effects on Large-Scale Mixed Traffic Control via Multi-Agent Reinforcement Learning,2025,2025 IEEE 28th International Conference on Intelligent Transportation Systems (ITSC),5,10.1109/ITSC60802.2025.11423820,reinforcement learning origin destination routing traffic
,b34a8a967dbbdee9e0305dabc77f00b0c0d6bd21,Dynamic Routing via Reinforcement Learning for Network Traffic Optimization,2025,Informatica,2,10.31449/inf.v49i8.7126,reinforcement learning origin destination routing traffic
,b959a346dff2a58f9c9e132cdb14a1207ebcebaa,An improved ant colony algorithm based on Q-Learning for route planning of autonomous vehicle,2024,International Journal of Computers Communications & Control,9,10.15837/ijccc.2024.3.5382,Q-learning route guidance
0,a64eb66036f1d61432f0608157a8fbdb270aeb63,Multi-objective route recommendation method based on Q-learning algorithm,2022,Journal of Intelligent & Fuzzy Systems,1,10.3233/JIFS-222932,Q-learning route guidance
0,2f51b20fdaee5b493f8b963641c15d5ddb67a668,Agent-Based Route Planning with Deep Q Learning,2021,International Conference on Electrical and Electronics Engineering,1,10.23919/ELECO54474.2021.9677711,Q-learning route guidance
,1507a2f0a147b8d9f57c8c2915e5e40330cd3ee3,Improved Q-learning based route planning method for UAVs in unknown environment,2019,2019 IEEE 15th International Conference on Control and Automation (ICCA),7,10.1109/ICCA.2019.8899478,Q-learning route guidance
,7c16a5bd5d766f58e82373b80ab9184e752f786d,Understanding Route Choice Behaviours Using Macro-Level Patterns: A Q-Learning Approach,2022,Social Science Research Network,0,10.2139/ssrn.4262015,Q-learning route choice
0,2318a85b58bc94c865bcba878e271e9680234462,Urban traffic dynamic rerouting framework: A DRL-based model with fog-cloud architecture,2021,arXiv.org,0,,Q-learning dynamic routing vehicle
,0691401f33c3ea553708fba02de1de49b61ce2fa,Combining multi-agent deep deterministic policy gradient and rerouting technique to improve traffic network performance under mixed traffic conditions,2024,International Conference on Advances in System Simulation,2,10.1177/00375497241237831,Q-learning vehicle navigation traffic
,d889435176c57334fa2b9afb0ab0b6f31c2faa81,VEGA: Electric Vehicle Navigation Agent via Physics-Informed Neural Operator and Proximal Policy Optimization,2025,arXiv.org,0,10.48550/arXiv.2509.13386,proximal policy optimization route guidance
,53d0cdec73981d4101c474645d8b08cf08361fd8,Robust Route Planning with Distributional Reinforcement Learning in a Stochastic Road Network Environment,2023,2023 20th International Conference on Ubiquitous Robots (UR),3,10.1109/UR57808.2023.10202222,deep reinforcement learning road network routing
,394241ca94da7c5e383018b1d3995ea342603e31,Deep Reinforcement Learning Framework for Real-Time Personalized Travel Route Recommendation via LSTM-CNN and Multi-Head Attention Fusion,2025,Informatica,0,10.31449/inf.v49i22.10944,deep reinforcement learning travel time route
,cabadd9fe2fd4559c1fe82c5bf32ccde6d210cf4,Multi-Objective Optimization of Route Planning Based on Distributed Breadth Convolutional Neural Network and Markov Decision Processes,2025,2025 International Conference on Intelligent Communication Networks and Computational Techniques (ICICNCT),0,10.1109/ICICNCT66124.2025.11232671,Markov decision process route guidance
,a6f4f1a4aec364d069d7d1fdf1169a6fd8169b84,Applying Markov decision process to adaptive dynamic route selection model,2019,Proceedings of the Institution of Civil Engineers - Transport,0,10.1680/jtran.19.00085,Markov decision process route guidance
,61064accb8fd8bc6c2b92cf9affa81ace2e452af,Preliminary Study on Cooperative Route Planning Reinforcement Learning with a Focus on Avoiding Intersection Congestion,2024,Future Transportation,0,10.3390/futuretransp4040075,connected automated vehicle route guidance reinforcement learning
