idx,title,OD_conditioned,OD_quote,generalization_mechanism,gen_quote,predictive_representation,pred_quote,reward_temporality,rt_quote,reward_alignment,align_quote,compliance_stated,comp_quote,action_feasibility_constraint,actfeas_quote,algorithm_family,source
10,XRouting: Explainable Vehicle Rerouting for Urban Road Congestion Avoidance using Deep Reinforcement Learning,yes,"the Euclidean distance between the start point of each road and that of the destination road, which is denoted by disaim",none,The DRL agent is trained to find the minimum time cost route from the predefined initial road and the destination road,none,"the average speed of each road vavr, the vehicle density of each road dveh, and the average travel time of each road tavr",step-wise,This reward r refers to the time difference between the vehicle stepping into the road Tstart and leaving the road Tend,individual,The training motivation is to make the DRL vehicle choose the next road with the minimum travelling time under the current network circumstance,implicit-100%,we set 50% of the original 150 human vehicles to DRL vehicles,action-masking,"the probability values of the redundant choices will be converted to negative infinity, making them impossible to be chosen by the DRL vehicle",PPO (Gated Transformer policy/value network),full-text
11,RouteRL: Multi-agent reinforcement learning framework for urban route choice with autonomous vehicles,yes,"Generating travel demand data (origin, destination, and departure of each agent) synthetically or importing from user-provided CSV files",none,Providing a fixed random seed to TrafficEnvironment ensures complete experiment reproducibility,none,The observation includes past route choices from earlier timesteps within the same episode,realized,SUMO simulates traffic flow dynamics based on individual route choices and computes agents' travel times,mixed,Altruistic: Minimize delay for everyone; Selfish: Minimize delay for oneself; Social: Minimize delay for oneself and everyone,implicit-100%,each AV every day selects from the finite action space (possible routes) the optimal (in terms of expected reward) route to reach its destination,enforced,"the action space includes discrete route options, created with a dedicated path generator tool JanuX","MARL (IQL, IPPO, VDN, QMIX, MAPPO via TorchRL)",full-text
12,Congestion-Aware Path Planning With Vehicle-Road Cooperation in AIoV,unclear,abstract does not specify whether the state/agent input is conditioned on origin-destination pairs,unclear,abstract gives no detail on any transfer/domain-randomization/meta-RL/graph-inductive mechanism beyond the STGNN prediction module,local-prediction,"Informed by predicted traffic congestion, a path planning method utilizing dueling double deep q-network (D3QN) algorithm is employed to navigate within complex road networks",unclear,abstract does not describe the reward function itself (only that planning is 'informed by predicted traffic congestion'),unclear,abstract does not state whether the objective is individual vehicle travel time or system-wide traffic performance,unclear,abstract contains no statement about driver/vehicle compliance with recommended routes,unclear,"abstract contains no statement on whether action space enforces road-network feasibility (e.g., masking)",D3QN (dueling double deep Q-network) with TCN+STGNN traffic-flow prediction module,abstract-only
13,Reinforcement learning of route choice considering traveler's preference,unclear,abstract does not specify whether agent state includes origin-destination identity,unclear,abstract does not describe a transfer/domain-randomization/meta-RL/graph-inductive mechanism,none,"abstract frames the model around indifference/compulsive preference updating and expected utility, with no mention of a predictive or rollout state component",unclear,abstract does not specify whether reward/utility uses realized or predicted travel outcomes,individual,Travelers always perform some preference during the decision-making process. The preference will affect the decision results and can be improved by continuously learning,unclear,"abstract does not discuss compliance of travelers with any recommended/guided route (this is a route-choice behavior model, not a guidance system)",unclear,abstract does not describe whether the alternative set is constrained to feasible network paths,"Reinforcement learning (non-deep, preference-based route-choice / gain-loss stimulating model)",abstract-only
14,Reinforcement Learning Method with Dynamic Learning Rate for Real-Time Route Guidance Based on SUMO,no,a vehicle tries to find the fastest path from original node 13 to destination node 16,none,"This network totally contains 16 junctions, and a vehicle tries to find the fastest path from original node 13 to destination node 16 ... In the future, this method should be tested under large scale network",none,we measure the mean travelling time of each neighboring road and update the real-time data,realized,tlast is the mean travelling time of the updated road section on the last time step. ttravel is the mean travelling time of the updated road section on the current time step,individual,a vehicle tries to find the fastest path from original node 13 to destination node 16,implicit-100%,"If the vehicle closes to a junction, the corresponding traffic center gives the next direction according to the latest Q-table",enforced,it will detect the mean travelling time of road from i to p and road from i to j,"Q-learning (tabular, dynamic learning rate + traffic-light waiting-time reward term)",full-text
15,Model-Based Deep Reinforcement Learning for Energy Efficient Routing of a Connected and Automated Vehicle,unclear,abstract does not state whether the state representation is conditioned on origin-destination,other,a comparison of the model-based agent with a conventional model-free reinforcement learning agent across varied traffic conditions demonstrates the robustness of the model-based algorithm ... even when the vehicle is subjected to new traffic scenarios,rollout-capable,model-based deep reinforcement learning ... showcases a novel application of the foundational algorithm AlphaGo Zero,unclear,abstract does not describe the reward function or whether it is computed from realized or predicted quantities,individual,the present study applies a model-based deep reinforcement learning approach to address the energy-efficient routing problem in a simulated CAV environment,implicit-100%,The routes recommended by the algorithm are compared to the shortest route calculated by traffic simulation software,unclear,abstract does not describe how action feasibility is enforced,Model-based deep reinforcement learning (AlphaGo-Zero-style),abstract-only
16,Reinforcement Learning-based Sequential Route Recommendation for System-Optimal Traffic Assignment,yes,"S^t_od = {o_od, tt^{p_k}_marginal}|A|_{k=1}, where o_od is a one-hot vector representing the origin and destination of the traveler",context-conditioning,"S^t_od = {o_od, tt^{p_k}_marginal}|A|_{k=1}, where o_od is a one-hot vector representing the origin and destination of the traveler",none,"At each time step t, the agent extracts real-time traffic information st from the road network environment",realized,The marginal travel time tt^p_marginal of a traveler on route p is defined as the sum of travel time of the entering traveler and the additional delay of all travelers experienced on that route p,system,"A central agent sequentially recommends routes to travelers as origin-destination (OD) demands arrive, to minimize total system travel time",implicit-100%,We assume full compliance: all travelers follow the route recommended by the central recommendation agent,action-masking,"The action space defines the feasible route set for an OD pair. An agent selects an route from the action set A = {p1, . . . , pk, . . . , p|A|}","DQN (double dueling deep Q-learning, MSA-guided)",full-text
17,Joint Optimization of Traffic Signal Control and Vehicle Routing in Signalized Road Networks using Multi-Agent Deep Reinforcement Learning,unclear,abstract does not state whether the routing agents' state/policy is conditioned on origin-destination identity,unclear,abstract does not describe any transfer/domain-randomization/meta-RL/graph-inductive mechanism,none,"By establishing relevance between agents and enabling them to share observations and rewards, interaction and cooperation among agents are fostered",unclear,abstract does not specify whether the reward is based on realized or predicted traffic quantities,system,The objective is to enhance network performance by simultaneously controlling signal timings and route choices using Multi-Agent Deep Reinforcement Learning (MADRL),unclear,abstract contains no statement on vehicle/driver compliance with routing agent decisions,unclear,abstract does not describe how route-agent action feasibility is enforced,"MARL (Multi-Agent Advantage Actor-Critic, joint signal-control + routing agents)",abstract-only
18,Dynamic Route Guidance System Based on Real-time Vehicle-Road Collaborations with Deep Reinforcement Learning,no,"the collected state information for the road at learning step t is as follows: St = [Nvl, Vavg/Vmax, D]",other,"this paper proposes to train a road agent using experiences collected from all roads, thus achieving a generalizable approach",local-prediction,"RW calculation is closely related to RA's action, enabling more adaptive prediction of road conditions for the next interval",realized,rst = Nst+1 − Nst is designed to provide instantaneous rewards to the agent based on the number of departing vehicles in the current state,system,We optimize for the global average travel time (ATT) instead of the optimal traffic conditions for any specific road,implicit-100%,we select the vehicles on these road segments to update their routes and ease the congestion,enforced,"For each rerouted vehicle, the k shortest paths are calculated using road weights","DQN (Decisive Weight Road Agent, per-road agent architecture)",full-text
19,Deep Reinforcement Learning for Vehicle Swarm Navigation and Urban Traffic Optimization,unclear,abstract does not specify whether the navigation model's state/policy is conditioned on origin-destination identity,graph-inductive,The model employs a graph neural network to effectively capture dynamic traffic flow patterns,unclear,abstract states the GNN captures dynamic traffic flow patterns but does not clarify whether this constitutes a forward/predictive rollout versus a current-state representation,unclear,abstract does not describe the reward function or whether it is realized or predicted,system,"Rather than creating smart vehicles, we propose a navigation model to guide all vehicles ... reduces average travel time by up to 7.54% and the number of halting vehicles by up to 14.35% compared to traditional methods",implicit-100%,"Rather than creating smart vehicles, we propose a navigation model to guide all vehicles",unclear,abstract does not describe how action feasibility is enforced,GNN-based deep reinforcement learning (specific algorithm family not stated in abstract),abstract-only
20,Population Game-Assisted Multi-Agent Reinforcement Learning Method for Dynamic Multi-Vehicle Route Selection,unclear,abstract does not specify whether agent state is conditioned on origin-destination identity,unclear,abstract does not describe a transfer/domain-randomization/meta-RL/graph-inductive mechanism beyond the population-game structure,none,multi-vehicle route optimization based on traffic flow information and historical data,unclear,abstract does not specify whether the reward driving PLA-RS is computed from realized or predicted quantities,mixed,utilizes a population game between vehicles at each intersection to solve the Nash equilibrium ... experimental results demonstrate that PSRRSM outperforms several comparative algorithms in terms of network throughput and average travel cost,unclear,abstract does not state whether vehicles are assumed to fully comply with recommended routes,unclear,abstract does not describe how action feasibility is enforced,MARL (multi-agent deep deterministic policy gradient; Period Learning Algorithm for Route Selection),abstract-only
21,Modeling of route planning system based on Q value-based dynamic programming with multi-agent reinforcement learning algorithms,unclear,no abstract available and PDF is password-protected; only the title could be read: 'Modeling of route planning system based on Q value-based dynamic programming with multi-agent reinforcement learning algorithms',unclear,no abstract available and PDF is password-protected; only the title could be read,unclear,no abstract available and PDF is password-protected; only the title could be read,unclear,no abstract available and PDF is password-protected; only the title could be read,unclear,no abstract available and PDF is password-protected; only the title could be read,unclear,no abstract available and PDF is password-protected; only the title could be read,unclear,no abstract available and PDF is password-protected; only the title could be read,"Q value-based dynamic programming / multi-agent reinforcement learning (title only, unverified)",abstract-only
22,Individual versus Difference Rewards on Reinforcement Learning for Route Choice,no,An agent's state is the node at which it is located,none,"the agents (vehicles/drivers) are implemented as independent learners, which ignore the existence of other agents",none,"R = −tj (vj), where tj is the travel time function ... applied to the number of vehicles vj on link j",realized,This reward function is used by the IQ-learning ... tj is the travel time function given in Eq. 1 applied to the number of vehicles vj on link j,mixed,"The IQ-learning uses an individual reward function, which aims at finding a policy that maximizes the agents' utility. On the other hand, DQ-learning algorithm shapes the agents' reward based on difference rewards function, and aims at finding a route that maximizes the system's utility",implicit-100%,"the agents (vehicles/drivers) are implemented as independent learners, which ignore the existence of other agents",enforced,The set of the actions are the outbound links from the nodes of the network,"Q-learning (tabular, independent learners; IQ-learning / DQ-learning reward variants)",full-text
23,Route guidance system using multi-agent reinforcement learning,yes,"According to the trip origin (s) node and destination (d) node, this issue can be solved as the optimization problem based on real transportation network",none,This paper proposed a new algorithm based on MARL model for finding shortest and best path in the URN to conduct the vehicles to their destination,unclear,travel cost and edges distance is assumed to be random variable,unclear,"rt = {+1 ... the positive states to continue, -1 ... the negative states to continue}",individual,"A positive reward is given for an action that results in a goal, while small negative rewards are given when the episode ends unsuccessfully",implicit-100%,the next route connected to node will be selected as the prime priority,enforced,some connected routes are removed automatically in the new optimal route computation,MARL (agent-based shortest-path / dynamic-programming with goal-directed reward signaling),full-text
24,Network-aware multi-agent reinforcement learning for the vehicle navigation problem,yes,it submits a routing query to the RL agent consisting of its final destination,context-conditioning,the concatenation of [sq] and s'_i is passed to the Q-network of agent ui,none,State of intersection i at time t consists of the traffic congestion condition in its outgoing roads,step-wise,r(a(s^tau_q)) = -DeltaT ... Delta T = (q'-t) - (q-t),individual,"Reward, r(a(s^tau_q))...Assume that q' is the tau+1 query in path of vehicle q-vc: DeltaT = (q'-t)-(q-t)",implicit-100%,"The vehicle follows the instructions of the routing response, including the next intersection",action-masking,Action of agent ui for s^tau_q...Selecting one of the outgoing road-segments of the intersection i = q-rc-tail,"MARL (DQN-based, Q-learning per intersection agent)",full-text
25,Navigating the non-compliance effects on system optimal route guidance using reinforcement learning,unclear,"each state s in S consists of two parts: the node encoded as a one-dimensional vector, and the global state includes the travel time and density of all links, waiting vehicles at each node, total vehicle count, and time",other,"It inherently possesses the flexibility to accommodate fluctuating demand attributed from its function approximation capabilities, allowing it to generalize to unseen conditions",none,"the global state Xt can be thought of as the network information that is collected, exchanged, and provided through the ATIS",step-wise,"R(s,a) = -TT_Phi(a), where TT_Phi(a) is the travel time on the link associated with action a",mixed,a scenario where each user possesses the capacity to dynamically consider both the system's suggested route guidance and their individual decision-making simultaneously,explicit,we employ a modulating hyperparameter to investigate the impact of varying degrees of non-compliance on the overall system,action-masking,"the Q-values of all the outbound links are masked using a mask vector...A value of 1 in the mask vector signifies that the corresponding outbound link is accessible from the node n, while a value of -infinity inaccessibility",DQN (centralized Q-network) + MARL via NFSP (individual policy network),full-text
26,Reinforcement learning-based route planning method for connected vehicles considering real-time road traffic information,unclear,,unclear,,local-prediction,predictive travel coefficient is proposed to mitigate congestion drift-induced oscillation phenomenon in road networks and enhance overall travel efficiency,unclear,,unclear,,unclear,,unclear,,Q-learning (IBPR-QL),abstract-only
27,Optimization Method of DRL-based Route Planning under Limited Resources,yes,Pd denotes the position of the destination,other,"the attention can improve the decision-making ability and efficiency of the policy network, make it better adapted to different complex environments and tasks",local-prediction,our reward mechanism is designed as the estimated remaining time for the vehicle to reach the action's end point,predicted,"Rs = {-(Dremain/V) on the way, 0 reach the end}, where V is the current vehicle speed",individual,The optimization goal of route planning algorithm is to minimize the vehicle's total travel time,implicit-100%,the vehicle can choose the next action s' with the highest Q-value,enforced,we use S+A as input information into the policy network and get the Q-value to each action separately...the optional action space of vehicle agents is dynamic at each junction,"Double-DQN (improved, with Attention Mechanism policy network)",full-text
28,Vehicle-Road Collaborative Path Planning Based on A*-assisted Deep Reinforcement Learning,yes,"Pd: The absolute position of the destination in cartesian coordinates (Xd, Yd)",other,These ideas aim at improving the convergence speed and enhancing generalization performance of the model,local-prediction,"D: The distance from the end of the road to the destination, obtained by the A* algorithm",predicted,the environment feedbacks expected travel time of the action as an immediate reward: rs = -(Lst+1/Vat+1) on the way,individual,"the global path planning is a time optimization problem, so we choose the optimization objective to design the reward mechanism",implicit-100%,"In each training step, the agent stores the current state s, action a, the reward obtained from the environment r and the next state s' (an experience)",enforced,"When the agent chooses an action, it uses the A* algorithm to determine whether the current action can reach the end point. If not, exclude the action","DQN (Nature-DQN, A*-assisted)",full-text
29,A Deep Reinforcement Learning Approach for Route Planning of Autonomous Vehicles*,no,"s(t) = [x(t), phi_v(t), e(t)]...each with a randomly selected pair ci = (es, ef)",none,"Naturally, if the city of study changes a new agent training is needed to take in account different characteristic as traffic patterns and road network",none,"we define the distance d(t) between the current edge at time t, and the destination edge ef",step-wise,"rshortest(t) = {1 if d(t) < d(t-1), -0.5 otherwise}",individual,"an RL agent is associated with the AV that chooses the best action to obtain the minimum distance, with the minimum number of right/left turns and the maximum number of priority edges",implicit-100%,the AV will select the route that exhibits the best multi-objective strategy enlightened by the best value of the reward,unclear,"When an AV arrives to a node j in J at time t, it can change the edge and can decide among three possible actions: A = {Gostraight, Turnright, Turnleft}","PPO (PPO-Clip, actor-critic, via RLLib)",full-text
30,Dynamic urban traffic rerouting with fog-cloud reinforcement learning,no,"State st = Xt, At (feature and adjacency)...Features considered within a fog node area incorporate two elements: the average speed and the degree of congestion",other,"This adaptable framework is well-suited for various urban transportation networks in terms of size and complexity, capable of creating customized rerouting models by inputting network data and fog node configurations",local-prediction,"an attention mechanism selects vital information and predicts congestion levels, proactively guiding the rerouting framework toward optimal routes for congestion relief",step-wise,"The reward calculation was derived from the collective average speed of the RVs within specific regions, with a focus on the regional level rather than the individual link level",system,"The reward calculation was derived from the collective average speed of the RVs within specific regions, with a focus on the regional level rather than the individual link level",partial-modeled,"The first class, termed rerouting vehicles (RVs), can receive information through connectivity and follow instructions accordingly. The second class, termed background vehicles (BVs), does not have access to this information and cannot be rerouted",unclear,"each fog node receives five action choices known as region indices, representing different potential congestion levels within their respective areas",GAQ: Graph Attention Q-Network (DQN-based),full-text
31,A Deep Reinforcement Learning Framework for Real-Time Vehicle Routing with Dynamic Traffic Conditions,no,"s(t) = {e(t), tslot(t), tnorm(t)}",other,Post-training evaluations were conducted using unseen traffic data sampled from historical TomTom patterns...ensuring that the agent's generalization capability was tested under realistic but new conditions,local-prediction,"The agent observes the current traffic slot and normalized time, allowing it to adapt its routing policy to temporal variations in traffic...exhibiting anticipatory behavior regarding future congestion along the route",step-wise,"rtraffic(t) = -delta*vehicle_count if vehicle_count >= theta, otherwise 0; rshortest(t) based on d(t) <= d(t-1)",individual,The agent aims to find the shortest route toward the destination while avoiding congested roads,implicit-100%,"the transition from state s(t) to next state s' = s(t+1) depends on the action a(t), which determines the next edge e(t+1)",not-enforced,"rinvalid(t) = -mu, if e(t) not in [outEdgesList]",PPO (Actor-Critic),full-text
32,Adaptive Reinforcement Learning Framework for Environmentally Sustainable Route Optimization,no,"St = [vt, rho_t, rt, wt, et]",unclear,,none,Rt = alpha*DeltaEt + beta*Ft - gamma*Tt,step-wise,Rt = alpha . DeltaEt + beta . Ft - gamma . Tt,individual,The reward function incentivizes actions that reduce environmental impact while maintaining efficiency,implicit-100%,,unclear,"Selecting between alternative routes A = {a1, a2, ..., an}; Adjusting speed; Dynamic rerouting based on changing conditions",PPO,full-text
33,Deep Q-Learning-based Route Optimization for Traffic Network,unclear,"The agent receives state input from SUMO such as vehicle speed, delay and responds by rerouting vehicles to minimize travel time",other,"The proportional relationships between fuel consumption, emissions, and cost also validate the agent's ability to generalize efficient routing behaviors across multiple objectives",none,,step-wise,"After rerouting a vehicle, the agent receives a reward and updates its policy through Q-Learning...The reward function is designed to penalize delays and promote actions that reduce travel time and congestion",mixed,The reward function is designed to penalize delays and promote actions that reduce travel time and congestion,implicit-100%,,unclear,,DQN (Deep Q-Learning),full-text
34,Urban Multiple Route Planning Model Using Dynamic Programming in Reinforcement Learning,no,"Every node (intersection) in this route environment is a state s...we adopt the idea of reward shaping, which requires the system to reward the agent when its decisions make progress towards the final goal",none,"Based on the known environment, namely, the known or predictable state transition matrix among states, a model-based RL problem is transformed into a DP problem",local-prediction,"the distance between the current state and the destination and the distance between the next possible state and the destination, TCI, road length, and other factors are taken into account",step-wise,"at each learning step, the agent obtains a reward or penalty, which accelerates the learning process",individual,The reward function decides the instant feedback to every chosen action and serves to guide the agent to the destination,implicit-100%,"it is always 100% under the route planning context, since when a driving direction is selected, the vehicle will be led to the specific intersection, not others",enforced,"In every state, the vehicle has several (normally no more than 6) driving directions, namely, action a, to choose from. Each direction can lead the vehicle to another state","model-based RL / Dynamic Programming (policy iteration, not deep neural network)",full-text
35,GAQ-EBkSP: A DRL-based Urban Traffic Dynamic Rerouting Framework using Fog-Cloud Architecture,no,"state space includes two parts: node feature at each time step t: Xt; and adjacency matrix at each time step t: At...Both vehicles can be detected by fog nodes and share the same destination, but their origins are various",none,,local-prediction,the vehicles have no 'future planning' and cannot choose superior routes jointly. This is the main reason why the proposed model achieves a higher reward,step-wise,we have speed increase reward and speed decrease penalty with threshold of 5 m/s (11 mph),system,"In the reward function, we consider both reward and penalty based on average vehicle speed in the network. The purpose of the proposed dynamic rerouting framework is to maintain and enhance the RVs' efficiency",partial-modeled,Rerouting Vehicles (RV) which are rerouted by implementing the connectivity technology...Background Vehicles (BV) which are not rerouted but are incorporated to add randomness and dynamics in the network,unclear,"each fog node has a discrete action space representing the potential road index of the area: ai = {0, 1, 2, 3, 4}",GAQ: Graph Attention Q-Network (DQN-based),full-text
36,Providing real-time en-route suggestions to CAVs for congestion mitigation: A two-way deep reinforcement learning approach,unclear,N/A (abstract does not describe state representation),unclear,N/A (abstract does not describe generalization mechanism),unclear,N/A (abstract does not describe state/prediction representation),unclear,N/A (abstract does not describe reward structure),mixed,"CAVs conduct real-time learning to minimize their individual travel time, while the information provider offers real-time route suggestions aiming to minimize the system's total travel time",unclear,N/A (abstract does not describe compliance modeling),unclear,N/A (abstract does not describe action space constraints),"custom two-way DRL: Markov game for CAV agents + single-agent MDP for information provider, with Correlated Equilibrium formulation",abstract-only (PDF password-protected)
37,Real-time system optimal traffic routing under uncertainties - Can physics models boost reinforcement learning?,unclear,N/A (abstract does not describe state representation),unclear,N/A (abstract does not describe generalization mechanism),unclear,N/A (abstract does not describe state/prediction representation),unclear,N/A (abstract does not describe reward structure beyond cumulative rewards and KL term),system,System optimal traffic routing can mitigate congestion by assigning routes for a portion of vehicles so that the total travel time of all vehicles in the transportation system can be reduced,implicit-100%,assigning routes for a portion of vehicles so that the total travel time of all vehicles in the transportation system can be reduced,unclear,N/A (abstract does not describe action space constraints),"TransRL: physics-model-guided actor-critic RL distilled from a deterministic teacher policy, benchmarked against PPO and SAC",abstract-only (PDF password-protected)
38,Network-Constrained Policy Optimization for Adaptive Multi-agent Vehicle Routing,unclear,N/A (abstract does not state whether intersection-agent state encodes vehicle destination),graph-inductive,neighborhood state modeled using Graph Attention Networks (GAT),local-prediction,Hub agents use flow-aware state features that combine local congestion and predictive dynamics for proactive routing,unclear,N/A (abstract does not describe reward function),system,"HHAN adopts centralized training with decentralized execution (CTDE) under the Attentive Q-Mixing (A-QMIX) framework, which aggregates asynchronous vehicle decisions via attention",unclear,N/A (abstract does not describe compliance modeling),unclear,N/A (abstract does not describe action-masking or feasibility enforcement),"Hierarchical MARL: decentralized intersection agents (Adaptive Navigation) with GAT, extended by Hierarchical Hub-based Adaptive Navigation using CTDE/Attentive Q-Mixing (A-QMIX)",abstract-only (PDF password-protected)
