idx,title,decision,rationale
624,Multiagent Virtual Community Drill Approach Based on Asynchronous Advantage Actor-Critic Paradigm,unresolved,"Rescue path planning matches the corpus's emergency-routing pattern, but the environment is described as a small simulated 'virtual community' rather than a road network at the scale used elsewhere in the corpus; scale and structure cannot be confirmed from the abstract alone."
632,Comparative Analysis of Reinforcement Learning for Reliable Real-Time EV Routing and Charging,exclude,"Models EV routing and charging jointly (battery levels, charging-station availability), the excluded EV-charging-scheduling category."
636,A distributed control architecture for sustainable routing decisions of autonomous vehicle platoons subject to cyber attacks,exclude,"Primary contribution is decentralized MPC platoon control and cybersecurity/anomaly detection; routing decisions are an upstream input translated into controller set-points, not the paper's own sequential routing policy."
666,Reinforcement Learning-based Unpredictable Emergency Events,include_pending_fulltext,"Single-vehicle Q-learning routing to minimize dispatch-to-arrival time for emergency response; matches the corpus's existing emergency-vehicle routing pattern."
696,AI-Driven Intelligent Vehicle Behavior Decision in Software Defined Internet of Vehicle,exclude,"POMDP-based behavior decision for collision-risk anticipation and avoidance; a driving-behavior/collision-avoidance decision problem, not route/path-level OD choice."
713,Real-Time Emergency Vehicle Detection and Response in AVS,exclude,"Describes ordinary autonomous vehicles yielding or rerouting reactively in response to detecting an emergency vehicle; not the emergency vehicle's own route-guidance system."
743,Robust Navigation under Incomplete Localization Using Reinforcement Learning,include_pending_fulltext,"Single-agent DQN-based sequential navigation toward a destination under localization uncertainty; matches corpus scope (goal-directed navigation)."
766,Research on Intelligent Driving System of Electric Vehicle Path Planning Based on Computer Deep Reinforcement Learning,exclude,"Describes a low-level vehicle hardware-control system (steering, braking, PLC controller) with path planning as one subordinate component."
768,Path Planning Method for Autonomous Driving Vehicles Based on Deep Convolutional Neural Network,unresolved,"Compares against A*/Dijkstra graph-search algorithms, suggesting network-level path-finding, but the CARLA-based evaluation setting makes it genuinely ambiguous whether this is trajectory-level or road-network-level planning without the full text."
780,Energy Optimal Route Planning Framework for Electric Vehicles Using Hybrid Artificial Intelligence Models,include_pending_fulltext,"Titled and framed as a route-planning framework with charging as one of several constraints rather than the primary objective; matches the corpus's existing energy-aware EV routing pattern."
801,A Risk-aware Multi-objective Patrolling Route Optimization Method using Reinforcement Learning,exclude,"Police patrol-route planning has no specified destination; a patrol/search problem, not OD route guidance."
805,Addressing Reward Hacking in Autonomous Navigation using a Soft Actor Critic approach,unresolved,"Single-vehicle SAC-based urban navigation matches corpus scope in principle, but the paper's contribution is a reward-hacking robustness study in a custom simplified gym environment whose road-network structure cannot be confirmed from the abstract."
826,Path planning and decision optimization of automated driving based on reinforcement learning,exclude,"Abstract reads as a tutorial-style overview ('background... introduced', 'theoretical basis... discussed') rather than describing an original system."
827,A Reinforcement Approach for Fleet Optimization in Multi-Agent Autonomous Cars,exclude,"Self-driving taxi fleet handling passenger requests and fleet management, a VRP-like fleet-dispatch problem rather than a single vehicle's OD trip."
835,An AI-Driven Dynamic Route Rationalisation Model for Publicbus Systems,exclude,"Public bus route rationalization is a fixed multi-stop transit-route design problem at the service-network level, not an individual vehicle's sequential OD decision."
853,GRAND: Graph Laplacian-based Reinforcement Learning for Autonomous Navigation Decisions,include_pending_fulltext,"Single ego-vehicle sequential decision-making at unexpected turns among multiple path options in a road layout; matches corpus scope."
915,A Set-Theoretic Receding Horizon Control Based on a Q-Learning Approach for Sustainability Purposes,exclude,"Primary contribution is a receding-horizon MPC controller for vehicle platoons; routing decisions are translated into controller set-points as an input, not the paper's own routing policy."
930,Target-Driven Mapless Navigation for Self-Driving Car,include_pending_fulltext,"Single-vehicle PPO-based sequential target-driven navigation toward a destination without a map; matches corpus scope (goal-directed navigation)."
951,Intelligent Logistics Optimization for Carbon Emission Reduction in Cement Industry: A Sensor-Driven Dynamic Order Matching Approach,exclude,"Freight logistics order-matching and path optimization for a cement-industry vehicle fleet, a VRP-like fleet-dispatch problem."
958,Optimization Algorithm of Logistics Distribution Path Based on Deep Learning,exclude,"Logistics distribution route optimization, a VRP-like fleet-dispatch problem, tested in an abstract maze environment rather than a road network."
967,Self-Driving Car Simulation Using Reinforcement Learning for Driving on Roads with Potholes,exclude,"Focus is speed adjustment and pothole avoidance, a low-level driving-control problem, not route/path-level OD choice."
972,Improving multi-goal and target-driven reinforcement learning with supervised auxiliary task,exclude,"A general representation-learning RL methods paper using urban visual navigation as one test domain; does not describe a road-network OD routing system as its contribution."
1035,Navigating a road network using Reinforcement Learning,exclude,"Application domain is stated explicitly as game development and film content generation, not a real-world intelligent-transportation-systems routing application."
1062,Deep Learning Method for Fault Location and Quick Repair of Broken Strands and Wires in Distribution Network,exclude,"Primary domain is power-grid fault detection and repair; emergency-repair-vehicle path planning is a minor secondary application."
1130,Behavior modeling and algorithm verification of intelligent vehicle generated by high-fidelity virtual test scenario,exclude,"Primary contribution is a simulation/scenario-generation and closed-loop verification framework for autonomous-driving testing; global path planning is one layer among several in a testing pipeline, not the paper's routing contribution."
1142,Research on multi-source information fusion perception and path optimization algorithm of new energy vehicle-intelligent connected vehicle,unresolved,"Combines sensor-fusion perception with A*-plus-DRL path optimization; primary contribution appears to be perception rather than the routing decision itself, but this cannot be confirmed with confidence from the abstract alone."
1154,Spatiotemporal parking prediction and route optimization,unresolved,"Objective is reaching a suitable parking spot under availability uncertainty, a related but distinct goal-search problem from routing to a specified OD destination; whether this is close enough to in-scope OD routing is genuinely ambiguous from the abstract alone."
