idx,title,OD_conditioned,OD_quote,generalization_mechanism,gen_quote,predictive_representation,pred_quote,reward_temporality,rt_quote,reward_alignment,align_quote,compliance_stated,comp_quote,action_feasibility_constraint,actfeas_quote,algorithm_family,source,boundary_condition,boundary_quote,trip_completion_reported,tc_quote,code_release,code_quote,access_note,algorithm_family_coarse
10,XRouting: Explainable Vehicle Rerouting for Urban Road Congestion Avoidance using Deep Reinforcement Learning,yes,"the Euclidean distance between the start point of each road and that of the destination road, which is denoted by disaim",none,The DRL agent is trained to find the minimum time cost route from the predefined initial road and the destination road,none,"the average speed of each road vavr, the vehicle density of each road dveh, and the average travel time of each road tavr",step-wise,This reward r refers to the time difference between the vehicle stepping into the road Tstart and leaving the road Tend,individual,The training motivation is to make the DRL vehicle choose the next road with the minimum travelling time under the current network circumstance,implicit-100%,we set 50% of the original 150 human vehicles to DRL vehicles,action-masking,"the probability values of the redundant choices will be converted to negative infinity, making them impossible to be chosen by the DRL vehicle",PPO (Gated Transformer policy/value network),full-text,not-addressed,,not-reported,,released,we have shared our implementation of XRouting at1for others to replicate,full-text,Policy-gradient-AC
11,RouteRL: Multi-agent reinforcement learning framework for urban route choice with autonomous vehicles,yes,each AV every day selects from the finite action space (possible routes) the optimal (in terms of expected reward) route to reach its destination under the current state observation,none,,none,,realized,"each agent makes a route choice, and the episode ends upon their arrivals at their destinations",mixed,Social Minimize delay for oneself and everyone,implicit-100%,,enforced,"the action space includes discrete route options, created with a dedicated path generator tool JanuX","MARL (IQL, IPPO, VDN, QMIX, MAPPO via TorchRL)",full-text,not-addressed,,not-reported,,released,Permanent link to code/repository used for this code version https://github.com/COeXISTENCE-PROJECT/RouteRL/tree/v1.0.0,"full-text (re-coded, all 10 fields)",MARL
12,Congestion-Aware Path Planning With Vehicle-Road Cooperation in AIoV,yes,The variable d signifies the destination of the ongoing journey.,context-conditioning,The variable d signifies the destination of the ongoing journey.,local-prediction,Cg(i) denotes the congestion level of the road linked to ei,predicted,Re = ζ ∗ Ds(i) + τ ∗ Cg(i) + χ,individual,Re = ζ ∗ Ds(i) + τ ∗ Cg(i) + χ,implicit-100%,,enforced,the agent's actions align with the count of roads linked to the current road segment,D3QN (dueling double deep Q-network) with TCN+STGNN traffic-flow prediction module,abstract-only,not-addressed,,not-reported,,not-stated,,"full-text (re-coded, all 10 fields)",DQN-family
13,Reinforcement learning of route choice considering traveler's preference,unclear,abstract does not specify whether agent state includes origin-destination identity,unclear,abstract does not describe a transfer/domain-randomization/meta-RL/graph-inductive mechanism,none,"abstract frames the model around indifference/compulsive preference updating and expected utility, with no mention of a predictive or rollout state component",unclear,abstract does not specify whether reward/utility uses realized or predicted travel outcomes,individual,Travelers always perform some preference during the decision-making process. The preference will affect the decision results and can be improved by continuously learning,unclear,"abstract does not discuss compliance of travelers with any recommended/guided route (this is a route-choice behavior model, not a guidance system)",unclear,abstract does not describe whether the alternative set is constrained to feasible network paths,"Reinforcement learning (non-deep, preference-based route-choice / gain-loss stimulating model)",abstract-only,unclear,,unclear,,unclear,,abstract-only,Tabular-Q-Sarsa
14,Reinforcement Learning Method with Dynamic Learning Rate for Real-Time Route Guidance Based on SUMO,no,a vehicle tries to find the fastest path from original node 13 to destination node 16,none,"This network totally contains 16 junctions, and a vehicle tries to find the fastest path from original node 13 to destination node 16 ... In the future, this method should be tested under large scale network",none,we measure the mean travelling time of each neighboring road and update the real-time data,realized,tlast is the mean travelling time of the updated road section on the last time step. ttravel is the mean travelling time of the updated road section on the current time step,individual,a vehicle tries to find the fastest path from original node 13 to destination node 16,implicit-100%,"If the vehicle closes to a junction, the corresponding traffic center gives the next direction according to the latest Q-table",enforced,it will detect the mean travelling time of road from i to p and road from i to j,"Q-learning (tabular, dynamic learning rate + traffic-light waiting-time reward term)",full-text,not-addressed,,not-reported,,not-stated,,full-text,Tabular-Q-Sarsa
15,Model-Based Deep Reinforcement Learning for Energy Efficient Routing of a Connected and Automated Vehicle,no,,none,,none,,realized,"A reward r ∈ {−1, 1} is returned after reaching a terminal node...The reward is determined by calculating the fuel efficiency of the ego vehicle for the full simulation and comparing the result to a reference fuel efficiency.",individual,The reward is determined by calculating the fuel efficiency of the ego vehicle for the full simulation and comparing the result to a reference fuel efficiency.,implicit-100%,,enforced,"the DRL algorithm selects one of these waypoints, thereby making the action space discrete and mitigating the issue of low sampling efficiency",Model-based deep reinforcement learning (AlphaGo-Zero-style),abstract-only,not-addressed,,not-reported,,not-stated,,"full-text (re-coded, all 10 fields)",Model-based-Hybrid
16,Reinforcement Learning-based Sequential Route Recommendation for System-Optimal Traffic Assignment,yes,"S^t_od = {o_od, tt^{p_k}_marginal}|A|_{k=1}, where o_od is a one-hot vector representing the origin and destination of the traveler",context-conditioning,"S^t_od = {o_od, tt^{p_k}_marginal}|A|_{k=1}, where o_od is a one-hot vector representing the origin and destination of the traveler",none,"At each time step t, the agent extracts real-time traffic information st from the road network environment",realized,The marginal travel time tt^p_marginal of a traveler on route p is defined as the sum of travel time of the entering traveler and the additional delay of all travelers experienced on that route p,system,"A central agent sequentially recommends routes to travelers as origin-destination (OD) demands arrive, to minimize total system travel time",implicit-100%,We assume full compliance: all travelers follow the route recommended by the central recommendation agent,action-masking,"The action space defines the feasible route set for an OD pair. An agent selects an route from the action set A = {p1, . . . , pk, . . . , p|A|}","DQN (double dueling deep Q-learning, MSA-guided)",full-text,not-addressed,,not-reported,,not-stated,,full-text,DQN-family
17,Joint Optimization of Traffic Signal Control and Vehicle Routing in Signalized Road Networks using Multi-Agent Deep Reinforcement Learning,unclear,abstract does not state whether the routing agents' state/policy is conditioned on origin-destination identity,unclear,abstract does not describe any transfer/domain-randomization/meta-RL/graph-inductive mechanism,none,"By establishing relevance between agents and enabling them to share observations and rewards, interaction and cooperation among agents are fostered",unclear,abstract does not specify whether the reward is based on realized or predicted traffic quantities,system,The objective is to enhance network performance by simultaneously controlling signal timings and route choices using Multi-Agent Deep Reinforcement Learning (MADRL),unclear,abstract contains no statement on vehicle/driver compliance with routing agent decisions,unclear,abstract does not describe how route-agent action feasibility is enforced,"MARL (Multi-Agent Advantage Actor-Critic, joint signal-control + routing agents)",abstract-only,unclear,,unclear,,unclear,,abstract-only,MARL
18,Dynamic Route Guidance System Based on Real-time Vehicle-Road Collaborations with Deep Reinforcement Learning,no,"the collected state information for the road at learning step t is as follows: St = [Nvl, Vavg/Vmax, D]",other,"this paper proposes to train a road agent using experiences collected from all roads, thus achieving a generalizable approach",none,,step-wise,The function rst = Nst+1 - Nst is designed to provide instantaneous rewards to the agent based on the number of departing vehicles in the current state,system,We optimize for the global average travel time (ATT) instead of the optimal traffic conditions for any specific road,implicit-100%,we select the vehicles on these road segments to update their routes and ease the congestion,unclear,,"DQN (Decisive Weight Road Agent, per-road agent architecture)",full-text,not-addressed,,not-reported,,not-stated,,full-text,DQN-family
19,Deep Reinforcement Learning for Vehicle Swarm Navigation and Urban Traffic Optimization,yes,the agent takes the current observation as the input and outputs action values for different paths associated with each OD pair,graph-inductive,a graph neural network is employed as the core architecture for capturing the state of the road network,rollout-capable,"This assignment is performed considering that congestion on certain road sections may dissipate during the vehicle's trip, enabling the agent to determine the expected future cost through the assigned traffic volume",realized,Calculate the reward rt if the vehicle exits,individual,The reward represents the actual revenue generated by the vehicle by traveling on a specific path.,implicit-100%,,enforced,"the feasible path set is adopted in the path selection process. That is, only paths within a certain travel distance range are included in the set of selectable paths.",GNN-based deep reinforcement learning (specific algorithm family not stated in abstract),abstract-only,boundary-open-addressed,"In the simplified road network, Xi, i = 1, 2, 3, 4, serves both as an entrance and an exit point",not-reported,,not-stated,,"full-text (re-coded, all 10 fields)",Unspecified
20,Population Game-Assisted Multi-Agent Reinforcement Learning Method for Dynamic Multi-Vehicle Route Selection,no,"The observation of agent RAh i is the vector (n(l1), n(l2), . . . , n(lm))T consisting of the number of vehicles of all neighbouring edges",none,,none,"The observation of agent RAh i is the vector (n(l1), n(l2), . . . , n(lm))T consisting of the number of vehicles of all neighbouring edges",predicted,"Note that only the distance cost above is a constant and accurate value, while the formulas for time, fuel, and pollution costs are estimates of future costs.",system,"The reward of agent RAh i at time step lt is defined as the opposite of the sum of travel costs of the vehicles included in the corresponding edge lh i , i.e., rewardh,i lt = -Sum_{v in V(lh i)} c(route(a(v))).",implicit-100%,Each vehicle executes the pure strategy corresponding to the mixed strategy held by itself at the end of the algorithm.,enforced,the vehicle selects one of the off edges of the intersection as its next route... where li j' is an arbitrary off edge of the intersection si.,MARL (multi-agent deep deterministic policy gradient; Period Learning Algorithm for Route Selection),abstract-only,boundary-open-addressed,except for the edges at the rim of the road network that do not need to participate in the decision-making.,reported,Throughput is the number of vehicles completing its trip.,not-stated,,"full-text (re-coded, all 10 fields)",MARL
21,Modeling of route planning system based on Q value-based dynamic programming with multi-agent reinforcement learning algorithms,yes,P(n) d (i; j): the probability that the vehicle bound for destination d moves to node j at node i in the nth iteration,context-conditioning,d in D: set of suffixes of destinations,none,,step-wise,"Each time, S the agent is in a state of st, it takes an action at, and it observes the reward R(st; at). Afterwards it moves to the next state, St+1.",individual,4. Reward | Real travel time,implicit-100%,The study assumed that the vehicles were equipped with the necessary technology to communicate with the agents. The routing preferences of the drivers were not taken into consideration.,enforced,"A(i): set of suffixes of nodes moving directly from i,","Q value-based dynamic programming / multi-agent reinforcement learning (title only, unverified)",abstract-only,not-addressed,,not-reported,,not-stated,,"full-text (re-coded, all 10 fields)",MARL
22,Individual versus Difference Rewards on Reinforcement Learning for Route Choice,no,An agent's state is the node at which it is located,none,"the agents (vehicles/drivers) are implemented as independent learners, which ignore the existence of other agents",none,"R = −tj (vj), where tj is the travel time function ... applied to the number of vehicles vj on link j",realized,This reward function is used by the IQ-learning ... tj is the travel time function given in Eq. 1 applied to the number of vehicles vj on link j,mixed,"The IQ-learning uses an individual reward function, which aims at finding a policy that maximizes the agents' utility. On the other hand, DQ-learning algorithm shapes the agents' reward based on difference rewards function, and aims at finding a route that maximizes the system's utility",implicit-100%,"the agents (vehicles/drivers) are implemented as independent learners, which ignore the existence of other agents",enforced,The set of the actions are the outbound links from the nodes of the network,"Q-learning (tabular, independent learners; IQ-learning / DQ-learning reward variants)",full-text,not-addressed,,not-reported,,not-stated,,full-text,Tabular-Q-Sarsa
23,Route guidance system using multi-agent reinforcement learning,yes,"According to the trip origin (s) node and destination (d) node, this issue can be solved as the optimization problem based on real transportation network",none,This paper proposed a new algorithm based on MARL model for finding shortest and best path in the URN to conduct the vehicles to their destination,unclear,travel cost and edges distance is assumed to be random variable,unclear,"rt = {+1 ... the positive states to continue, -1 ... the negative states to continue}",individual,"A positive reward is given for an action that results in a goal, while small negative rewards are given when the episode ends unsuccessfully",implicit-100%,the next route connected to node will be selected as the prime priority,enforced,some connected routes are removed automatically in the new optimal route computation,MARL (agent-based shortest-path / dynamic-programming with goal-directed reward signaling),full-text,not-addressed,,not-reported,,not-stated,,full-text,MARL
24,Network-aware multi-agent reinforcement learning for the vehicle navigation problem,yes,it submits a routing query to the RL agent consisting of its final destination,context-conditioning,the concatenation of [sq] and s'_i is passed to the Q-network of agent ui,none,State of intersection i at time t consists of the traffic congestion condition in its outgoing roads,step-wise,r(a(s^tau_q)) = -DeltaT ... Delta T = (q'-t) - (q-t),individual,"Reward, r(a(s^tau_q))...Assume that q' is the tau+1 query in path of vehicle q-vc: DeltaT = (q'-t)-(q-t)",implicit-100%,"The vehicle follows the instructions of the routing response, including the next intersection",action-masking,Action of agent ui for s^tau_q...Selecting one of the outgoing road-segments of the intersection i = q-rc-tail,"MARL (DQN-based, Q-learning per intersection agent)",full-text,boundary-open-addressed,"26 routing agents are assigned, one at each intersection (except for the corner ones)",reported,Routing Success (number of vehicles that reached their destination during this episode),released,The code for this research is publicly available at https://github.com/FazelYU/Adaptive-Navigation,full-text,MARL
25,Navigating the non-compliance effects on system optimal route guidance using reinforcement learning,no,"Each state s in S consists of two parts: the node encoded as a one-dimensional vector, and the global state includes the travel time and density of all links, waiting vehicles at each node, total vehicle count, and time. Formally, s = (n,Xt)",other,"It inherently possesses the flexibility to accommodate fluctuating demand attributed from its function approximation capabilities, allowing it to generalize to unseen conditions.",none,"Each state s in S consists of two parts: the node encoded as a one-dimensional vector, and the global state includes the travel time and density of all links, waiting vehicles at each node, total vehicle count, and time.",step-wise,"The reward function, R(s,a), defines the reward received after taking action a in state s. In the context of DSO, it is defined as the negative of the travel time experienced by vehicles...R(s,a) = -TT_phi(a), where TT_phi(a) is the travel time on the link associated with action a.",mixed,"pi_i = (1-eta) * pi_SO + eta * pi_ind,i ... users make decisions based on their individual policy, they aim to optimize their own travel time under the TMC's route guidance, potentially gaining an advantage over other users and the system-wide recommendations.",explicit,users can dynamically choose to either comply or manually override this autonomy based on their own judgment / eta is the parameter that determines the extent to which each user's final policy relies on the TMC's suggestions versus the individual policy.,action-masking,"The masking process involves creating a mask vector, M(n), for each node n in the traffic network...A value of 1 in the mask vector signifies that the corresponding outbound link is accessible from the node n, while a value of -infinity inaccessibility.",DQN (centralized Q-network) + MARL via NFSP (individual policy network),full-text,not-addressed,,not-reported,,not-stated,,"full-text (re-coded, all 10 fields)",MARL
26,Reinforcement learning-based route planning method for connected vehicles considering real-time road traffic information,unclear,,unclear,,local-prediction,predictive travel coefficient is proposed to mitigate congestion drift-induced oscillation phenomenon in road networks and enhance overall travel efficiency,unclear,,unclear,,unclear,,unclear,,Q-learning (IBPR-QL),abstract-only,unclear,,unclear,,unclear,,abstract-only,Tabular-Q-Sarsa
27,Optimization Method of DRL-based Route Planning under Limited Resources,yes,Pd denotes the position of the destination,other,"the attention can improve the decision-making ability and efficiency of the policy network, make it better adapted to different complex environments and tasks",local-prediction,our reward mechanism is designed as the estimated remaining time for the vehicle to reach the action's end point,predicted,"Rs = {-(Dremain/V) on the way, 0 reach the end}, where V is the current vehicle speed",individual,The optimization goal of route planning algorithm is to minimize the vehicle's total travel time,implicit-100%,the vehicle can choose the next action s' with the highest Q-value,enforced,we use S+A as input information into the policy network and get the Q-value to each action separately...the optional action space of vehicle agents is dynamic at each junction,"Double-DQN (improved, with Attention Mechanism policy network)",full-text,not-addressed,,not-reported,,not-stated,,full-text,DQN-family
28,Vehicle-Road Collaborative Path Planning Based on A*-assisted Deep Reinforcement Learning,yes,"Pd: The absolute position of the destination in cartesian coordinates (Xd, Yd)",other,These ideas aim at improving the convergence speed and enhancing generalization performance of the model,local-prediction,"D: The distance from the end of the road to the destination, obtained by the A* algorithm",predicted,the environment feedbacks expected travel time of the action as an immediate reward: rs = -(Lst+1/Vat+1) on the way,individual,"the global path planning is a time optimization problem, so we choose the optimization objective to design the reward mechanism",implicit-100%,"In each training step, the agent stores the current state s, action a, the reward obtained from the environment r and the next state s' (an experience)",enforced,"When the agent chooses an action, it uses the A* algorithm to determine whether the current action can reach the end point. If not, exclude the action","DQN (Nature-DQN, A*-assisted)",full-text,not-addressed,,not-reported,,not-stated,,full-text,DQN-family
29,A Deep Reinforcement Learning Approach for Route Planning of Autonomous Vehicles*,no,"s(t) = [x(t), phi_v(t), e(t)]...each with a randomly selected pair ci = (es, ef)",none,"Naturally, if the city of study changes a new agent training is needed to take in account different characteristic as traffic patterns and road network",none,"we define the distance d(t) between the current edge at time t, and the destination edge ef",step-wise,"rshortest(t) = {1 if d(t) < d(t-1), -0.5 otherwise}",individual,"an RL agent is associated with the AV that chooses the best action to obtain the minimum distance, with the minimum number of right/left turns and the maximum number of priority edges",implicit-100%,the AV will select the route that exhibits the best multi-objective strategy enlightened by the best value of the reward,unclear,"When an AV arrives to a node j in J at time t, it can change the edge and can decide among three possible actions: A = {Gostraight, Turnright, Turnleft}","PPO (PPO-Clip, actor-critic, via RLLib)",full-text,not-addressed,,not-reported,,not-stated,,full-text,Policy-gradient-AC
30,Dynamic urban traffic rerouting with fog-cloud reinforcement learning,no,"The agent assesses its current state and makes policy-guided decisions in a state space with two distinct components: (1) Xt indicates fog node characteristics at time step t, (2) At represents physical adjacency feature at time step t.",none,,none,"our proposed framework could be further fortified by incorporating other rerouting considerations, such as proactiveness, predictive capabilities, personalized considerations, driver response to information, and consistent anticipatory route guidance that were introduced by pioneers in the field of rerouting.",step-wise,"RVs operating at sluggish speeds (below 11 mph) are suggestive of severe congestion within the region in question. In response, the proposed model levies a penalty to account for this unfavorable situation. Conversely, RVs operating at speeds exceeding the threshold of 11 mph, are indicative of successful rerouting and optimal assignment of routes by the model, resulting in an improved traffic flow at the region in question.",system,"The reward calculation was derived from the collective average speed of the RVs within specific regions, with a focus on the regional level rather than the individual link level.",partial-modeled,"The first class, termed rerouting vehicles (RVs), can receive information through connectivity and follow instructions accordingly. The second class, termed background vehicles (BVs), does not have access to this information and cannot be rerouted.",enforced,"the K shortest alternative routes ps = 1,..,K are generated based on the road weights Wr, and a set {kSP}m is formed to store these routes.",GAQ: Graph Attention Q-Network (DQN-based),full-text,boundary-open-addressed,"RVs enter the network via three roads on the right of the network, with two destinations on the left of the network (one from the bottom and the other from the middle).",reported,"if the simulation extends beyond the 2000 time units, it indicates that rerouted vehicles are unable to complete their journeys, resulting in an average travel speed of approximately 0 m/s. This situation is referred to as 'severe congestion' within the simulation framework.",not-stated,,"full-text (re-coded, all 10 fields)",DQN-family
31,A Deep Reinforcement Learning Framework for Real-Time Vehicle Routing with Dynamic Traffic Conditions,no,"s(t) = {e(t), tslot(t), tnorm(t)}",other,Post-training evaluations were conducted using unseen traffic data sampled from historical TomTom patterns...ensuring that the agent's generalization capability was tested under realistic but new conditions,local-prediction,"The agent observes the current traffic slot and normalized time, allowing it to adapt its routing policy to temporal variations in traffic...exhibiting anticipatory behavior regarding future congestion along the route",step-wise,"rtraffic(t) = -delta*vehicle_count if vehicle_count >= theta, otherwise 0; rshortest(t) based on d(t) <= d(t-1)",individual,The agent aims to find the shortest route toward the destination while avoiding congested roads,implicit-100%,"the transition from state s(t) to next state s' = s(t+1) depends on the action a(t), which determines the next edge e(t+1)",not-enforced,"rinvalid(t) = -mu, if e(t) not in [outEdgesList]",PPO (Actor-Critic),full-text,not-addressed,,not-reported,,not-stated,,full-text,Policy-gradient-AC
32,Adaptive Reinforcement Learning Framework for Environmentally Sustainable Route Optimization,no,"St = [vt, rho_t, rt, wt, et]",unclear,,none,Rt = alpha*DeltaEt + beta*Ft - gamma*Tt,step-wise,Rt = alpha . DeltaEt + beta . Ft - gamma . Tt,individual,The reward function incentivizes actions that reduce environmental impact while maintaining efficiency,implicit-100%,,unclear,"Selecting between alternative routes A = {a1, a2, ..., an}; Adjusting speed; Dynamic rerouting based on changing conditions",PPO,full-text,not-addressed,,not-reported,,not-stated,,full-text,Policy-gradient-AC
33,Deep Q-Learning-based Route Optimization for Traffic Network,unclear,"The agent receives state input from SUMO such as vehicle speed, delay and responds by rerouting vehicles to minimize travel time",other,"The proportional relationships between fuel consumption, emissions, and cost also validate the agent's ability to generalize efficient routing behaviors across multiple objectives",none,,step-wise,"After rerouting a vehicle, the agent receives a reward and updates its policy through Q-Learning...The reward function is designed to penalize delays and promote actions that reduce travel time and congestion",mixed,The reward function is designed to penalize delays and promote actions that reduce travel time and congestion,implicit-100%,,unclear,,DQN (Deep Q-Learning),full-text,not-addressed,,not-reported,,not-stated,,full-text,DQN-family
34,Urban Multiple Route Planning Model Using Dynamic Programming in Reinforcement Learning,yes,"the distance between the current state and the destination and the distance between the next possible state and the destination, TCI, road length, and other factors are taken into account",none,,none,,step-wise,"In this way, at each learning step, the agent obtains a reward or penalty, which accelerates the learning process.",individual,"The reward function decides the instant feedback to every chosen action and serves to guide the agent to the destination, similar to the labelling of samples in supervised learning.",implicit-100%,,enforced,"In every state, the vehicle has several (normally no more than 6) driving directions, namely, action a, to choose from. Each direction can lead the vehicle to another state... it is always 100% under the route planning context, since when a driving direction is selected, the vehicle will be led to the specific intersection, not others.","model-based RL / Dynamic Programming (policy iteration, not deep neural network)",full-text,not-addressed,,not-reported,,not-stated,,"full-text (re-coded, all 10 fields)",Model-based-Hybrid
