include	paperId	title	year	venue	citationCount	source	pre_score
n/a	80275e429a0066925762bfb6c6689ac7cc46365c	Intelligent Route Planning for Waste Collection in Smart Cities via Reinforcement Learning	2025	Journal of Information Systems Engineering & Management	0	gnn_rl	3
n/a	adbeb256d31a17d443525564c9f9b0cd2f6e26ea	Multi-Agent Tsallis Actor?Critic for Autonomous Vehicle Fleet Coordination on Road Graph Networks	2025	"International Conference on Control, Automation and Systems"	0	gnn_rl	3
n/a	c29b65dfa41c55df5f50a5cd497878eeb8d5fd61	Heterogeneous Attention-Based Graph Convolutional Network for Solving Asymmetric Pickup and Delivery Problem	2025	IEEE Transactions on Automation Science and Engineering	6	gnn_rl	3
n/a	258afa0747f93f4409f76f2964b59d770bd7a66a	Adaptive vehicle routing for humanitarian aid in conflict-affected regions: a practitioner-informed deep reinforcement learning approach	2025	Frontiers in Future Transportation	3	gnn_rl	3
n/a	b379a43a3a541a7c3b04d91450cab7e280366db4	Predictive Traffic Rule Compliance using Reinforcement Learning	2025	arXiv.org	1	gnn_rl	3
n/a	e501a8062dbefe29fce49e24cb5f13bfed226753	A QoS-Aware Routing Protocol for High-Speed Optical Networks Using Reinforcement Learning	2025	OPTIMA	0	gnn_rl	3
0	a8108832d01dff84979de64a268134e967b6a49a	Optimizing Autonomous Vehicle Navigation Through Reinforcement Learning in Dynamic Urban Environments	2025	World Electric Vehicle Journal	2	gnn_rl	3
n/a	9a5679cd623131354e3bf13c368442f3139cce58	A Software-Defined Networking-Based Computing-Aware Routing Path Selection Method	2025	Electronics	0	gnn_rl	3
n/a	a76335fa5cfe61d3d579f2edf8d34123d9003a61	MHA-DQN: Personalized Route Planning for Asthma Patients Using Multi-Head Attention and Deep Reinforcement Learning	2025	ACS/IEEE International Conference on Computer Systems and Applications	0	gnn_rl	3
n/a	d43beec8c7ce886b5e63f70b2f145912a1b2f252	Sustainable EV routing using spectral clustering and fuzzy reinforcement learning with energy constrained A* under mobility index and waiting constraints	2025	Scientific Reports	1	gnn_rl	3
n/a	52a9dc60986e6e1efa4ec293c18526b6ed96512e	Spatiotemporal Risk-Aware Patrol Planning Using Value-Based Policy Optimization and Sensor-Integrated Graph Navigation in Urban Environments	2025	Applied Sciences	0	gnn_rl	3
0	e4f0e8b013870ccf722f7236e6e4ba950389e3b4	Vehicle?Infrastructure Cooperation Framework for Vehicle Navigation and Traffic Signal Control using Deep Reinforcement Learning	2025	Transportation Research Record	1	gnn_rl	3
1	cb2fa31c7e74ab75c1e7600b5e8311fbed3dd984	Intelligent Routing in Connected Autonomous Vehicles using the ADAPT-S Learning Architecture	2025	"International Conference Electronic Systems, Signal Processing and Computing Technologies [ICESC-]"	0	gnn_rl	3
n/a	7e18565420dcc6dd854463a0403c946d81fb8276	Satellite Network Intelligent Routing Optimization Mechanism	2025	Software Engineering and Applications	0	gnn_rl	3
n/a	7206ffc3dddb43753f2e93ec17adcd46f60a46fd	Unmanned Surface Vehicle Navigation Under Disturbances: World Model Enhanced Reinforcement Learning	2025	IEEE/ASME transactions on mechatronics	7	model_based_rl	3
n/a	49dbed9b8ff4fa098ea01cb5d394b53916870e0d	Dynamic Harris Hawks Optimization and deep reinforcement learning framework for autonomous vehicle path planning	2025	Advances in Production Engineering &amp; Management	0	model_based_rl	3
n/a	663585bf4afbc4fc503c63d465e1f57a5b7bd28a	A Deep Reinforcement-Learning-Based Route Optimization Model for Multi-Compartment Cold Chain Distribution	2025	Mathematics	3	model_based_rl	3
n/a	e32ae745347ae3c37fe4dc5bd36cbd387925246f	Domain-Adaptive Reinforcement Learning Framework for Robust Autonomous Vehicle Navigation	2025	2025 2nd International Conference on Intelligent Algorithms for Computational Intelligence Systems (IACIS)	0	model_based_rl	3
n/a	fa1ed9e3843fc0c25a95991166ce6810e98d657e	Integration of Visible Light Communication and Deep Reinforcement Learning to Enhance Urban Traffic Management	2025	2025 9th International Young Engineers Forum on Electrical and Computer Engineering (YEF-ECE)	0	model_based_rl	3
n/a	110c07d70bd106bbb2163bcfdc71c9d238f62f74	"Real-Time Planning of Route, Speed, and Charging for Electric Delivery Vehicles: A Deep Reinforcement Learning Approach"	2025	IEEE Transactions on Transportation Electrification	2	model_based_rl	3
1	2fba3143a6b66ab56b95176f0dc3e3db3f6e1f0a	Reinforcement Learning for Dynamic Traffic Management: A Scalable Approach to Congestion Reduction	2025	"2025 International Conference on Artificial Intelligence, Computer, Data Sciences and Applications (ACDSA)"	2	model_based_rl	3
n/a	46a098116d9318c050be8c6d97c60ed7d3ff0c39	"Intelligent cloud networking: Applying ai and reinforcement learning for dynamic traffic engineering, QoS optimization and threat detection in software-defined cloud architectures"	2025	World Journal of Advanced Research and Reviews	1	model_based_rl	3
n/a	3321ce8861ba53966d13cb5fcfac0c86be49c44c	Eco-Driving With Deep Reinforcement Learning at Signalized Intersections Considering On-the-Fly Queue Dissipation Estimation and Lane-Merging Disturbances	2025	IEEE Open Journal of Vehicular Technology	0	model_based_rl	3
0	790d5f91340d411e72bb4e0bc7a71509f73fbe27	Intelligent Road Network Management Supported by 6G and Deep Reinforcement Learning	2025	IEEE transactions on intelligent transportation systems (Print)	6	model_based_rl	3
0	3d838aedbece7cf52a95de710343885cf05e12b2	Adaptive Tuning of Parameterized Traffic Controllers via Multi-Agent Reinforcement Learning	2025	arXiv.org	0	constrained_rl	3
0	75476c511a3c619a246788f287a643236a9d3a02	A Dynamic Cooperative Ramp Metering and Navigation Guidance Approach Based on Heterogeneous-Agent Reinforcement Learning	2025	IEEE Internet of Things Journal	0	constrained_rl	3
n/a	5caa359542a396b6788d22ca66f1391d2546eaa1	Risk-Constrained Multi-Objective Deep Reinforcement Learning for AGV Path Planning in Rail Transit	2025	Applied System Innovation	0	constrained_rl	3
n/a	4b6b9f83eca768666e85443091f9c3015b14b2b0	Deep reinforcement learning for dynamic vehicle routing with demand and traffic uncertainty	2025	Operations Research Perspectives	13	constrained_rl	3
n/a	828ff1d7d12070a1407eb05fa7a1f7cdeb99cdb3	Hierarchical Reinforcement Learning for Energy-Efficient API Traffic Optimization in Large-Scale Advertising Systems	2025	IEEE Access	28	constrained_rl	3
n/a	f5a6e70837194a34c25fdafbcbb7b690ba2bca77	Multi-Agent Reinforcement Learning for Collaborative Autonomous Vehicle Fleets	2025	"2025 2nd International Conference on Recent Trends in Electrical, Electronics and Computing Technologies (ICRTEECT)"	0	constrained_rl	3
n/a	f212eec658df026876c5e16324cb17e9583a288e	Federated Reinforcement Learning for Edge AI Decision-Making in 6g-Enabled V2x Systems	2025	Journal of Artificial Intelligence &amp; Cloud Computing	1	constrained_rl	3
n/a	d30211fbd07af390c56faaeb0dadce132448a390	Ethics-Aware Safe Reinforcement Learning for Rare-Event Risk Control in Interactive Urban Driving	2025		2	constrained_rl	3
n/a	60a74362a93d1234b4ebe37b368151aaaeb21201	Safe Reinforcement Learning for Autonomous Electric Vehicles: A Comparative Analysis of RL	2025	"2025 IEEE 4th International Conference on Robotics, Automation, Artificial-Intelligence and Internet-of-Things (RAAICON)"	0	constrained_rl	3
n/a	11b7707c3e5edeee47d352a8fdf4ff7de67caa5b	Enhancing Autonomous Vehicle Navigation in Complex Environment With Semantic Proto?Reinforcement Learning	2025	J. Field Robotics	2	constrained_rl	3
n/a	fea1f4f5807742d470b40ca381d711378c0041f4	Path Planning Strategy Optimization of Autonomous Driving Decision System Based on Reinforcement Learning	2025	"2025 5th International Conference on Electronics, Circuits and Information Engineering (ECIE)"	0	constrained_rl	3
n/a	1b5a126a58d40a1711eb1a328ac4aa707392c08b	Context-Aware Autonomous Driving System using Deep Reinforcement Learning and Edge-Assisted Trajectory Optimization Model	2025	2025 3rd International Conference on Data Science and Information System (ICDSIS)	0	constrained_rl	3
n/a	a2f8f94cf002887e197101b2374e2a5f6775964b	Hierarchical Deep Reinforcement Learning-Based Path Planning with Underlying High-Order Control Lyapunov Function?Control Barrier Function?Quadratic Programming Collision Avoidance Path Tracking Control of Lane-Changing Maneuvers for Autonomous Vehicles	2025	Electronics	6	constrained_rl	3
n/a	d90c9716c736780921ab8f75a0bb56194c8b021d	Multi-Agent Reinforcement Learning-Based Capacity Planning for On-Demand Vehicular Fog Computing	2025	IEEE Transactions on Intelligent Vehicles	7	constrained_rl	3
n/a	1ae0bc8360cd141618639b1eb6d30b08a6533445	Hybrid DCGAN-based Framework for Robust and Efficient Vehicle Path Planning in Autonomous Driving	2025	2025 International Conference on NexGen Networks and Cybernetics (IC2NC)	0	constrained_rl	3
n/a	fbbafc0e65b91b6b2b8b3749d59b9617c5cff777	Autonomous Vehicle Navigation with Deep Learning: A Comprehensive Review	2025	"International Journal of Research and Review in Applied Science, Humanities, and Technology"	0	constrained_rl	3
n/a	e160723ad088ed715eb1cc695a0d4a26c5fa74ae	Intelligent Route Planning and Collision Avoidance Decision Optimization Based on Transformer and Deep Reinforcement Learning	2025	"2025 5th International Conference on Computer Science, Electronic Information Engineering and Intelligent Control Technology (CEI)"	0	constrained_rl	3
n/a	4a265dc641cc3227c713dfa3d2f074db3f4ece98	Adversarial Reinforcement Learning for Enhanced Decision-Making of Evacuation Guidance Robots in Intelligent Fire Scenarios	2025	IEEE Transactions on Computational Social Systems	3	constrained_rl	3
n/a	9842129e79e099728c59575c76915a0ac3594f3d	Dynamic Reinforcement Learning-Driven Digital Twin for Optimised Multimedia Traffic Management in B5G SDN Core Networks	2025	IEEE international Symposium on Broadband Multimedia Systems and Broadcasting	0	constrained_rl	3
n/a	04d21f0dca570165a60097f8e6da0699480993a3	Research on Intelligent Logistics Warehouse Scheduling Optimization Based on Integrated Reinforcement Learning	2025	International Journal of High Speed Electronics and Systems	0	constrained_rl	3
n/a	e61f9817d2671d500842dc58256fd26350da2ee4	Clustered Federated Reinforcement Learning for Autonomous UAV Control in Air Corridors	2025	IEEE Open Journal of Vehicular Technology	3	recent_2025	3
n/a	9f8567b65413ea12e9bd82564a500c02ad8ebb4e	Low-Carbon Scheduling of Urban Logistics Electric Vehicles Using Deep Reinforcement Learning with Carbon Quota Constraints	2025	Proceedings of the 2025 8th International Conference on Computer Information Science and Artificial Intelligence	1	recent_2025	3
n/a	f288e3b2f209c637a351812fe2c0fa71b6cacfdb	LLM-Driven Pareto-Optimal Multi-Mode Reinforcement Learning for Adaptive UAV Navigation in Urban Wind Environments	2025	IEEE Access	8	recent_2025	3
n/a	2c03a87efc883c3282013c8d41b5091c8c1228db	Federated Deep Reinforcement Learning for Collaborative Autonomous Navigation in GPS-Denied Environments	2025	"International Conference on Information, Intelligence, Systems and Applications"	0	recent_2025	3
n/a	6b4f416bed11214b9610401f2724131e10b778fc	A Review of Deep Multi-Objective Reinforcement Learning and Vision-Based Systems for Smart Cities	2025	Informatica	2	recent_2025	3
n/a	0b6c0aa1a80ff8eecdf7fcb3af6e98ac2734e2e3	Hybrid Transformer Based Multi-Agent Reinforcement Learning for Multiple Unpiloted Aerial Vehicle Coordination in Air Corridors	2025	IEEE Transactions on Mobile Computing	8	recent_2025	3
n/a	6dd8f02b4fb95b11093d10bce0754830fbe694b0	Multi-Agent Reinforcement Learning for WEEE Recycling Vehicle Path Planning Based on Graph Attention Networks	2024	2024 International Conference on New Trends in Computational Intelligence (NTCI)	1	gnn_rl	3
n/a	53fdfab14f5585e1728334c2cf5209d14a718c69	Improving graph convolutional networks with reinforcement learning for pure electric logistics vehicle routing	2024	Conference on Smart Transportation and City Engineering	2	gnn_rl	3
n/a	c86b52ee3555d66dbdf25934fcefcd1494f186d0	Combining decomposition and graph capsule network for multi-objective vehicle routing optimization	2024	Intelligent Data Analysis	2	gnn_rl	3
1	e1a8bf47ef1c51298f5bcf957062c6ee63a96bfb	Graph Convolutional Network Based Multi-Objective Meta-Deep Q-Learning for Eco-Routing	2024	IEEE transactions on intelligent transportation systems (Print)	7	gnn_rl	3
0	05c421ce453104f74f353ac0846f42b11ca75e57	Dynamic Passenger Route Guidance in the Multimodal Transit System With Graph Representation and Attention Based Deep Reinforcement Learning	2024	IEEE transactions on intelligent transportation systems (Print)	5	gnn_rl	3
n/a	a5e10bd5746dd92296a6caf3870024f89c7d3859	A deep reinforcement learning with dynamic spatio-temporal graph model for solving urban logistics delivery planning problems	2024	International Journal of Digital Earth	7	gnn_rl	3
n/a	a00bdcccc07d39b7029821b7bec2112ab8c46d19	Logistics Distribution Route Optimization With Time Windows Based on Multi-Agent Deep Reinforcement Learning	2024	International Journal of Information Technologies and Systems Approach	4	gnn_rl	3
0	cb5ebe0b1b2ad0254e3d2c69f1db7d6743f1cbe5	An Iterative Adaptive Dynamic Programming Approach for Macroscopic Fundamental Diagram-Based Perimeter Control and Route Guidance	2024	Transportation Science	27	gnn_rl	3
0	27cc9f18c3ab4caf4a509a2a8941448167549046	HiLight: Heterogeneous Traffic Signal Control for Automatic Drive Guidance Based on Multi-Agent Reinforcement Learning	2024	2024 8th CAA International Conference on Vehicular Control and Intelligence (CVCI)	0	gnn_rl	3
1	7bb86b53f207cb08f43ee820cb3b9e37d7af496d	Graph RL-Based Route Planning Method for EVs with Synchronous Charge Station Selection	2024	2024 8th CAA International Conference on Vehicular Control and Intelligence (CVCI)	2	gnn_rl	3
0	8285d4953d2e49265df025bdcafb704df6db3717	E-RL:Vehicle Driving Strategy Learning with Environmental Reinforcement Learning Framework	2024	IEEE International Conference on Electro/Information Technology	0	gnn_rl	3
1	991f3ba61a280f85069dfa4c73587860ac41bdfb	Cooperative Path Planning With Asynchronous Multiagent Reinforcement Learning	2024	IEEE Transactions on Mobile Computing	10	gnn_rl	3
n/a	95a1530e25f8d7f89e7041af40000462777a7422	Intelligent Path Optimization for Carbon-Constrained Last-Mile Delivery: A Reinforcement Learning and Heuristic Approach	2024	Journal of Advanced Computing Systems	10	gnn_rl	3
n/a	20914dfdf752b18228cd189e642cd24ba9b393eb	Single- vs. Dual-Policy Reinforcement Learning for Dynamic Bike Rebalancing	2024		3	gnn_rl	3
n/a	371d9e6b6cfa07c74030c49347f6ba94a0f5fa23	PtrNet-RSA: A Pointer Network-Based QoT-Aware Routing and Spectrum Assignment Scheme in Elastic Optical Networks	2024	Journal of Lightwave Technology	19	gnn_rl	3
n/a	ef04d8d31dfdfbc086cc7ccb34221067b2ca479a	Inverse Reinforcement Learning with Dynamic Occupancy Grid Map for Urban Local Path Planning: A CNN Model Approach	2024	2024 IEEE Intelligent Vehicles Symposium (IV)	3	gnn_rl	3
0	8cfa5ef566280aade2aea77757edb2f5ef5927be	A Deep Reinforcement Learning Algorithm for Dynamic EV Routing Problem*	2024	Annual Conference of the IEEE Industrial Electronics Society	1	model_based_rl	3
1	0bd49352fa2b0c9e52eb60e66b53ccbad9ca8b2a	A Bi-Level Network-Wide Cooperative Driving Approach Including Deep Reinforcement Learning-Based Routing	2024	IEEE Transactions on Intelligent Vehicles	21	model_based_rl	3
n/a	8f1615d049bada5fdfc00ae60397ab01c77a41d9	Motion Planner With Fixed-Horizon Constrained Reinforcement Learning for Complex Autonomous Driving Scenarios	2024	IEEE Transactions on Intelligent Vehicles	17	constrained_rl	3
n/a	77181411e1fc2c1c3561cd0d67815a254e38a09e	Online Prediction-Assisted Safe Reinforcement Learning for Electric Vehicle Charging Station Recommendation in Dynamically Coupled Transportation-Power Systems	2024	Transportation Research Part C: Emerging Technologies	4	constrained_rl	3
n/a	624d7952aa7f73bf8e91d2088465f08b9dd3d1c2	Carbon-Efficient Scheduling in Fresh Food Supply Chains with a Time-Window-Constrained Deep Reinforcement Learning Model	2024	Italian National Conference on Sensors	11	constrained_rl	3
1	61064accb8fd8bc6c2b92cf9affa81ace2e452af	Preliminary Study on Cooperative Route Planning Reinforcement Learning with a Focus on Avoiding Intersection Congestion	2024	Future Transportation	0	constrained_rl	3
0	9615df18c965432bf3bba1ce506f00ec94302bb8	Reinforcement learning?based approach for urban road project scheduling considering alternative closure types	2024	Comput. Aided Civ. Infrastructure Eng.	3	constrained_rl	3
1	58ef59ca6bab8c044e7abc04d00f5361f2f20233	Fast Multi-Class Vehicle Cooperative Path Optimization in Complex Urban V2X Transportation: A Novel Parallel Multi-Agent Reinforcement Learning Approach	2024	2024 IEEE Intelligent Vehicles Symposium (IV)	0	constrained_rl	3
0	fb034d077145fbe30ad40885f12d7997d101703f	Optimization Path Planning Algorithm Based on Deep Reinforcement Learning	2024	"2024 Asia-Pacific Conference on Software Engineering, Social Network Analysis and Intelligent Computing (SSAIC)"	3	constrained_rl	3
0	16fa1e8cb87be29309fa3bad5d8a2a67f9cfe824	Rescue path planning for urban flood: A deep reinforcement learning?based approach	2024	Risk Analysis	13	constrained_rl	3
n/a	51f362f8a1badea426ea0655d752e6bd99db15fe	Deep Reinforcement Learning-Based Off-Road Path Planning via Low-Dimensional Simulation	2024	IEEE Transactions on Intelligent Vehicles	9	constrained_rl	3
1	59a8c3cb052ae20ef69c164c8ba8f2501ef92383	Safety-Aware Path Planning for Post-Disaster Rescue Vehicles	2024	"2024 4th International Conference on Artificial Intelligence, Virtual Reality and Visualization"	1	constrained_rl	3
0	42fa372c080c515df884c87043914c9d02a5583b	Research on Dynamic Path Planning for Autonomous Vehicles Based on Reinforcement Learning	2024	2024 6th International Academic Exchange Conference on Science and Technology Innovation (IAECST)	0	constrained_rl	3
0	590001cb0ee3bf5397b57eb6929a5647ad5decbf	Safety-Aware Route Navigation: Driving with Less Sun Glare	2024	SIGSPATIAL/GIS	2	constrained_rl	3
n/a	8db207794d70994317b21902834e28a9a9924762	Motion Planning for Autonomous Vehicles in Uncertain Environments Using Hierarchical Distributional Reinforcement Learning	2024	Chinese Control and Decision Conference	3	constrained_rl	3
n/a	03cf39b6c554e2665fc0006c97010e475f273564	A Path Planning Method for Electric Vehicle Based on Q-Learning	2024	2024 International Conference on Intelligent Robotics and Automatic Control (IRAC)	1	ev_routing	3
n/a	88cd6b6f5d2f9376dac81c66286c17f6a383b710	Single Agent Formulation for Reinforcement Learning Based Routing of Urban Last Mile Logistics with Platooning Vehicles	2024	2024 IEEE 27th International Conference on Intelligent Transportation Systems (ITSC)	0	recent_2025	3
n/a	8d5e170e5a86f7947d01212e03855655475eca55	Multi-Objective Path Planning for Unmanned Sweepers Considering Traffic Signals: A Reinforcement Learning-Enhanced NSGA-II Approach	2024	Sustainability	6	recent_2025	3
n/a	f72246848e568b559a52b3a3e5584c3f01870dbc	A Graph Reinforcement Learning-Based Decision-Making Platform for Real-Time Charging Navigation of Urban Electric Vehicles	2023	IEEE Transactions on Industrial Informatics	54	gnn_rl	3
n/a	963ac8074a4c3e69f17941a0d88897b4e08c595f	Bi-level deep reinforcement learning for PEV decision-making guidance by coordinating transportation-electrification coupled systems	2023	Frontiers in Energy Research	0	gnn_rl	3
1	ea85a93b4e9255d1234f912150c23c0a2cd0b05f	Enhancing Joint Behavior Modeling with Route Choice Using Adversarial Inverse Reinforcement Learning	2023	2023 IEEE 26th International Conference on Intelligent Transportation Systems (ITSC)	2	gnn_rl	3
n/a	f1ab33530650f9516379fd1d5df9c1639fa19c3c	FlexDATE: Flexible and Disturbance-Aware Traffic Engineering With Reinforcement Learning in Software-Defined Networks	2023	IEEE/ACM Transactions on Networking	25	gnn_rl	3
n/a	e5e14feec589be737977270d2275a0af9afdaac9	Ad Hoc-Obstacle Avoidance-Based Navigation System Using Deep Reinforcement Learning for Self-Driving Vehicles	2023	IEEE Access	16	gnn_rl	3
0	c2359d64b328471ce33400970580834d78525ae2	Real-time Road Network Optimization with Coordinated Reinforcement Learning	2023	ACM Transactions on Intelligent Systems and Technology	7	model_based_rl	3
n/a	5e3253fd1b0509d4629302c32768f3486139923c	Target Tracking and Path Planning of Mobile Sensor Based on Deep Reinforcement Learning	2023	2023 IEEE 12th Data Driven Control and Learning Systems Conference (DDCLS)	5	constrained_rl	3
n/a	123be8a270e20d2a0b1624d430e7b630867bd4ed	A Risk-aware Multi-objective Patrolling Route Optimization Method using Reinforcement Learning	2023	International Conference on Parallel and Distributed Systems	2	constrained_rl	3
n/a	2e1df3518d326aa87cf37a7f8e605af2ed4d7c30	Rerouting planning of suborbital debris hazard zone based on reinforcement learning DDPG	2023	Journal of Physics: Conference Series	1	constrained_rl	3
n/a	2f98731e821a280a7773159aecd6e08bb4d72cd0	SoC-VRP: A Deep-Reinforcement-Learning-Based Vehicle Route Planning Mechanism for Service-Oriented Cooperative ITS	2023	Electronics	15	ev_routing	3
1	e69c1dca0665997659c32b845f922161e6c0d199	EMVLight: a Multi-agent Reinforcement Learning Framework for an Emergency Vehicle Decentralized Routing and Traffic Signal Control System	2022	Social Science Research Network	80	gnn_rl	3
1	bac4e33e9d2ed23dde3f573b63c28705466dac90	Path planning for vehicle platoons under routing decisions: a distributed approach combining Deep Reinforcement Learning and Model Predictive Control	2022	"International Conference on Control, Decision and Information Technologies"	5	gnn_rl	3
1	65c0dbf044f9eab5f4396235b6112da1e5a624b1	Dynamic stochastic electric vehicle routing with safe reinforcement learning	2022	Transportation Research Part E: Logistics and Transportation Review	150	model_based_rl	3
1	2bf877afe5c7e7a2cd74cd013d91a739cd6e0bcf	Risk-Aware Travel Path Planning Algorithm Based on Reinforcement Learning during COVID-19	2022	Sustainability	7	constrained_rl	3
FALSE	3a44df8982f3535a32ed400b6adcca30e9712a89	Trip Planning for Autonomous Vehicles with Wireless Data Transfer Needs Using Reinforcement Learning	2022	IEEE International Conference on Mobile Adhoc and Sensor Systems	2	constrained_rl	3
n/a	fea92cc098380948287a86763392412689b721ea	Robust Path Selection in Software-defined WANs using Deep Reinforcement Learning	2022	arXiv.org	1	constrained_rl	3
n/a	46940d4765b64187e19cdae11c6a4319c8473bb3	Sustainable Urban Mobility: Developing Eco-friendly Transportation Systems with AI Integration	2022	International Journal of Research in Modern Engineering &amp; Emerging Technology	0	ev_routing	3
n/a	3e6d4539ba76bbd0793cb0e8ba1f62ab244fbcbe	Energy management strategy of intelligent plug-in split hybrid electric vehicle based on deep reinforcement learning with optimized path planning algorithm	2021	"Proceedings of the Institution of mechanical engineers. Part D, journal of automobile engineering"	16	constrained_rl	3
n/a	76bb522f60b6feb2d5c4d3cb5a5f96e2d1379ff2	VeSoNet: Traffic-Aware Content Caching for Vehicular Social Networks based on Path Planning and Deep Reinforcement Learning	2021	arXiv.org	5	constrained_rl	3
n/a	aecd3d775fc31c86bf145b0216b73fd889e2c85e	Reinforcement Learning based Negotiation-aware Motion Planning of Autonomous Vehicles	2021	IEEE/RJS International Conference on Intelligent RObots and Systems	11	constrained_rl	3
n/a	1f124992fbe1f7d96e7431ca89d9316f74b8ccf2	Multi-Vehicle Routing Problems with Soft Time Windows: A Multi-Agent Reinforcement Learning Approach	2020	Transportation Research Part C: Emerging Technologies	186	gnn_rl	3
n/a	4eb20023f361d65c7c4a4434d16502089d0e585a	Reinforcement Learning based Scheduling for Cooperative EV-to-EV Dynamic Wireless Charging	2020	IEEE International Conference on Mobile Adhoc and Sensor Systems	8	ev_routing	3
1	12915bb0ef8804caac4dd3b52e4f87ee2c698a5d	Hierarchical Sarsa Learning Based Route Guidance Algorithm	2019	Journal of Advanced Transportation	6	gnn_rl	3
n/a	5cc848ba660a0f350e714971cffb0a13dbac5322	Green Mobility Management in UAV-Assisted IoT Based on Dueling DQN	2019	ICC 2019 - 2019 IEEE International Conference on Communications (ICC)	18	constrained_rl	3
n/a	2438c67202390f02de6fb2b02b628b9200d0611e	Q(¥ë) learning-based dynamic route guidance algorithm for overhead hoist transport systems in semiconductor fabs	2019	International Journal of Production Research	66	constrained_rl	3
n/a	9e34a0b7fcf1417419da97a5092711f8dce80398	Vehicle Routing Problems via Quantum Graph Attention Network Deep Reinforcement Learning	2025	arXiv.org	0	gnn_rl	2
n/a	1d9ef622fcbd6b201c48e57fe2ab1ca226da4bca	Airport shuttle vehicle path planning method combining graph neural network and reinforcement learning	2025	2025 8th International Conference on Computer Information Science and Application Technology (CISAT)	0	gnn_rl	2
n/a	0e24218cd10c634d1bcc5c2fea562d6557045923	Graph-Driven Deep Reinforcement Learning for Vehicle Routing Problems with Pickup and Delivery	2025	Applied Sciences	11	gnn_rl	2
n/a	c6936197150af0543f7c7c26818e1df48e03ff36	JPDS-NN: Reinforcement Learning-Based Dynamic Task Allocation for Agricultural Vehicle Routing Optimization	2025	IEEE/RJS International Conference on Intelligent RObots and Systems	1	gnn_rl	2
