title,abstract,authors,year,venue,doi,citationCount,pool,old_include,idx,decision
Survey of Deep Reinforcement Learning for Motion Planning of Autonomous Vehicles,"Academic research in the field of autonomous vehicles has reached high popularity in recent years related to several topics as sensor technologies, V2X communications, safety, security, decision making, control, and even legal and standardization rules. Besides classic control design approaches, Artificial Intelligence and Machine Learning methods are present in almost all of these fields. Another part of research focuses on different layers of Motion Planning, such as strategic decisions, trajectory planning, and control. A wide range of techniques in Machine Learning itself have been developed, and this article describes one of these fields, Deep Reinforcement Learning (DRL). The paper provides insight into the hierarchical motion planning problem and describes the basics of DRL. The main elements of designing such a system are the modeling of the environment, the modeling abstractions, the description of the state and the perception models, the appropriate rewarding, and the realization of the underlying neural network. The paper describes vehicle models, simulation possibilities and computational requirements. Strategic decisions on different layers and the observation models, e.g., continuous and discrete state representations, grid-based, and camera-based solutions are presented. The paper surveys the state-of-art solutions systematized by the different tasks and levels of autonomous driving, such as car-following, lane-keeping, trajectory following, merging, or driving in dense traffic. Finally, open questions and future challenges are discussed.",S. Aradi,2022,IEEE Transactions on Intelligent Transportation Systems,10.1109/TITS.2020.3024655,551.0,gate1,,194,survey
An Overview and Experimental Study of Learning-Based Optimization Algorithms for the Vehicle Routing Problem,"The vehicle routing problem (VRP) is a typical discrete combinatorial optimization problem, and many models and algorithms have been proposed to solve the VRP and its variants. Although existing approaches have contributed significantly to the development of this field, these approaches either are limited in problem size or need manual intervention in choosing parameters. To solve these difficulties, many studies have considered learning-based optimization (LBO) algorithms to solve the VRP. This paper reviews recent advances in this field and divides relevant approaches into end-to-end approaches and step-by-step approaches. We performed a statistical analysis of the reviewed articles from various aspects and designed three experiments to evaluate the performance of four representative LBO algorithms. Finally, we conclude the applicable types of problems for different LBO algorithms and suggest directions in which researchers can improve LBO algorithms.",B. Li; G. Wu; Y. He; M. Fan; W. Pedrycz,2022,IEEE/CAA Journal of Automatica Sinica,10.1109/JAS.2022.105677,90.0,gate1,,207,survey
"Decision-Making and Planning for Intelligent Vehicle Considering Human Factors: Methods, Challenges, and Prospects","The existing research on intelligent driving vehicles mainly focuses on improving the performance of safety, economy, and control accuracy, ignoring the personalized manipulation pReferences of different driving groups. The differences in driving styles and preferences of different passengers require that the driving behavior of intelligent driving systems in different traffic situations should conform to the habits of self-vehicle passengers, that is, to achieve personalized driving considering human factors. This paper provides a comprehensive and systematic review of the research status in the field of personalized driving. Firstly, it clarifies the necessity of personalized driving. Secondly, the existing decision-making and planning methods for personalized driving of single-vehicle are summarized from two aspects: machine learning-based methods and driver characteristic characterization-based methods. On this basis, the interactive decision-making and planning method of multi-vehicle games considering personalized preference in intelligent networking and mixed driving environments is summarized. Finally, the problems faced by the research of personalized intelligent driving systems and the future development trend are analyzed and prospected.",Y. Yan; Y. Feng; J. Wang; H. Zhang; G. Yin,2026,IEEE Transactions on Intelligent Transportation Systems,10.1109/TITS.2025.3630195,5.0,gate1,,226,survey
A Systematic Survey of Control Techniques and Applications in Connected and Automated Vehicles,"Vehicle control is one of the most critical challenges in autonomous vehicles (AVs) and connected and automated vehicles (CAVs), and it is paramount in vehicle safety, passenger comfort, transportation efficiency, and energy saving. This survey attempts to provide a comprehensive and thorough overview of the current state of vehicle control technology, focusing on the evolution from vehicle state estimation and trajectory tracking control in AVs at the microscopic level to collaborative control in CAVs at the macroscopic level. First, this review starts with vehicle key state estimation, specifically vehicle sideslip angle, which is the most pivotal state for vehicle trajectory control, to discuss representative approaches. Then, we present symbolic vehicle trajectory tracking control approaches for AVs. On top of that, we further review the collaborative control frameworks for CAVs and corresponding applications. Finally, this survey concludes with a discussion of future research directions and the challenges. This survey aims to provide a contextualized and in-depth look at the state-of-the-art in vehicle control for AVs and CAVs, identifying critical areas of focus and pointing out the potential areas for further exploration.",W. Liu; M. Hua; Z. Deng; Z. Meng; Y. Huang; C. Hu; S. Song; L. Gao; C. Liu; B. Shuai; A. Khajepour; L. Xiong; X. Xia,2023,IEEE Internet of Things Journal,10.1109/JIOT.2023.3307002,170.0,gate1,,339,survey
"A Survey of Machine Learning Innovations in Ambulance Services: Allocation, Routing, and Demand Estimation","In the realm of Emergency Medical Services (EMS), the integration of Machine Learning (ML) techniques has emerged as a catalyst for revolutionizing ambulance operations. ML algorithms could play a pivotal role in dynamically allocating resources, devising efficient routes, and predicting demand patterns. By thoroughly reviewing the existing literature and methodologies, this paper provides a comprehensive overview of the approaches used in ambulance allocation, routing, demand estimation and simulation models. We discuss the challenges faced by these methods, emphasizing the need for innovative solutions that can adapt to real-time data and changing emergency patterns. Through this survey, we aim to offer valuable insights into the current state of research and practices, shedding light on potential areas for future exploration and development. The findings presented in this paper serve as a foundation for researchers and practitioners working towards enhancing the efficiency of ambulance deployment in EMS.",R. Tluli; A. Badawy; S. Salem; M. Barhamgi; A. Mohamed,2024,IEEE Open Journal of Intelligent Transportation Systems,10.1109/OJITS.2024.3514871,14.0,gate1,,356,survey
A Survey on Localization for Autonomous Vehicles,"Research on autonomous vehicles has made significant advances in recent years. To operate an autonomous vehicle safely and effectively, precise localization is essential. This study aims to present the state of the art in localization to scientists new to the area. It presents and summarizes works from the field of localization and suggests a classification for the works. Approaches to localization are mainly divided into three categories: conventional localization, machine-learning-based localization, and vehicle-to-everything (V2X) localization. Conventional localization primarily depends on high-definition (HD) maps or certain marks, such as landmarks and road marks. Machine-learning-based localization approaches include using neural networks, end-to-end approaches, as well as reinforcement learning for performing or improving localization. Moreover, V2X localization methods localize vehicles by communicating with other vehicles (V2V) or infrastructures (V2I). This study not only presents a bigger picture of the area of localization in autonomous driving but also presents the potentials and drawbacks of different localization methods. At the end of the review, some research areas open for future research are also highlighted.",D. Kumar; N. Muhammad,2023,IEEE Access,10.1109/ACCESS.2023.3326069,44.0,gate1,,375,survey
Mitigation of Motion Sickness and Optimization of Motion Comfort in Autonomous Vehicles: Systematic Survey,"Autonomous vehicles (AVs) bring advantages such as comfort, safety, and eco-friendliness compared to conventional ones. The focus on comfort has become increasingly important as it plays a key role in the widespread acceptance of AVs. Passenger demand for alleviating motion sickness (MS) during travel has also driven extensive research in this area. This manuscript conducts a comprehensive and comparative review of published articles to provide up-to-date research outcomes on MS mitigation. It also examines the optimization methods employed over the past two decades to enhance motion comfort in AVs. The methods for detecting and resolving MS are elaborated upon, and the research gap and challenges are addressed. Furthermore, the manuscript presents the current efficacy of the research and proposes an anti-motion sickness control framework that utilizes a cloud control platform, which might offer potential future research directions in the field of autonomous driving. This study serves as a valuable reference for future efforts and opportunities to improve the motion comfort of AVs.",Y. Zhang; H. Zhao; C. Hu; Y. Tian; Y. Li; X. Jiao; G. Wen,2024,IEEE Transactions on Intelligent Transportation Systems,10.1109/TITS.2024.3462495,16.0,gate1,,383,survey
Explainable AI for Safe and Trustworthy Autonomous Driving: A Systematic Review,"Artificial Intelligence (AI) shows promising applications for the perception and planning tasks in autonomous driving (AD) due to its superior performance compared to conventional methods. However, highly complex AI systems exacerbate the existing challenge of safety assurance of AD. One way to mitigate this challenge is to utilize explainable AI (XAI) techniques. To this end, we present the first comprehensive systematic literature review of explainable methods for safe and trustworthy AD. We begin by analyzing the requirements for AI in the context of AD, focusing on three key aspects: data, model, and agency. We find that XAI is fundamental to meeting these requirements. Based on this, we explain the sources of explanations in AI and describe a taxonomy of XAI. We then identify five key contributions of XAI for safe and trustworthy AI in AD, which are interpretable design, interpretable surrogate models, interpretable monitoring, auxiliary explanations, and interpretable validation. Finally, we propose a conceptual modular framework called SafeX to integrate the reviewed methods, enabling explanation delivery to users while simultaneously ensuring the safety of AI models.",A. Kuznietsov; B. Gyevnar; C. Wang; S. Peters; S. V. Albrecht,2024,IEEE Transactions on Intelligent Transportation Systems,10.1109/TITS.2024.3474469,110.0,gate1,,384,survey
Trajectory Planning for Autonomous Cars in Low-Structured and Unstructured Environments: A Systematic Review,"Autonomous driving research has gained attention in recent years due to its great potential in reshaping transportation systems. It is highly noticeable that most research focuses on well-maintained urban roads, whereas much less effort is pushed for low or unstructured scenarios usually found in suburban or countryside areas of emerging countries. This study systematically reviews state-of-the-art trajectory planning for car-like vehicles in these environments. We analyzed 4601 papers published in the last 10 years and selected 75 studies. Based on the selected research, we summarize the techniques for global planning, local planning, motion control, and multi-vehicle collaborative planning. In particular, we highlight the strengths and weaknesses of the local planning approaches and discuss and identify common limitations, such as sensor faults, terrain variations, safety and regulatory risks. Moreover, we summarize the most adopted visual input sensors, their associated data structures that are used as search spaces for local planning, and sensor fusion techniques, which complement the advantages of different types of sensors. Furthermore, we provide a systematic schema that relates the dependencies between the visual sensors, data-representations, and local planning techniques. From this, we identify gaps in the current literature, suggesting possible directions for future work.",C. Souza de Oliveira; R. D. S. Toledo; V. H. Tulux Oliveira Victorio; A. von Wangenheim,2025,IEEE Access,10.1109/ACCESS.2025.3551453,14.0,gate1,,395,survey
Motion Planning for Autonomous Driving: The State of the Art and Future Perspectives,"Intelligent vehicles (IVs) have gained worldwide attention due to their increased convenience, safety advantages, and potential commercial value. Despite predictions of commercial deployment by 2025, implementation remains limited to small-scale validation, with precise tracking controllers and motion planners being essential prerequisites for IVs. This article reviews state-of-the-art motion planning methods for IVs, including pipeline planning and end-to-end planning methods. The study examines the selection, expansion, and optimization operations in a pipeline method, while it investigates training approaches and validation scenarios for driving tasks in end-to-end methods. Experimental platforms are reviewed to assist readers in choosing suitable training and validation strategies. A side-by-side comparison of the methods is provided to highlight their strengths and limitations, aiding system-level design choices. Current challenges and future perspectives are also discussed in this survey.",S. Teng; X. Hu; P. Deng; B. Li; Y. Li; Y. Ai; D. Yang; L. Li; Z. Xuanyuan; F. Zhu; L. Chen,2023,IEEE Transactions on Intelligent Vehicles,10.1109/TIV.2023.3274536,559.0,gate1,,415,survey
Revolutionizing Transportation Using Deep Reinforcement Learning: A Comprehensive Review,"Deep Reinforcement Learning (DRL) is revolutionizing the way many challenging transportation decision-making problems are approached. This potent learning-based technology is used more frequently to tackle difficult challenges in the domain of transportation. Any control-based system, including those in electricity, robotics, transportation, and the Internet of Things, can benefit from new data-driven research methodologies. This paper provides a summary of the mathematical foundation of DRL, as well as several very successful DRL extensions and well-liked and prospective DRL algorithms. On the basis of above analysis the paper further explore the suitability, advantages, disadvantages, and general and particular application-related problems of DRL approaches for their use in transportation. Finally, this paper outlines the future research paths and resources that might be used to put DRL into practice.",S. Rai; A. Dixit; A. Yadav; B. Bhushan,2023,2023 IEEE 15th International Conference on Computational Intelligence and Communication Networks (CICN),10.1109/CICN59264.2023.10402234,2.0,gate1,,536,survey
Computational Intelligence for Path Planning with Refueling ??A Systematic Review,"Path planning with refueling constraints is a central problem in logistics optimization, extending the classic Traveling Salesman Problem (TSP) by incorporating resource management challenges. The increasing complexity of real-world scenarios, combined with the diversity of vehicle technologies, has intensified research interest in this area. Despite the growing number of publications, there is a lack of systematic reviews that consolidate the state-of-the-art in computational approaches to this problem. To address this gap, this paper presents a systematic literature review based on the analysis of 19 selected articles, aiming to map the main methodologies, application domains, and evaluation metrics used in recent studies. The results reveal a clear trend towards the adoption of Reinforcement Learning (RL) techniques (42.1%). Most applications are concentrated in logistics and delivery (47.4%), and the most common refueling model is electric vehicle charging at fixed stations (47.3%). A major finding is that 73.7% of the studies validate their solutions in static and deterministic environments, with little attention to dynamic and uncertain scenarios. This review highlights a significant gap in the literature and underscores the need for future research focused on developing robust and adaptive algorithms, with emphasis on solutions designed to operate under uncertainty.",P. d. O. Passarini; A. L. C. Ottoni,2025,2025 12th International Conference on Soft Computing & Machine Intelligence (ISCMI),10.1109/ISCMI67495.2025.11358450,,gate1,,646,survey
Vehicle Routing Problems: From Deterministic Models to Stochastic Solutions,"The Vehicle Routing Problem (VRP) and its variants are important models in combinatorial optimization. However, its deterministic formulations has not included uncertainty in real-world operations. The Stochastic Vehicle Routing Problem (SVRP) addresses this limitation by incorporating randomness in key parameters like customer demands and travel times. This paper presents a comprehensive review of SVRP models followed by their solving techniques which covers classical techniques and metaheuristic approaches. A promising research direction is highlighted by recent hybrid approaches, specifically Distributionally Robust Optimization (DRO) and Deep Reinforcement Learning (DRL), which offer scalable and adaptive solutions under uncertainty.",T. Nurcahyadi; M. B. A. Samputra,2025,2025 5th International Conference on Electronic and Electrical Engineering and Intelligent System (ICE3IS),10.1109/ICE3IS66769.2025.11281154,,gate1,,656,survey
The Emergence of Deep Reinforcement Learning for Path Planning,"The increasing demand for autonomous systems in complex and dynamic environments has driven significant research into intelligent path planning methodologies. For decades, graph-based search algorithms, linear programming techniques, and evolutionary computation methods have served as foundational approaches in this domain. Recently, deep reinforcement learning (DRL) has emerged as a powerful method for enabling autonomous agents to learn optimal navigation strategies through interaction with their environments. This survey provides a comprehensive overview of traditional approaches as well as the recent advancements in DRL applied to path planning tasks, focusing on autonomous vehicles, drones, and robotic platforms. Key algorithms across both conventional and learning-based paradigms are categorized, with their innovations and practical implementations highlighted. This is followed by a thorough discussion of their respective strengths and limitations in terms of computational efficiency, scalability, adaptability, and robustness. The survey concludes by identifying key open challenges and outlining promising avenues for future research. Special attention is given to hybrid approaches that integrate DRL with classical planning techniques to leverage the benefits of both learning-based adaptability and deterministic reliability, offering promising directions for robust and resilient autonomous navigation.",T. T. Nguyen; S. Nahavandi; I. Razzak; D. Nguyen; N. T. Pham; Q. Viet Hung Nguyen,2025,"2025 IEEE International Conference on Systems, Man, and Cybernetics (SMC)",10.1109/SMC58881.2025.11343694,3.0,gate1,,673,survey
Recent Advancement in Autonomous Vehicle and Driver Assistance Systems,"In past two decades, the popularity and use of autonomous vehicles and driver assistance systems has accelerated due to the advancement in artificial intelligence techniques, big data analysis, machine learning, computer vision, smart sensors and Internet of Things (IoT). Autonomous vehicles (AVs) are gaining popularity because it reduces traffic congestion along with increase in safety and fuel efficiency. The present paper focuses on the functionality of the driver-less car and Advanced Driver & Driving Assistance Systems (ADDAS). Driver assistance systems help drivers to driving safely by avoiding and minimising distractions by observing their actions. Artificial Intelligence can be incorporated when AVs drive alongside human-driven vehicles (HVs), also known as the era of Mixed Autonomy. The Markov decision process (MDP) can be used to represent the communication between the driver-less vehicles and the surroundings, where, MDP is a discrete-time imaginary command process. MDP is utilized in various fields like automation, economics, manufacturing, and automatic control. This paper provides a detailed review on recent research and developments on autonomous vehicles and ADDAS. Some onfield examples of ADDAS are Automatic Parking, Automatic Braking System (ABS), Blind Spot Monitors, Adaptive Cruise Control (ACC), etc.",A. Mishra; J. Purohit; M. Nizam; S. K. Gawre,2023,"2023 IEEE International Students' Conference on Electrical, Electronics and Computer Science (SCEECS)",10.1109/SCEECS57921.2023.10063089,10.0,gate1,,690,survey
SafeRoute: A Crowdsourced Machine Learning Framework for Safe Urban Navigation Survey Report,"Urban navigation has evolved from focusing solely on efficiency by means of finding the shortest or fastest route, to incorporating multiple objectives that enhance user safety and overall experience. This survey explores the key challenges in designing modern navigation systems that adapt to complex urban settings. The study systematically analyzes 27 key research papers published between 2016 and 2025, aiming to minimize exposure to modern time risks such as crime, traffic accidents, and other safety hazards. Begining was marked with foundational graphbased algorithms that treat safety as a static cost, progresses through predictive machine learning and adaptive reinforcement learning models, and revolutionizes into recent approaches that leveraging real-time, crowdsourced data and user-centric data collections. While significant advancements have been made in data fusion and personalization, persistent challenges related to data reliability, scalability, privacy, and bias still remain to be addressed effectively.",S. Patil; Z. Shaikh; N. Kumbhar; S. Kawathalkar; P. Khokaralkar; T. Kulkarni,2026,2026 International Conference on Sustainable and Futuristic Technologies (ICSFT),10.1109/ICSFT67370.2026.11566628,,gate1,,698,survey
