idx,title,pdf,travel time,delay,fuel/emission,reward/return,distance,throughput/queue,completion/arrival rate,benchmark,baseline,substrate,nodes
17,Joint Optimization of Traffic Signal Control and Vehicle Routing in Signalized Road Networks using Multi-Agent Deep Reinforcement Learning,pdfs/pdfs/Joint_Optimization_of_Traffic_Signal_Control_and_Vehicle_Routing_in_Signalized_R__944324b3.pdf,yes,yes,no,yes,yes,yes,yes,yes,no,real,7
18,Dynamic Route Guidance System Based on Real-time Vehicle-Road Collaborations with Deep Reinforcement Learning,pdfs/pdfs/Dynamic Route Guidance System Based on Real-time Vehicle-Road Collaborations with Deep Reinforcement Learning.pdf,yes,no,no,yes,no,no,no,no,yes,real,
19,Deep Reinforcement Learning for Vehicle Swarm Navigation and Urban Traffic Optimization,pdfs/pdfs_unlocked/idx19_Deep Reinforcement Learning for Vehicle Swarm Navigation and Urban Traffic Optimization.pdf,yes,yes,yes,yes,yes,yes,yes,no,yes,both,
20,Population Game-Assisted Multi-Agent Reinforcement Learning Method for Dynamic Multi-Vehicle Route Selection,pdfs/pdfs_unlocked/idx20_Population Game-Assisted Multi-Agent Reinforcement Learning Method for Dynamic Multi-Vehicle Route Selection.pdf,yes,no,no,no,no,yes,no,no,yes,real,21
21,Modeling of route planning system based on Q value-based dynamic programming with multi-agent reinforcement learning algorithms,pdfs/pdfs_unlocked/idx21_Modeling of route planning system based on Q value-based dynamic programming with multi-agent reinforcement learning algorithms.pdf,yes,yes,yes,yes,yes,no,no,no,yes,real,10
22,Individual versus Difference Rewards on Reinforcement Learning for Route Choice,pdfs/pdfs/Individual versus Difference Rewards on Reinforcement Learning for Route Choice.pdf,yes,no,no,yes,no,no,no,no,no,real,
23,Route guidance system using multi-agent reinforcement learning,pdfs/pdfs/Route guidance system using multi-agent reinforcement learning.pdf,yes,yes,no,yes,yes,no,no,no,yes,synthetic,30
24,Network-aware multi-agent reinforcement learning for the vehicle navigation problem,pdfs/pdfs/Network-aware multi-agent reinforcement learning for the vehicle navigation problem.pdf,yes,no,no,no,no,yes,no,no,yes,both,52
25,Navigating the non-compliance effects on system optimal route guidance using reinforcement learning,pdfs/pdfs_unlocked/idx25_Navigating the non-compliance effects on system optimal route guidance using reinforcement learning.pdf,yes,yes,no,yes,yes,yes,no,yes,yes,neither,13
27,Optimization Method of DRL-based Route Planning under Limited Resources,pdfs/pdfs/Optimization Method of DRL-based Route Planning under Limited Resources.pdf,yes,no,no,yes,yes,no,no,no,no,real,
28,Vehicle-Road Collaborative Path Planning Based on A*-assisted Deep Reinforcement Learning,pdfs/pdfs/Vehicle-Road Collaborative Path Planning Based on A_star-assisted Deep Reinforcement Learning.pdf,no,no,no,no,no,no,no,no,yes,both,
29,A Deep Reinforcement Learning Approach for Route Planning of Autonomous Vehicles*,pdfs/pdfs/A Deep Reinforcement Learning Approach for Route Planning of Autonomous Vehicles.pdf,no,no,yes,yes,yes,no,no,no,yes,neither,
30,Dynamic urban traffic rerouting with fog-cloud reinforcement learning,pdfs/pdfs_unlocked/idx30_Dynamic urban traffic rerouting with fog-cloud reinforcement learning.pdf,yes,no,yes,yes,yes,no,no,no,yes,real,120
31,A Deep Reinforcement Learning Framework for Real-Time Vehicle Routing with Dynamic Traffic Conditions,pdfs/pdfs/A Deep Reinforcement Learning Framework for Real-Time Vehicle Routing with Dynamic Traffic Conditions.pdf,yes,yes,yes,yes,yes,no,no,no,yes,neither,
32,Adaptive Reinforcement Learning Framework for Environmentally Sustainable Route Optimization,pdfs/pdfs/Adaptive Reinforcement Learning Framework for Environmentally Sustainable Route Optimization.pdf,yes,no,yes,no,no,no,no,no,no,real,
33,Deep Q-Learning-based Route Optimization for Traffic Network,pdfs/pdfs/Deep Q-Learning-based Route Optimization for Traffic Network.pdf,yes,yes,yes,yes,yes,yes,no,no,yes,neither,
34,Urban Multiple Route Planning Model Using Dynamic Programming in Reinforcement Learning,pdfs/pdfs_unlocked/idx34_Urban Multiple Route Planning Model Using Dynamic Programming in Reinforcement Learning.pdf,yes,no,yes,yes,yes,no,no,no,yes,real,50
36,Providing real-time en-route suggestions to CAVs for congestion mitigation: A two-way deep reinforcement learning approach,pdfs/pdfs_unlocked/idx36_Providing real-time en-route suggestions to CAVs for congestion mitigation_ A two-way deep reinforcement learning approach.pdf,yes,yes,no,yes,no,no,no,yes,no,neither,
37,Real-time system optimal traffic routing under uncertainties - Can physics models boost reinforcement learning?,pdfs/pdfs_unlocked/idx37_Real-time system optimal traffic routing under uncertainties - Can physics models boost reinforcement learning_.pdf,yes,yes,no,yes,yes,yes,no,no,no,neither,16
38,Network-Constrained Policy Optimization for Adaptive Multi-agent Vehicle Routing,pdfs/pdfs_unlocked/idx38_Network-Constrained Policy Optimization for Adaptive Multi-agent Vehicle Routing.pdf,yes,no,no,yes,no,yes,yes,yes,yes,both,30
39,A Data-Driven Reinforcement Learning Based Multi-Objective Route Recommendation System,pdfs/pdfs/A Data-Driven Reinforcement Learning Based Multi-Objective Route Recommendation System.pdf,yes,no,yes,yes,yes,no,no,no,no,neither,012
40,Emergency vehicle rescue route optimization based on deep reinforcement learning in highway network,handoff/corpus_pdfs/TalkFile_Emergency vehicle rescue route optimization based on deep.pdf.pdf,yes,yes,no,yes,yes,no,no,no,yes,neither,100
41,Autonomous Vehicle Routing Optimization in a Competitive Environment: A Reinforcement Learning Application,pdfs/pdfs/Autonomous Vehicle Routing Optimization in a Competitive Environment A Reinforcement Learning Application.pdf,yes,no,no,no,no,no,no,no,no,neither,
42,Multi-objective route recommendation method based on Q-learning algorithm,pdfs/pdfs_unlocked/idx42_Multi-objective route recommendation method based on Q-learning algorithm.pdf,yes,no,yes,yes,yes,no,no,no,yes,real,
43,Agent-Based Route Planning with Deep Q Learning,pdfs/pdfs/Agent-Based Route Planning with Deep Q Learning.pdf,yes,no,yes,yes,no,no,no,no,yes,neither,5
46,Optimizing Traffic Routes With Enhanced Double Q-Learning,pdfs/pdfs_unlocked/idx46_Optimizing Traffic Routes With Enhanced Double Q-Learning.pdf,yes,yes,yes,yes,no,no,no,no,yes,synthetic,39
47,Multi-agent deep reinforcement learning based on cloud-edge computing for urban vehicle route guidance,pdfs/pdfs_unlocked/idx47_Multi-agent deep reinforcement learning based on cloud-edge computing for urban vehicle route guidance.pdf,yes,yes,no,yes,yes,yes,yes,no,yes,both,25
48,Meta-deep q-learning for eco-routing,pdfs/pdfs/Meta-deep q-learning for eco-routing.pdf,yes,no,yes,no,no,no,no,no,no,neither,
49,Sharing diverse information gets driver agents to learn faster: an application in en route trip building,pdfs/pdfs_unlocked/idx49_Sharing diverse information gets driver agents to learn faster_ an application in en route trip building.pdf,yes,no,no,no,no,no,yes,no,no,synthetic,
50,Regional route guidance with realistic compliance patterns: Application of deep reinforcement learning and MPC,pdfs/pdfs/Regional route guidance with realistic compliance patterns_Application of deep reinforcement learning and MPC.pdf,yes,yes,no,yes,yes,yes,yes,no,yes,neither,
51,A multiagent reinforcement learning approach to en-route trip building,pdfs/pdfs/A multiagent reinforcement learning approach to en-route trip building.pdf,yes,yes,no,yes,no,no,no,yes,yes,real,447
52,Connected vehicles' dynamic route planning based on reinforcement learning,pdfs/pdfs_unlocked/idx52_Connected vehicles' dynamic route planning based on reinforcement learning.pdf,no,no,yes,yes,yes,no,no,no,no,real,70
53,A reinforcement learning scheme for the equilibrium of the in-vehicle route choice problem based on congestion game,pdfs/pdfs/A reinforcement learning scheme for the equilibrium of the in-vehicle route choice problem based on congestion game.pdf,yes,no,yes,yes,no,no,no,yes,no,neither,13
54,Robust Route Planning with Distributional Reinforcement Learning in a Stochastic Road Network Environment,pdfs/pdfs/Robust Route Planning with Distributional Reinforcement Learning in a Stochastic Road Network Environment.pdf,yes,no,no,yes,yes,no,no,no,yes,synthetic,
55,Deep Reinforcement Learning for Optimizing Route Planning in Urban Traffic,pdfs/pdfs/Deep_Reinforcement_Learning_for_Optimizing_Route_Planning_in_Urban_Traffic.pdf,yes,no,yes,no,no,no,no,no,yes,real,
56,Vehicle-Infrastructure Cooperation Framework for Vehicle Navigation and Traffic Signal Control using Deep Reinforcement Learning,pdfs/pdfs/Vehicle–Infrastructure Cooperation Framework for Vehicle Navigation and Traffic Signal Control using Deep Reinforcement Learning.pdf,yes,yes,no,yes,yes,yes,no,no,yes,both,16
57,VEGA: Electric Vehicle Navigation Agent via Physics-Informed Neural Operator and Proximal Policy Optimization,pdfs/pdfs_acquired/idx57_VEGA_Electric_Vehicle_Navigation_Agent.pdf,yes,no,no,yes,yes,yes,no,no,yes,real,
58,Using Car to Infrastructure Communication to Accelerate Learning in Route Choice,pdfs/pdfs/Using Car to Infrastructure Communication to Accelerate Learning in Route Choice.pdf,yes,no,no,yes,no,yes,no,no,yes,synthetic,
59,Applying Markov decision process to adaptive dynamic route selection model,pdfs/pdfs_unlocked/idx59_Applying Markov decision process to adaptive dynamic route selection model.pdf,yes,yes,yes,yes,no,no,no,no,yes,real,
60,A Sustainable Multi-Agent Routing Algorithm for Vehicle Platoons in Urban Networks,pdfs/pdfs/A_Sustainable_Multi-Agent_Routing_Algorithm_for_Vehicle_Platoons_in_Urban_Networks.pdf,no,no,yes,yes,yes,yes,no,no,yes,real,
61,Distributed Learning for Vehicle Routing Decision in Software Defined Internet of Vehicles,pdfs/pdfs/Distributed_Learning_for_Vehicle_Routing_Decision_in_Software_Defined_Internet_of_Vehicles.pdf,yes,yes,yes,yes,yes,no,no,no,yes,both,
62,Proactive Urban Expressway Guidance: A Hybrid Approach Using Reinforcement Learning and Traffic Prediction Models,pdfs/pdfs_unlocked/idx62_Proactive Urban Expressway Guidance_ A Hybrid Approach Using Reinforcement Learning and Traffic Prediction Models.pdf,yes,yes,yes,yes,yes,yes,no,no,yes,real,2279
63,A Bi-Level Network-Wide Cooperative Driving Approach Including Deep Reinforcement Learning-Based Routing,pdfs/pdfs/A_Bi-Level_Network-Wide_Cooperative_Driving_Approach_Including_Deep_Reinforcement_Learning-Based_Routing.pdf,yes,yes,yes,yes,yes,yes,yes,no,yes,both,
64,Self-Organized Routing for Autonomous Vehicles via Deep Reinforcement Learning,pdfs/pdfs/Self-Organized_Routing_for_Autonomous_Vehicles_via_Deep_Reinforcement_Learning.pdf,yes,yes,no,yes,no,yes,yes,no,yes,both,25
65,Graph Convolutional Network Based Multi-Objective Meta-Deep Q-Learning for Eco-Routing,pdfs/pdfs_unlocked/idx65_Graph Convolutional Network Based Multi-Objective Meta-Deep Q-Learning for Eco-Routing.pdf,yes,yes,yes,yes,yes,no,no,no,yes,neither,
66,SEGAC: Sample Efficient Generalized Actor Critic for the Stochastic On-Time Arrival Problem,pdfs/pdfs/SEGAC_ Sample Efficient Generalized Actor Critic for the Stochast.pdf,yes,yes,no,yes,no,no,no,yes,yes,real,24
67,GE-DDRL: Graph Embedding and Deep Distributional Reinforcement Learning for Reliable Shortest Path: A Universal and Scale Free Solution,pdfs/pdfs_unlocked/idx67_GE-DDRL_ Graph Embedding and Deep Distributional Reinforcement Learning for Reliable Shortest Path_ A Universal and Scale Free Solution.pdf,yes,yes,no,yes,yes,no,no,yes,yes,both,5
68,Shortest-Time Path Planning Under Carbon Emission Constraints via Reinforcement Learning,pdfs/pdfs/Shortest-Time_Path_Planning_Under_Carbon_Emission_Constraints_via_Reinforcement_Learning.pdf,yes,no,yes,yes,yes,yes,no,yes,yes,real,24
69,DRL Router: Distributional Reinforcement Learning-Based Router for Reliable Shortest Path Problems,pdfs/pdfs_unlocked/idx69_DRL Router_ Distributional Reinforcement Learning-Based Router for Reliable Shortest Path Problems.pdf,yes,yes,no,yes,yes,no,no,yes,yes,real,
70,Optimization Path Planning Algorithm Based on Deep Reinforcement Learning,pdfs/pdfs/Optimization Path Planning Algorithm Based on Deep Reinforcement Learning.pdf,no,no,yes,no,no,no,no,no,yes,neither,
71,Research on Emergency Rescue Path Optimization Method Based on Deep Reinforcement Learning,pdfs/pdfs/Research_on_Emergency_Rescue_Path_Optimization_Method_Based_on_Deep_Reinforcement_Learning.pdf,no,no,no,no,yes,yes,no,no,yes,real,
72,Safety-Aware Path Planning for Post-Disaster Rescue Vehicles,pdfs/pdfs_unlocked/Safety-Aware Path Planning for Post-Disaster Rescue Vehicles.pdf,yes,no,no,yes,yes,no,yes,no,no,synthetic,
74,Path Planning in Urban Environment Based on Traffic Condition Perception and Traffic Light Status,pdfs/pdfs/Path_Planning_in_Urban_Environment_Based_on_Traffic_Condition_Perception_and_Traffic_Light_Status.pdf,yes,no,no,yes,yes,no,no,no,yes,real,51
75,Autonomous Vehicles in Smart Cities: a Deep Reinforcement Learning Solution,pdfs/pdfs/Autonomous_Vehicles_in_Smart_Cities_a_Deep_Reinforcement_Learning_Solution.pdf,no,no,no,no,no,no,no,no,no,real,
76,Intelligent Routing in Connected Autonomous Vehicles using the ADAPT-S Learning Architecture,pdfs/pdfs/Intelligent_Routing_in_Connected_Autonomous_Vehicles_using_the_ADAPT-S_Learning_Architecture.pdf,yes,yes,yes,yes,no,yes,no,no,no,synthetic,20
77,Situation-aware Path Optimization for Autonomous Systems: A Deep Reinforcement Learning based Approach,pdfs/pdfs/Situation-aware Path Optimization for Autonomous Systems A Deep Reinforcement Learning based Approach.pdf,yes,yes,no,yes,yes,yes,yes,no,yes,neither,
78,Resilient Multi-Agent Deep Reinforcement Learning for Routing Control via Traffic Cost Fields,pdfs/pdfs/Resilient_Multi-Agent_Deep_Reinforcement_Learning_for_Routing_Control_via_Traffic_Cost_Fields.pdf,yes,yes,no,yes,no,no,no,no,yes,real,293
79,Dynamic Route Optimization using D* Lite and DQN Algorithm,pdfs/pdfs/Dynamic Route Optimization using D Lite and DQN Algorithm.pdf,yes,no,no,yes,no,yes,yes,no,yes,neither,
81,A Communication Resource Enhanced Intelligent Road Traffic Routing Scheme,pdfs/pdfs/A_Communication_Resource_Enhanced_Intelligent_Road_Traffic_Routing_Scheme.pdf,yes,yes,yes,yes,no,no,no,no,yes,neither,
82,Work-in-Progress: Leveraging the Selfless Driving Model to Reduce Vehicular Network Congestion,pdfs/pdfs/Work-in-Progress Leveraging the Selfless Driving Model to Reduce Vehicular Network Congestion.pdf,yes,no,no,yes,no,no,no,no,no,neither,
83,A Deep Q Learning-Model Predictive Control Approach to vehicle routing and control with platoon constraints,pdfs/pdfs/A_Deep_Q_Learning-Model_Predictive_Control_Approach_to_vehicle_routing_and_control_with_platoon_constraints.pdf,no,no,no,no,no,no,no,no,no,neither,
84,A Dynamic Risk-aware Routing Recommendation Using Deep Reinforcement Learning,pdfs/pdfs/A Dynamic Risk-aware Routing Recommendation Using Deep Reinforcement Learning.pdf,yes,no,no,yes,yes,no,no,no,yes,both,
85,Path planning for vehicle platoons under routing decisions: a distributed approach combining Deep Reinforcement Learning and Model Predictive Control,pdfs/pdfs_unlocked/Path planning for vehicle platoons under routing decisions a distributed approach combining Deep Reinforcement Learning and Model Predictive Control.pdf,no,no,no,no,no,no,no,no,no,neither,
86,A Joint Design of Path Planning and Lane Reservation for Emergency Service in ITS,pdfs/pdfs/A_Joint_Design_of_Path_Planning_and_Lane_Reservation_for_Emergency_Service_in_ITS.pdf,no,yes,yes,yes,yes,no,no,no,yes,both,
87,A Reinforcement Learning-Based Path Recommendation Strategy Considering Broadcast Disturbance and Behavioral Response,pdfs/pdfs/A_Reinforcement_Learning-Based_Path_Recommendation_Strategy_Considering_Broadcast_Disturbance_and_Behavioral_Response.pdf,yes,yes,no,yes,no,no,yes,no,no,neither,
88,Personalized and Context-aware Route Planning for Edge-assisted Vehicles,pdfs/pdfs/Personalized and Context-aware Route Planning for Edge-assisted Vehicles.pdf,yes,no,yes,yes,yes,no,no,no,no,neither,44
89,Research on Travel Paths Based on Car-Hailing Services Connecting with Rail Transit,pdfs/pdfs/Research_on_Travel_Paths_Based_on_Car-Hailing_Services_Connecting_with_Rail_Transit.pdf,yes,yes,no,yes,yes,no,no,no,no,real,129
90,Q-Learning-Based Energy-Aware Route Planning for Electric Vehicles on Real Road Networks with Charging Constraints,pdfs/pdfs/Q-Learning-Based_Energy-Aware_Route_Planning_for_Electric_Vehicles_on_Real_Road_Networks_with_Charging_Constraints.pdf,no,no,no,no,no,no,no,no,no,neither,
91,Cutting-Edge Travel Planner: Intelligent Route Recommendation System using Enhanced Learning Scheme with AI Principles,pdfs/pdfs/Cutting-Edge_Travel_Planner_Intelligent_Route_Recommendation_System_using_Enhanced_Learning_Scheme_with_AI_Principles.pdf,yes,yes,no,yes,yes,no,no,no,no,neither,
92,Multi-Objective Route Optimization via Dueling DQN for Teleoperated Driving,pdfs/pdfs/Multi-Objective_Route_Optimization_via_Dueling_DQN_for_Teleoperated_Driving.pdf,yes,yes,no,yes,yes,no,yes,no,yes,both,329
94,Route Planning and Power Management for PHEVs With Reinforcement Learning,pdfs/pdfs/Route_Planning_and_Power_Management_for_PHEVs_With_Reinforcement_Learning.pdf,yes,no,yes,no,no,no,no,no,yes,real,
95,Preliminary Study on Cooperative Route Planning Reinforcement Learning with a Focus on Avoiding Intersection Congestion,pdfs/pdfs/Preliminary Study on Cooperative Route Planning Reinforcement Learning with a Focus on Avoiding Intersection Congestion.pdf,yes,no,no,no,no,no,no,no,no,neither,128
97,HERO: Heterogeneous-agent rEinforcement learning-based Route Optimization for Green Transportation in IoVs,pdfs/pdfs/HERO_Heterogeneous-agent_rEinforcement_learning-based_Route_Optimization_for_Green_Transportation_in_IoVs.pdf,yes,yes,yes,yes,yes,yes,no,no,yes,real,107
98,Disaster-Aware Path Planning Based on Reinforcement Learning for Postearthquake Emergency Response,pdfs/pdfs/Disaster-Aware_Path_Planning_Based_on_Reinforcement_Learning_for_Postearthquake_Emergency_Response.pdf,yes,yes,yes,yes,yes,yes,no,no,yes,both,
99,Reinforcement Learning-based Unpredictable Emergency Events,pdfs/pdfs/Reinforcement_Learning-based_Unpredictable_Emergency_Events.pdf,yes,yes,no,yes,yes,no,no,no,no,neither,
101,Energy Optimal Route Planning Framework for Electric Vehicles Using Hybrid Artificial Intelligence Models,pdfs/pdfs/Energy_Optimal_Route_Planning_Framework_for_Electric_Vehicles_Using_Hybrid_Artificial_Intelligence_Models.pdf,yes,no,no,no,no,no,no,no,yes,neither,
