title,year,venue,doi,decision
Research on Virtual Path Planning Based on Improved DQN,2020,2020 IEEE International Conference on Real-time Computing and Robotics (RCAR),10.1109/RCAR49640.2020.9303290,exclude
Risk-Aware High-level Decisions for Automated Driving at Occluded Intersections with Reinforcement Learning,2020,2020 IEEE Intelligent Vehicles Symposium (IV),10.1109/IV47402.2020.9304606,exclude
Robust Navigation under Incomplete Localization Using Reinforcement Learning,2020,"2020 IEEE/ION Position, Location and Navigation Symposium (PLANS)",10.1109/PLANS46316.2020.9109920,borderline
STDPG: A Spatio-Temporal Deterministic Policy Gradient Agent for Dynamic Routing in SDN,2020,ICC 2020 - 2020 IEEE International Conference on Communications (ICC),10.1109/ICC40277.2020.9148789,exclude
Safe Reinforcement Learning for Autonomous Lane Changing Using Set-Based Prediction,2020,2020 IEEE 23rd International Conference on Intelligent Transportation Systems (ITSC),10.1109/ITSC45102.2020.9294259,exclude
TSA-NoC: Learning-Based Threat Detection and Mitigation for Secure Network-on-Chip Architecture,2020,IEEE Micro,10.1109/MM.2020.3003576,exclude
USV Path-Following Control Based On Deep Reinforcement Learning and Adaptive Control,2020,Global Oceans 2020: Singapore ??U.S. Gulf Coast,10.1109/IEEECONF38699.2020.9389360,exclude
A Communication Resource Enhanced Intelligent Road Traffic Routing Scheme,2021,2021 International Conference on UK-China Emerging Technologies (UCET),10.1109/UCET54125.2021.9674959,include
A Deep Reinforcement Learning Algorithm for Warehousing Multi-AGV Path Planning,2021,"2021 International Conference on Networking, Communications and Information Technology (NetCIT)",10.1109/NetCIT54147.2021.00090,exclude
A Deep Reinforcement Learning Approach for Long-term Short-term Planning on Frenet Frame,2021,2021 IEEE 17th International Conference on Automation Science and Engineering (CASE),10.1109/CASE49439.2021.9551598,exclude
"A Distributed Model-Free Ride-Sharing Approach for Joint Matching, Pricing, and Dispatching Using Deep Reinforcement Learning",2021,IEEE Transactions on Intelligent Transportation Systems,10.1109/TITS.2021.3096537,exclude
A Hierarchical Autonomous Driving Framework Combining Reinforcement Learning and Imitation Learning,2021,2021 International Conference on Computer Engineering and Application (ICCEA),10.1109/ICCEA53728.2021.00084,exclude
A Hybrid Reinforcement Learning-Based Model for the Vehicle Routing Problem in Transportation Logistics,2021,IEEE Access,10.1109/ACCESS.2021.3131799,exclude
A Hybrid of Deep Reinforcement Learning and Local Search for the Vehicle Routing Problems,2021,IEEE Transactions on Intelligent Transportation Systems,10.1109/TITS.2020.3003163,exclude
A Multiagent Deep Reinforcement Learning Approach for Path Planning in Autonomous Surface Vehicles: The Ypacaraí Lake Patrolling Case,2021,IEEE Access,10.1109/ACCESS.2021.3053348,exclude
A Sample-Efficiency Comparison Between Evolutionary Algorithms and Deep Reinforcement Learning for Path Planning in an Environmental Patrolling Mission,2021,2021 IEEE Congress on Evolutionary Computation (CEC),10.1109/CEC45853.2021.9504864,exclude
A Survey of Deep Reinforcement Learning Algorithms for Motion Planning and Control of Autonomous Vehicles,2021,2021 IEEE Intelligent Vehicles Symposium (IV),10.1109/IV48863.2021.9575880,survey
A Vision-Dynamics Learning Approach to Prediction-Based Control in Autonomous Vehicles,2021,"2021 International Symposium on Signals, Circuits and Systems (ISSCS)",10.1109/ISSCS52333.2021.9497444,exclude
A-DDPG: Attention Mechanism-based Deep Reinforcement Learning for NFV,2021,2021 IEEE/ACM 29th International Symposium on Quality of Service (IWQOS),10.1109/IWQOS52092.2021.9521285,exclude
Adversarial Reinforcement Learning Framework for Benchmarking Collision Avoidance Mechanisms in Autonomous Vehicles,2021,IEEE Intelligent Transportation Systems Magazine,10.1109/MITS.2019.2898964,exclude
An Analytical Study on Challenges and Road map to Autonomous Vehicles in Indian Context,2021,"2021 IEEE International Conference on Intelligent Systems, Smart and Green Technologies (ICISSGT)",10.1109/ICISSGT52025.2021.00044,exclude
An Autonomous Illumination System for Vehicle Documentation Based on Deep Reinforcement Learning,2021,IEEE Access,10.1109/ACCESS.2021.3081736,exclude
An Optimal Packet Delivery Strategy Based on Deep Reinforcement Learning in IoV,2021,2021 International Conference on UK-China Emerging Technologies (UCET),10.1109/UCET54125.2021.9674982,exclude
Artificial intelligence for satellite communication: A review,2021,Intelligent and Converged Networks,10.23919/ICN.2021.0015,exclude
Autonomous Driving Based on Modified SAC Algorithm through Imitation Learning Pretraining,2021,"2021 21st International Conference on Control, Automation and Systems (ICCAS)",10.23919/ICCAS52745.2021.9649939,exclude
Beamwidth Optimization for Millimeter-Wave V2V Communication Between Neighbor Vehicles in Highway Scenarios,2021,IEEE Access,10.1109/ACCESS.2020.3048180,exclude
CoPace: Edge Computation Offloading and Caching for Self-Driving With Deep Reinforcement Learning,2021,IEEE Transactions on Vehicular Technology,10.1109/TVT.2021.3121096,exclude
Combining Reinforcement Learning with Model Predictive Control for On-Ramp Merging,2021,2021 IEEE International Intelligent Transportation Systems Conference (ITSC),10.1109/ITSC48978.2021.9564954,exclude
Contingencies from Observations: Tractable Contingency Planning with Learned Behavior Models,2021,2021 IEEE International Conference on Robotics and Automation (ICRA),10.1109/ICRA48506.2021.9561683,exclude
Coordinated Electric Vehicle Re-Charging to Reduce Impact on Daily Driving Schedule,2021,2021 IEEE Intelligent Vehicles Symposium (IV),10.1109/IV48863.2021.9575517,exclude
"Decision-Making Technology for Autonomous Vehicles: Learning-Based Methods, Applications and Future Outlook",2021,2021 IEEE International Intelligent Transportation Systems Conference (ITSC),10.1109/ITSC48978.2021.9564580,survey
Deductive Reinforcement Learning for Visual Autonomous Urban Driving Navigation,2021,IEEE Transactions on Neural Networks and Learning Systems,10.1109/TNNLS.2021.3109284,borderline
Deep Inverse Reinforcement Learning for Behavior Prediction in Autonomous Driving: Accurate Forecasts of Vehicle Motion,2021,IEEE Signal Processing Magazine,10.1109/MSP.2020.2988287,exclude
Deep Learning based Object Detection Model for Autonomous Driving Research using CARLA Simulator,2021,2021 2nd International Conference on Smart Electronics and Communication (ICOSEC),10.1109/ICOSEC51865.2021.9591747,exclude
Designing and Analysis of an Unmanned Aerial Vehicle without Propulsion and Developing an Autonomous Navigation System Using Reinforcement Learning,2021,"2021 International Conference on Advances in Computing, Communication, and Control (ICAC3)",10.1109/ICAC353642.2021.9697116,exclude
Developing AI Agent with Functional Mockup Units for Car Autonomous Navigation,2021,"2021 28th IEEE International Conference on Electronics, Circuits, and Systems (ICECS)",10.1109/ICECS53924.2021.9665639,exclude
Dispatching and Path Planning of Automated Guided Vehicles based on Petri Nets and Deep Reinforcement Learning,2021,"2021 IEEE International Conference on Networking, Sensing and Control (ICNSC)",10.1109/ICNSC52481.2021.9702196,exclude
Distance-Based Neural Combinatorial Optimization for Context-based Route Planning,2021,2021 IEEE 93rd Vehicular Technology Conference (VTC2021-Spring),10.1109/VTC2021-Spring51267.2021.9448741,exclude
Distributed Learning for Vehicle Routing Decision in Software Defined Internet of Vehicles,2021,IEEE Transactions on Intelligent Transportation Systems,10.1109/TITS.2020.3023958,include
Distributed Online Service Coordination Using Deep Reinforcement Learning,2021,2021 IEEE 41st International Conference on Distributed Computing Systems (ICDCS),10.1109/ICDCS51616.2021.00058,exclude
End-to-End Urban Driving by Imitating a Reinforcement Learning Coach,2021,2021 IEEE/CVF International Conference on Computer Vision (ICCV),10.1109/ICCV48922.2021.01494,exclude
Explaining Deep Learning Models Through Rule-Based Approximation and Visualization,2021,IEEE Transactions on Fuzzy Systems,10.1109/TFUZZ.2020.2999776,exclude
GAQ-EBkSP: A DRL-based Urban Traffic Dynamic Rerouting Framework using Fog-Cloud Architecture,2021,2021 IEEE International Smart Cities Conference (ISC2),,include
Generalizing Decision Making for Automated Driving with an Invariant Environment Representation using Deep Reinforcement Learning,2021,2021 IEEE Intelligent Vehicles Symposium (IV),10.1109/IV48863.2021.9575669,exclude
Generative Adversarial Imitation Learning for End-to-End Autonomous Driving on Urban Environments,2021,2021 IEEE Symposium Series on Computational Intelligence (SSCI),10.1109/SSCI50451.2021.9660156,exclude
Heuristic Energy Management Strategy of Hybrid Electric Vehicle Based on Deep Reinforcement Learning With Accelerated Gradient Optimization,2021,IEEE Transactions on Transportation Electrification,10.1109/TTE.2021.3088853,exclude
Human-Machine Collaborative Video Coding Through Cuboidal Partitioning,2021,2021 IEEE International Conference on Image Processing (ICIP),10.1109/ICIP42928.2021.9506150,exclude
Improving multi-goal and target-driven reinforcement learning with supervised auxiliary task,2021,2021 20th International Conference on Advanced Robotics (ICAR),10.1109/ICAR53236.2021.9659467,borderline
Incorporating Multi-Context Into the Traversability Map for Urban Autonomous Driving Using Deep Inverse Reinforcement Learning,2021,IEEE Robotics and Automation Letters,10.1109/LRA.2021.3059628,exclude
Intelligent Collaborative Navigation and Control for AUV Tracking,2021,IEEE Transactions on Industrial Informatics,10.1109/TII.2020.2994586,exclude
Investigation and Evaluation of Advanced Spectrum Management Concepts for Aeronautical Communications,2021,2021 Integrated Communications Navigation and Surveillance Conference (ICNS),10.1109/ICNS52807.2021.9441662,exclude
KB-Tree: Learnable and Continuous Monte-Carlo Tree Search for Autonomous Driving Planning,2021,2021 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),10.1109/IROS51168.2021.9636442,exclude
Learning Urban Driving Policies using Deep Reinforcement Learning,2021,2021 IEEE International Intelligent Transportation Systems Conference (ITSC),10.1109/ITSC48978.2021.9564412,exclude
Learning to Optimise Routing Problems using Policy Optimisation,2021,2021 International Joint Conference on Neural Networks (IJCNN),10.1109/IJCNN52387.2021.9534010,exclude
Learning to Robustly Negotiate Bi-Directional Lane Usage in High-Conflict Driving Scenarios,2021,2021 IEEE International Conference on Robotics and Automation (ICRA),10.1109/ICRA48506.2021.9561071,exclude
"Low-Cost, Long-Endurance Cooperative Navigation Based on ?�Light??Marine Equipment in Deep Sea",2021,IEEE Network,10.1109/MNET.011.2000443,exclude
MODRL/D-EL: Multiobjective Deep Reinforcement Learning with Evolutionary Learning for Multiobjective Optimization,2021,2021 International Joint Conference on Neural Networks (IJCNN),10.1109/IJCNN52387.2021.9534083,exclude
Multi-Agent Deep Reinforcement Learning Based Consistency Control in Train Platoon Systems,2021,"2021 IEEE 23rd Int Conf on High Performance Computing & Communications; 7th Int Conf on Data Science & Systems; 19th Int Conf on Smart City; 7th Int Conf on Dependability in Sensor, Cloud & Big Data Systems & Application (HPCC/DSS/SmartCity/DependSys)",10.1109/HPCC-DSS-SmartCity-DependSys53884.2021.00211,exclude
NavTuner: Learning a Scene-Sensitive Family of Navigation Policies,2021,2021 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),10.1109/IROS51168.2021.9636185,exclude
Navigation in Urban Environments amongst pedestrians using Multi-Objective Deep Reinforcement Learning,2021,2021 IEEE International Intelligent Transportation Systems Conference (ITSC),10.1109/ITSC48978.2021.9564601,exclude
Optimal EV Recharging Navigation Strategy for Long-Distance Travel using Multiple Objective Optimization,2021,2021 North American Power Symposium (NAPS),10.1109/NAPS52732.2021.9654743,exclude
Optimal Safety Planning and Driving Decision-Making for Multiple Autonomous Vehicles: A Learning Based Approach,2021,"2021 Emerging Technology in Computing, Communication and Electronics (ETCCE)",10.1109/ETCCE54784.2021.9689820,exclude
Optimizing the Lifetime of Software Defined Wireless Sensor Network via Reinforcement Learning,2021,IEEE Access,10.1109/ACCESS.2020.3046693,exclude
Path Following Optimization for an Underactuated USV Using Smoothly-Convergent Deep Reinforcement Learning,2021,IEEE Transactions on Intelligent Transportation Systems,10.1109/TITS.2020.2989352,exclude
Predictive Lane Change Decision Making Using Bidirectional Long Shot-Term Memory for Autonomous Driving on Highways,2021,IEEE Access,10.1109/ACCESS.2021.3122869,exclude
Reinforcement Learning based Negotiation-aware Motion Planning of Autonomous Vehicles,2021,2021 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),10.1109/IROS51168.2021.9635935,exclude
Reinforcement Learning based Trajectory Planning for Autonomous Vehicles,2021,2021 China Automation Congress (CAC),10.1109/CAC53003.2021.9727737,exclude
Reinforcement Learning for Autonomous Driving with Latent State Inference and Spatial-Temporal Relationships,2021,2021 IEEE International Conference on Robotics and Automation (ICRA),10.1109/ICRA48506.2021.9562006,exclude
Reinforcement Learning for Ridesharing: A Survey,2021,2021 IEEE International Intelligent Transportation Systems Conference (ITSC),10.1109/ITSC48978.2021.9564924,exclude
Reinforcement Learning-based Unpredictable Emergency Events,2021,2021 Fifth International Conference On Intelligent Computing in Data Sciences (ICDS),10.1109/ICDS53782.2021.9626720,borderline
Research on decision-making of lane-changing of automated vehicles in highway confluence area based on deep reinforcement learning,2021,2021 5th CAA International Conference on Vehicular Control and Intelligence (CVCI),10.1109/CVCI54083.2021.9661204,exclude
Resource Allocation for Delay-Sensitive Vehicle-to-Multi-Edges (V2Es) Communications in Vehicular Networks: A Multi-Agent Deep Reinforcement Learning Approach,2021,IEEE Transactions on Network Science and Engineering,10.1109/TNSE.2021.3075530,exclude
Road Graphical Neural Networks for Autonomous Roundabout Driving,2021,2021 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),10.1109/IROS51168.2021.9636411,exclude
Robust Deep Reinforcement Learning for Underwater Navigation with Unknown Disturbances,2021,"ICASSP 2021 - 2021 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",10.1109/ICASSP39728.2021.9414937,exclude
Solving Multi-Agent Routing Problems Using Deep Attention Mechanisms,2021,IEEE Transactions on Intelligent Transportation Systems,10.1109/TITS.2020.3009289,exclude
Solving Time-Dependent Traveling Salesman Problem with Time Windows with Deep Reinforcement Learning,2021,"2021 IEEE International Conference on Systems, Man, and Cybernetics (SMC)",10.1109/SMC52423.2021.9658956,exclude
Target-Driven Mapless Navigation for Self-Driving Car,2021,2021 IEEE International Conference on Unmanned Systems (ICUS),10.1109/ICUS52573.2021.9641134,borderline
"Testing Artificial Intelligence in High-Performance, Tactical Aircraft",2021,2021 IEEE Aerospace Conference (50100),10.1109/AERO50100.2021.9438308,exclude
The Vehicle Routing Problem with Time Windows and Time Costs,2021,2021 International Conference on Data Mining Workshops (ICDMW),10.1109/ICDMW53433.2021.00042,exclude
Trajectory Planning for Hypersonic Vehicles with Reinforcement Learning,2021,2021 40th Chinese Control Conference (CCC),10.23919/CCC52363.2021.9549361,exclude
Transfer Learning in Data Fusion at Autonomous Driving,2021,2021 International Conference on Information Technology (ICIT),10.1109/ICIT52682.2021.9491721,exclude
3D Environment-based Multiobjective Path Planning for Unmanned Ground Vehicles,2022,"2022 International Symposium on Networks, Computers and Communications (ISNCC)",10.1109/ISNCC55209.2022.9851785,exclude
A Deep Averaged Reinforcement Learning Approach for the Traveling Salesman Problem,2022,"2022 IEEE International Conference on Systems, Man, and Cybernetics (SMC)",10.1109/SMC53654.2022.9945274,exclude
A Deep Q Learning-Model Predictive Control Approach to vehicle routing and control with platoon constraints,2022,2022 IEEE 18th International Conference on Automation Science and Engineering (CASE),10.1109/CASE49997.2022.9926699,include
A Deep Reinforcement Learning Approach for Crowdshipping Vehicle Routing Problem,2022,2022 IEEE International Conference on Industrial Engineering and Engineering Management (IEEM),10.1109/IEEM55944.2022.9989773,exclude
A Meta-Learning Algorithm for Rebalancing the Bike-Sharing System in IoT Smart City,2022,IEEE Internet of Things Journal,10.1109/JIOT.2022.3176145,exclude
A Multi-Agent Reinforcement Learning Method With Route Recorders for Vehicle Routing in Supply Chain Management,2022,IEEE Transactions on Intelligent Transportation Systems,10.1109/TITS.2022.3150151,exclude
A Reinforcement Learning Approach for Adaptive Covariance Tuning in the Kalman Filter,2022,"2022 IEEE 5th Advanced Information Management, Communicates, Electronic and Automation Control Conference (IMCEC)",10.1109/IMCEC55388.2022.10020019,exclude
A Reinforcement Learning Approach for Rebalancing Electric Vehicle Sharing Systems,2022,IEEE Transactions on Intelligent Transportation Systems,10.1109/TITS.2021.3085217,exclude
A Simulation-Aided Deep Reinforcement Learning Approach for Optimization of Automated Sorting Center Processes,2022,2022 Winter Simulation Conference (WSC),10.1109/WSC57314.2022.10015430,exclude
A Survey of Deep RL and IL for Autonomous Driving Policy Learning,2022,IEEE Transactions on Intelligent Transportation Systems,10.1109/TITS.2021.3134702,survey
A System Based on Deep-Learning for Dynamic Routing problems,2022,2022 IEEE International Systems Conference (SysCon),10.1109/SysCon53536.2022.9773930,exclude
A reinforcement learning path planning approach for range-only underwater target localization with autonomous vehicles,2022,2022 IEEE 18th International Conference on Automation Science and Engineering (CASE),10.1109/CASE49997.2022.9926499,exclude
AI-Driven Intelligent Vehicle Behavior Decision in Software Defined Internet of Vehicle,2022,"2022 8th International Conference on Control, Decision and Information Technologies (CoDIT)",10.1109/CoDIT55151.2022.9803919,borderline
Adaptive Optimization Method in Digital Twin Conveyor Systems via Range-Inspection Control,2022,IEEE Transactions on Automation Science and Engineering,10.1109/TASE.2020.3043393,exclude
Advanced Modeling Techniques for Mission Planning of Marine Multi-Vehicles systems: What?�s Next?,2022,"OCEANS 2022, Hampton Roads",10.1109/OCEANS47191.2022.9977392,exclude
An Analysis of the Effects of Hyperparameters on the Performance of Simulated Autonomous Vehicles,2022,2022 International Telecommunications Conference (ITC-Egypt),10.1109/ITC-Egypt55520.2022.9855682,exclude
An Improved QMIX-Based AGV Scheduling Approach for Material Handling Towards Intelligent Manufacturing,2022,2022 IEEE 20th International Conference on Embedded and Ubiquitous Computing (EUC),10.1109/EUC57774.2022.00018,exclude
An Integrated Reinforcement Learning and Centralized Programming Approach for Online Taxi Dispatching,2022,IEEE Transactions on Neural Networks and Learning Systems,10.1109/TNNLS.2021.3060187,exclude
An Overview and Experimental Study of Learning-Based Optimization Algorithms for the Vehicle Routing Problem,2022,IEEE/CAA Journal of Automatica Sinica,10.1109/JAS.2022.105677,survey
An Overview of Factors Influencing the Mass Adoption of Self-Driving Vehicles,2022,2022 IEEE 9th International Conference on Power Electronics Systems and Applications (PESA),10.1109/PESA55501.2022.10038422,exclude
An Overview of Scientometric Mapping in Planning and Decision-Making for UGV,2022,2022 5th International Conference on Pattern Recognition and Artificial Intelligence (PRAI),10.1109/PRAI55851.2022.9904079,exclude
AoI-centric Task Scheduling for Autonomous Driving Systems,2022,IEEE INFOCOM 2022 - IEEE Conference on Computer Communications,10.1109/INFOCOM48880.2022.9796958,exclude
Application of an autonomous multi-agent system using Proximal Policy Optimisation for tactical deconfliction within the urban airspace,2022,2022 IEEE/AIAA 41st Digital Avionics Systems Conference (DASC),10.1109/DASC55683.2022.9925730,exclude
Application of mixed graph traversal optimization for the vehicle routing problem,2022,2022 European Control Conference (ECC),10.23919/ECC55457.2022.9838025,exclude
Automatic Itinerary Planning Using Triple-Agent Deep Reinforcement Learning,2022,IEEE Transactions on Intelligent Transportation Systems,10.1109/TITS.2022.3169002,exclude
