idx,title,indexed_in_openalex,indexed_year,inside_window,best_share,cause
60,A Sustainable Multi-Agent Routing Algorithm for Vehicle Platoons in Urban Networks,yes,2023,yes,1.0,query did not select it
61,Distributed Learning for Vehicle Routing Decision in Software Defined Internet of Vehicles,yes,2020,yes,1.0,query did not select it
63,A Bi-Level Network-Wide Cooperative Driving Approach Including Deep Reinforcement Learning-Based Routing,yes,2023,yes,1.0,query did not select it
64,Self-Organized Routing for Autonomous Vehicles via Deep Reinforcement Learning,yes,2023,yes,1.0,query did not select it
65,Graph Convolutional Network Based Multi-Objective Meta-Deep Q-Learning for Eco-Routing,yes,2024,yes,1.0,query did not select it
66,SEGAC: Sample Efficient Generalized Actor Critic for the Stochastic On-Time Arrival Problem,yes,2024,yes,1.0,query did not select it
67,GE-DDRL: Graph Embedding and Deep Distributional Reinforcement Learning for Reliable Shortest Path: A Universa,no,,,0.0,not found by title in the interface
68,Shortest-Time Path Planning Under Carbon Emission Constraints via Reinforcement Learning,yes,2026,yes,1.0,query did not select it
69,DRL Router: Distributional Reinforcement Learning-Based Router for Reliable Shortest Path Problems,yes,2023,yes,1.0,query did not select it
70,Optimization Path Planning Algorithm Based on Deep Reinforcement Learning,yes,2024,yes,1.0,query did not select it
71,Research on Emergency Rescue Path Optimization Method Based on Deep Reinforcement Learning,yes,2025,yes,1.0,query did not select it
72,Safety-Aware Path Planning for Post-Disaster Rescue Vehicles,yes,2024,yes,1.0,query did not select it
74,Path Planning in Urban Environment Based on Traffic Condition Perception and Traffic Light Status,yes,2022,yes,1.0,query did not select it
75,Autonomous Vehicles in Smart Cities: a Deep Reinforcement Learning Solution,yes,2022,yes,1.0,query did not select it
76,Intelligent Routing in Connected Autonomous Vehicles using the ADAPT-S Learning Architecture,yes,2025,yes,1.0,query did not select it
77,Situation-aware Path Optimization for Autonomous Systems: A Deep Reinforcement Learning based Approach,yes,2025,yes,1.0,query did not select it
78,Resilient Multi-Agent Deep Reinforcement Learning for Routing Control via Traffic Cost Fields,yes,2026,yes,1.0,query did not select it
79,Dynamic Route Optimization using D* Lite and DQN Algorithm,no,,,0.0,not found by title in the interface
81,A Communication Resource Enhanced Intelligent Road Traffic Routing Scheme,yes,2021,yes,1.0,query did not select it
82,Work-in-Progress: Leveraging the Selfless Driving Model to Reduce Vehicular Network Congestion,yes,2019,yes,1.0,query did not select it
83,A Deep Q Learning-Model Predictive Control Approach to vehicle routing and control with platoon constraints,yes,2022,yes,1.0,query did not select it
84,A Dynamic Risk-aware Routing Recommendation Using Deep Reinforcement Learning,yes,2024,yes,1.0,query did not select it
85,Path planning for vehicle platoons under routing decisions: a distributed approach combining Deep Reinforcemen,yes,2022,yes,1.0,query did not select it
86,A Joint Design of Path Planning and Lane Reservation for Emergency Service in ITS,yes,2023,yes,1.0,query did not select it
87,A Reinforcement Learning-Based Path Recommendation Strategy Considering Broadcast Disturbance and Behavioral R,yes,2025,yes,1.0,query did not select it
89,Research on Travel Paths Based on Car-Hailing Services Connecting with Rail Transit,yes,2023,yes,1.0,query did not select it
90,Q-Learning-Based Energy-Aware Route Planning for Electric Vehicles on Real Road Networks with Charging Constra,yes,2025,yes,1.0,query did not select it
91,Cutting-Edge Travel Planner: Intelligent Route Recommendation System using Enhanced Learning Scheme with AI Pr,yes,2024,yes,1.0,query did not select it
92,Multi-Objective Route Optimization via Dueling DQN for Teleoperated Driving,yes,2025,yes,1.0,query did not select it
97,HERO: Heterogeneous-agent rEinforcement learning-based Route Optimization for Green Transportation in IoVs,yes,2026,yes,1.0,query did not select it
98,Disaster-Aware Path Planning Based on Reinforcement Learning for Postearthquake Emergency Response,yes,2025,yes,1.0,query did not select it
99,Reinforcement Learning-based Unpredictable Emergency Events,yes,2021,yes,1.0,query did not select it
